     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,"rms[MixtureFraction]","rms[EnthalpyTot]",  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,  "Pressure_Drop" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,"Avg_Massflow(inlet_fuel)","Avg_Massflow(outlet)","Avg_Mach(inlet_fuel)","Avg_Mach(outlet)","Avg_Temp(inlet_fuel)","Avg_Temp(outlet)","Avg_Press(inlet_fuel)","Avg_Press(outlet)","Avg_Density(inlet_fuel)","Avg_Density(outlet)","Avg_Enthalpy(inlet_fuel)","Avg_Enthalpy(outlet)","Avg_NormalVel(inlet_fuel)","Avg_NormalVel(outlet)","Uniformity(inlet_fuel)","Uniformity(outlet)","Secondary_Strength(inlet_fuel)","Secondary_Strength(outlet)","Momentum_Distortion(inlet_fuel)","Momentum_Distortion(outlet)","Secondary_Over_Uniformity(inlet_fuel)","Secondary_Over_Uniformity(outlet)","Avg_TotalTemp(inlet_fuel)","Avg_TotalTemp(outlet)","Avg_TotalPress(inlet_fuel)","Avg_TotalPress(outlet)"
      -5.248545928,               -32,      -6.530869564,                   -32,      -19.04212512,   0.0001031860214,   7.618057145e-05,       600.0001724,   3.493038778e-05,       2.354072885,        864.734078,     0.01252370756,     0.01263308999,      0.009914958166,          280.2829023,            4.446496183e+20,       600.0001725,   0.0001867092649,  -3.493038778e-05,             5e-05,       1.288917752,    0.001503331295,                 0,                 0,                 0,     -0.3017057852,   -0.001503318406,       1.288917752,                 0,     0.00116635161,           0.0001031860214,       1.408459499e-26,       4.267934472e-05,   3.350122673e-05,           300.0000862,       300.0000862,        3.493038778e-05,   -3.185930635e-26,              1.177036443,          1.177036443,                432.367039,            432.367039,              0.01252370756,        1.329572256e-24,           0.01263308999,     2.229821338e-23,                 6.609698944e-08,              0.009914892069,                    0.01754434132,                   280.265358,                        5.232052452e-06,                    4.446496183e+20,                300.0000863,            300.0000863,             0.0001288549313,         5.785433362e-05
      -5.398774014,      -9.185916115,      -6.582133262,          -5.358641711,      0.4715963193,   0.0001058295831,   8.036786587e-05,       600.9998045,   7.302814129e-05,       2.200766575,      -675588.0925,     0.01476806503,     0.01490336332,      0.009896728477,           5634309.52,                1568.281015,       600.9998047,   0.0002442384659,   -7.30386859e-05,             5e-05,       1.158991639,    0.001592504309,                 0,                 0,                 0,     -0.2712852629,   -0.001592492719,       1.158991639,                 0,    0.001374042965,           0.0001058296112,      -2.815658799e-11,       4.693755462e-05,   3.343031125e-05,           300.9997183,       300.0000862,         7.30334136e-05,   -5.272308514e-09,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01476806769,       -2.657954897e-09,           0.01489705422,     6.309108491e-06,                 2.274369983e-06,              0.009894454107,                    0.01754458609,                  5634309.503,                        0.0001526724647,                        1568.280863,                300.9997184,            300.0000863,             0.0001866276502,         5.761081568e-05
      -5.377639533,      -9.091359809,      -6.600869561,          -5.234019305,      0.5962184024,    0.000114699112,   8.423354316e-05,       600.9998045,   0.0001054591168,       2.200766575,      -675588.0925,       0.016005773,     0.01615763944,      0.009875797245,          1589836.382,                818.8693264,       600.9998047,   0.0002962902628,  -0.0001054804787,             5e-05,        1.05299113,    0.001655316549,                 0,                 0,                 0,     -0.2464756006,   -0.001655306019,        1.05299113,                 0,    0.001572013762,           0.0001146992133,      -1.013236206e-10,        5.08714004e-05,   3.336214276e-05,           300.9997183,       300.0000862,        0.0001054697977,   -1.068095558e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01600578257,       -9.564852586e-09,           0.01614557924,     1.206020336e-05,                 6.669566066e-08,              0.009875730549,                    0.01754455569,                  1589836.364,                        4.130893026e-06,                        818.8693223,                300.9997184,            300.0000863,             0.0002389026444,         5.738761847e-05
      -5.372345925,      -8.942244335,      -6.619304501,           -5.25255152,      0.5776861393,   0.0001212389072,   8.706887725e-05,       600.9998045,   0.0001357911818,       2.200766575,      -675588.0925,     0.01691837837,     0.01708352087,      0.009862915727,          744148.0345,                568.0513948,       600.9998047,   0.0003420724097,  -0.0001358227556,             5e-05,      0.9652014906,    0.001655606729,                 0,                 0,                 0,      -0.225928729,   -0.001655597077,      0.9652014906,                 0,     0.00171529649,           0.0001212391203,      -2.131211594e-10,       5.377198203e-05,   3.329689522e-05,           300.9997183,       300.0000862,        0.0001358069687,    -1.57868686e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01691839849,       -2.011843301e-08,           0.01706616589,      1.73549796e-05,                 4.399833795e-06,              0.009858515893,                    0.01754453389,                   744148.017,                        0.0002578103262,                         568.051137,                300.9997184,            300.0000863,             0.0002848897359,         5.718267383e-05
      -5.370499321,      -8.858579898,      -6.629635487,          -5.317551794,      0.5126858603,    0.000126957725,   8.954286927e-05,       600.9998045,   0.0001669907747,       2.200766575,      -675588.0925,      0.0177164214,     0.01789346577,      0.009852612305,          432949.8083,                441.9399149,       600.9998047,   0.0003874837477,   -0.000167031777,             5e-05,      0.8920049122,     0.00164759262,                 0,                 0,                 0,     -0.2087988247,     -0.0016475837,      0.8920049122,                 0,    0.001847066757,           0.0001269580835,      -3.585575637e-10,       5.630846402e-05,   3.323440525e-05,           300.9997183,       300.0000862,        0.0001670112759,   -2.050117559e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01771645525,       -3.384749007e-08,           0.01787119446,     2.227130872e-05,                 1.004454262e-05,              0.009842567763,                    0.01754470305,                  432949.7907,                        0.0005620521138,                        441.9393528,                300.9997184,            300.0000863,             0.0003304905832,         5.699316443e-05
      -5.369800251,      -8.857541907,      -6.630769657,           -5.40408798,      0.4261496886,   0.0001327165821,      9.203716e-05,       600.9998045,   0.0002021734306,       2.200766575,      -675588.0925,     0.01852005308,     0.01870873547,      0.009843605598,          284495.6447,                365.7573304,       600.9998047,   0.0004376620663,  -0.0002022230858,             5e-05,      0.8304306592,    0.001663400003,                 0,                 0,                 0,     -0.1943901484,   -0.001663391698,      0.8304306593,                 0,    0.002003057069,           0.0001327171157,      -5.336452095e-10,       5.886272281e-05,   3.317443719e-05,           300.9997183,       300.0000862,        0.0002021982582,   -2.482763079e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01852010345,       -5.037559588e-08,           0.01868186602,      2.68694488e-05,                 1.593065044e-05,              0.009827674948,                    0.01754515241,                  284495.6271,                        0.0008527333628,                        365.7564777,                300.9997184,            300.0000863,             0.0003808454989,         5.681656732e-05
       -5.36918399,      -8.865470067,       -6.63001751,          -5.468937442,      0.3613002318,   0.0001385789729,   9.457965244e-05,       600.9998045,   0.0002420495619,       2.200766575,      -675588.0925,     0.01933813364,     0.01953831225,       0.00983549572,          202086.2686,                314.5806766,       600.9998047,   0.0004935081265,  -0.0002421071719,             5e-05,      0.7781177176,    0.001697809694,                 0,                 0,                 0,     -0.1821493603,   -0.001697801913,      0.7781177176,                 0,    0.002181944526,            0.000138579708,      -7.351288944e-10,       6.146291725e-05,    3.31167352e-05,           300.9997183,       300.0000862,        0.0002420783669,   -2.880500538e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.01933820303,       -6.939546247e-08,           0.01950711614,     3.119611642e-05,                 2.183522633e-05,              0.009813660494,                    0.01754566371,                   202086.251,                         0.001119346713,                        314.5795573,                300.9997185,            300.0000863,             0.0004368573858,         5.665074075e-05
      -5.368489678,        -8.8680213,       -6.62905007,          -5.516789511,      0.3134481602,    0.000144467265,   9.713568354e-05,       600.9998045,   0.0002866835982,       2.200766575,      -675588.0925,     0.02015982967,     0.02037130416,      0.009828127885,          151529.1298,                277.7282875,       600.9998047,   0.0005548940594,  -0.0002867485377,             5e-05,      0.7332629511,    0.001743645439,                 0,                 0,                 0,     -0.1716541327,   -0.001743638107,      0.7332629511,                 0,     0.00237792655,           0.0001444682253,      -9.603024476e-10,       6.407461398e-05,   3.306106956e-05,           300.9997183,       300.0000862,         0.000286716068,   -3.246974132e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.02015992032,       -9.065162989e-08,           0.02033601632,     3.528784112e-05,                 2.774434303e-05,              0.009800383542,                    0.01754620929,                  151529.1122,                         0.001364295868,                        277.7269232,                300.9997185,            300.0000863,             0.0004984000821,          5.64939773e-05
      -5.367741306,      -8.866344972,      -6.627853605,          -5.556255022,      0.2739826448,   0.0001503307741,   9.968257233e-05,       600.9998045,   0.0003361438016,       2.200766575,      -675588.0925,     0.02097806831,     0.02120060464,       0.00982139385,          118226.3212,                249.8586794,       600.9998047,   0.0006217414935,  -0.0003362155064,             5e-05,      0.6944735429,    0.001796685944,                 0,                 0,                 0,     -0.1625783692,   -0.001796678999,       0.694473543,                 0,    0.002587119354,            0.000150331981,      -1.206879565e-09,       6.667533211e-05,   3.300724021e-05,           300.9997183,       300.0000862,         0.000336179654,   -3.585239935e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.02097818224,       -1.139282732e-07,           0.02116143132,     3.917332246e-05,                 3.366154468e-05,              0.009787732305,                      0.017546748,                  118226.3037,                         0.001590702641,                        249.8570887,                300.9997185,            300.0000863,             0.0005653965716,         5.634492192e-05
      -5.366972923,       -8.86359811,      -6.626261495,          -5.591253838,      0.2389838251,    0.000156153567,   0.0001022130754,       600.9998045,   0.0003906094166,       2.200766575,      -675588.0925,     0.02179062607,     0.02202399346,      0.009815187831,           95088.2029,                228.0036008,       600.9998048,    0.000694169303,  -0.0003906873758,             5e-05,      0.6606689045,    0.001854927797,                 0,                 0,                 0,     -0.1546691959,    -0.00185492119,      0.6606689046,                 0,    0.002807651131,           0.0001561550399,      -1.472898294e-09,       6.925800363e-05,   3.295507177e-05,           300.9997183,       300.0000862,        0.0003906483962,   -3.897961349e-08,              1.023730132,          1.177036443,              -676020.4596,            432.367039,              0.02179076511,       -1.390401861e-07,           0.02198111829,     4.287517482e-05,                 3.957077272e-05,              0.009775617058,                    0.01754730469,                  95088.18535,                         0.001800216541,                        228.0018006,                300.9997185,            300.0000863,             0.0006379668171,         5.620248592e-05
