 VARIABLES = "X",  "Y"
 ZONE N=       11011 , E=       18274 , F=FEPOINT, ET=QUADRILATERAL
      -30.0000000000      -26.0000000000
      -30.0000000000       10.9200000000
        0.0000000000      -26.0000000000
       19.0000000000      -44.4600000000
       49.0000000000      -44.4600000000
       49.0000000000       -7.5400000000
       19.0000000000       -7.5400000000
        0.0000000000       10.9200000000
       14.9504526297      -24.2592126343
       -0.3614386553       -0.0111647887
      -30.0000000000      -24.9958951235
      -30.0000000000      -23.9917902470
      -30.0000000000      -22.9876853705
      -30.0000000000      -21.9835804940
      -30.0000000000      -20.9794756175
      -30.0000000000      -19.9753707410
      -30.0000000000      -18.9712658645
      -30.0000000000      -17.9671609879
      -30.0000000000      -16.9630561325
      -30.0000000000      -15.9589525695
      -30.0000000000      -14.9548660216
      -30.0000000000      -13.9509212867
      -30.0000000000      -12.9477239527
      -30.0000000000      -11.9471272199
      -30.0000000000      -10.9522541407
      -30.0000000000       -9.9656045427
      -30.0000000000       -8.9864642727
      -30.0000000000       -8.0119896226
      -30.0000000000       -7.0390378361
      -30.0000000000       -6.0657577124
      -30.0000000000       -5.0903808109
      -30.0000000000       -4.1104624849
      -30.0000000000       -3.1232687393
      -30.0000000000       -2.1283962878
      -30.0000000000       -1.1279833275
      -30.0000000000       -0.1249247738
      -30.0000000000        0.8789791015
      -30.0000000000        1.8830582373
      -30.0000000000        2.8871611020
      -30.0000000000        3.8912658663
      -30.0000000000        4.8953707410
      -30.0000000000        5.8994756175
      -30.0000000000        6.9035804940
      -30.0000000000        7.9076853705
      -30.0000000000        8.9117902470
      -30.0000000000        9.9158951235
       -0.9410954170      -26.0000000000
       -1.8724801018      -26.0000000000
       -2.7917011913      -26.0000000000
       -3.7135593405      -26.0000000000
       -4.6359769372      -26.0000000000
       -5.5478709534      -26.0000000000
       -6.4546037847      -26.0000000000
       -7.3763842018      -26.0000000000
       -8.3147452663      -26.0000000000
       -9.2640063488      -26.0000000000
      -10.2153540472      -26.0000000000
      -11.1647246069      -26.0000000000
      -12.1083979890      -26.0000000000
      -13.0493221420      -26.0000000000
      -13.9936906188      -26.0000000000
      -14.9496757255      -26.0000000000
      -15.9262200120      -26.0000000000
      -16.9212161272      -26.0000000000
      -17.9237471020      -26.0000000000
      -18.9288943700      -26.0000000000
      -19.9350301824      -26.0000000000
      -20.9414482853      -26.0000000000
      -21.9479496452      -26.0000000000
      -22.9544558581      -26.0000000000
      -23.9609621637      -26.0000000000
      -24.9674684698      -26.0000000000
      -25.9739747758      -26.0000000000
      -26.9804810819      -26.0000000000
      -27.9869873879      -26.0000000000
      -28.9934936940      -26.0000000000
       18.4192773430      -43.8957820922
       17.8523894982      -43.3450057967
       17.3029441383      -42.8111762523
       16.7790849306      -42.3022056747
       16.2743193393      -41.8117860528
       15.7697931459      -41.3215990249
       15.2243619666      -40.7916695739
       14.6349810050      -40.2190394396
       14.0102835849      -39.6120965777
       13.3671636124      -38.9872547519
       12.7232363072      -38.3616285385
       12.0826056281      -37.7392052576
       11.4394140600      -37.1142938710
       10.7880064750      -36.4813999752
       10.1337638172      -35.8457515824
        9.4751241540      -35.2058311517
        8.8109612298      -34.5605444370
        8.1466088373      -33.9150736387
        7.4822480578      -33.2695946920
        6.8107750578      -32.6172056615
        6.1364113917      -31.9620081206
        5.4637844919      -31.3084979853
        4.7884796922      -30.6523860588
        4.1121185434      -29.9952478058
        3.4319116913      -29.3343731485
        2.7470336119      -28.6689600250
        2.0593979697      -28.0008677116
        1.3713656790      -27.3323900229
        0.6857269863      -26.6662379035
       48.0017923697      -44.4600000000
       47.0035847395      -44.4600000000
       46.0053771092      -44.4600000000
       45.0071694790      -44.4600000000
       44.0089618487      -44.4600000000
       43.0107542185      -44.4600000000
       42.0125465882      -44.4600000000
       41.0143389580      -44.4600000000
       40.0161313423      -44.4600000000
       39.0179245866      -44.4600000000
       38.0197394333      -44.4600000000
       37.0218543930      -44.4600000000
       36.0246178203      -44.4600000000
       35.0290154204      -44.4600000000
       34.0381467234      -44.4600000000
       33.0568781097      -44.4600000000
       32.0845042779      -44.4600000000
       31.1188656630      -44.4600000000
       30.1655825828      -44.4600000000
       29.2238887479      -44.4600000000
       28.2853175625      -44.4600000000
       27.3521459667      -44.4600000000
       26.4353747051      -44.4600000000
       25.5478510372      -44.4600000000
       24.6779025896      -44.4600000000
       23.8208343009      -44.4600000000
       22.9951158265      -44.4600000000
       22.1973955976      -44.4600000000
       21.4095453466      -44.4600000000
       20.6198462660      -44.4600000000
       19.8130559684      -44.4600000000
       49.0000000000       -8.5405868253
       49.0000000000       -9.5411736506
       49.0000000000      -10.5417604759
       49.0000000000      -11.5423473012
       49.0000000000      -12.5429341265
       49.0000000000      -13.5435209517
       49.0000000000      -14.5441077770
       49.0000000000      -15.5446946023
       49.0000000000      -16.5452814276
       49.0000000000      -17.5458682415
       49.0000000000      -18.5464543207
       49.0000000000      -19.5470191502
       49.0000000000      -20.5474875064
       49.0000000000      -21.5476091175
       49.0000000000      -22.5464940441
       49.0000000000      -23.5425490251
       49.0000000000      -24.5350351198
       49.0000000000      -25.5239727486
       49.0000000000      -26.5087530356
       49.0000000000      -27.4910556868
       49.0000000000      -28.4749645277
       49.0000000000      -29.4629834177
       49.0000000000      -30.4562683824
       49.0000000000      -31.4535788543
       49.0000000000      -32.4531382933
       49.0000000000      -33.4535596029
       49.0000000000      -34.4541326963
       49.0000000000      -35.4547185830
       49.0000000000      -36.4553053977
       49.0000000000      -37.4558922230
       49.0000000000      -38.4564790483
       49.0000000000      -39.4570658735
       49.0000000000      -40.4576526988
       49.0000000000      -41.4582395241
       49.0000000000      -42.4588263494
       49.0000000000      -43.4594131747
       19.8130559684       -7.5400000000
       20.6198462660       -7.5400000000
       21.4095453466       -7.5400000000
       22.1973955976       -7.5400000000
       22.9951158265       -7.5400000000
       23.8208343009       -7.5400000000
       24.6779025896       -7.5400000000
       25.5478510372       -7.5400000000
       26.4353747051       -7.5400000000
       27.3521459667       -7.5400000000
       28.2853175625       -7.5400000000
       29.2238887479       -7.5400000000
       30.1655825828       -7.5400000000
       31.1188656630       -7.5400000000
       32.0845042779       -7.5400000000
       33.0568781097       -7.5400000000
       34.0381467234       -7.5400000000
       35.0290154204       -7.5400000000
       36.0246178203       -7.5400000000
       37.0218543930       -7.5400000000
       38.0197394333       -7.5400000000
       39.0179245866       -7.5400000000
       40.0161313423       -7.5400000000
       41.0143389580       -7.5400000000
       42.0125465882       -7.5400000000
       43.0107542185       -7.5400000000
       44.0089618487       -7.5400000000
       45.0071694790       -7.5400000000
       46.0053771092       -7.5400000000
       47.0035847395       -7.5400000000
       48.0017923697       -7.5400000000
        0.6857269863       10.2537620965
        1.3713656790        9.5876099771
        2.0593979697        8.9191322884
        2.7470336119        8.2510399750
        3.4319116913        7.5856268515
        4.1121185434        6.9247521942
        4.7884796922        6.2676139412
        5.4637844919        5.6115020147
        6.1364113917        4.9579918794
        6.8107750578        4.3027943385
        7.4822480578        3.6504053080
        8.1466088373        3.0049263613
        8.8109612298        2.3594555630
        9.4751241540        1.7141688483
       10.1337638172        1.0742484176
       10.7880064750        0.4386000248
       11.4394140600       -0.1942938710
       12.0826056281       -0.8192052576
       12.7232363072       -1.4416285385
       13.3671636124       -2.0672547519
       14.0102835849       -2.6920965777
       14.6349810050       -3.2990394396
       15.2243619666       -3.8716695739
       15.7697931459       -4.4015990249
       16.2743193393       -4.8917860528
       16.7790849306       -5.3822056747
       17.3029441383       -5.8911762523
       17.8523894982       -6.4250057967
       18.4192773430       -6.9757820922
      -28.9934936940       10.9200000000
      -27.9869873879       10.9200000000
      -26.9804810819       10.9200000000
      -25.9739747758       10.9200000000
      -24.9674684698       10.9200000000
      -23.9609621637       10.9200000000
      -22.9544558581       10.9200000000
      -21.9479496452       10.9200000000
      -20.9414482853       10.9200000000
      -19.9350301824       10.9200000000
      -18.9288943700       10.9200000000
      -17.9237471020       10.9200000000
      -16.9212161272       10.9200000000
      -15.9262200120       10.9200000000
      -14.9496757255       10.9200000000
      -13.9936906188       10.9200000000
      -13.0493221420       10.9200000000
      -12.1083979890       10.9200000000
      -11.1647246069       10.9200000000
      -10.2153540472       10.9200000000
       -9.2640063488       10.9200000000
       -8.3147452663       10.9200000000
       -7.3763842018       10.9200000000
       -6.4546037847       10.9200000000
       -5.5478709534       10.9200000000
       -4.6359769372       10.9200000000
       -3.7135593405       10.9200000000
       -2.7917011913       10.9200000000
       -1.8724801018       10.9200000000
       -0.9410954170       10.9200000000
       14.7805086788      -23.7772281209
       14.6101549332      -23.2959311499
       14.4393786820      -22.8152660970
       14.2679115541      -22.3344806719
       14.0956509627      -21.8532930716
       13.9226542726      -21.3718695195
       13.7489341014      -20.8902499156
       13.5744804185      -20.4084111485
       13.3992788309      -19.9263184912
       13.2233169280      -19.4439431801
       13.0465750695      -18.9612371944
       12.8690400876      -18.4781708285
       12.6907638617      -17.9948908505
       12.5117929424      -17.5115275124
       12.3316837580      -17.0268927862
       12.1502236167      -16.5404340497
       11.9679799926      -16.0536868166
       11.7851750058      -15.5672467059
       11.6017626405      -15.0809910161
       11.4177164682      -14.5948504980
       11.2330347485      -14.1088217796
       11.0477170684      -13.6229050223
       10.8617541707      -13.1370773314
       10.6751132084      -12.6512548513
       10.4877565860      -12.1653425969
       10.2998718595      -11.6798279763
       10.1126855397      -11.1978750796
        9.9288796673      -10.7265785959
        9.7519168103      -10.2776977052
        9.5932271762       -9.8202272949
        9.4074974242       -9.3528229574
        9.2154732434       -8.8765129395
        9.0164193403       -8.3915348094
        8.8133295489       -7.9053001562
        8.6064052316       -7.4189737814
        8.3908577214       -6.9319147037
        8.1603258958       -6.4483130013
        7.9156762406       -5.9709570001
        7.6571544906       -5.5004547279
        7.3851267132       -5.0375212339
        7.1001129902       -4.5830102847
        6.8016819067       -4.1362597192
        6.4888915068       -3.6961303445
        6.1620873432       -3.2634797238
        5.8221923848       -2.8397644888
        5.4698544740       -2.4258856042
        5.1055278355       -2.0224056367
        4.7296179158       -1.6297753521
        4.3425365375       -1.2484098449
        3.9447154387       -0.8787048843
        3.5366839548       -0.5211027612
        3.1197992531       -0.1766585136
        2.7020005704        0.1487959527
        2.3267926802        0.4252778037
        2.0373871759        0.6288563498
        1.8288115972        0.7705481448
        1.6667415510        0.8778194938
        1.5211443455        0.9728016279
        1.3621979208        1.0660760174
        1.1770711282        1.1400926496
        0.9859658095        1.1814778409
        0.7939348515        1.1911603264
        0.6043419705        1.1701312864
        0.4251387298        1.1207953856
        0.2585992412        1.0457335229
        0.1065968371        0.9469617736
       -0.0235482573        0.8314008415
       -0.1333929217        0.7022682171
       -0.2252507661        0.5523396170
       -0.2904007395        0.3875014798
       -0.3307600981        0.2212028865
       -0.3161530777       -0.2431813465
       -0.2670410400       -0.4140790297
       -0.1946164545       -0.5883623831
       -0.0972643322       -0.7468073481
       -0.0011452340       -0.8697872100
        0.0843042205       -0.9830871360
        0.1792914030       -1.1095806129
        0.2833730665       -1.2491590852
        0.4009334568       -1.4083295485
        0.5519231052       -1.6150550645
        0.7501623209       -1.8904947474
        1.0049687107       -2.2514808350
        1.2845396297       -2.6569346279
        1.5649785768       -3.0740074287
        1.8410607551       -3.4952826346
        2.1123276153       -3.9201123386
        2.3781541589       -4.3467502736
        2.6365455121       -4.7809173581
        2.8975212118       -5.2170728847
        3.1559646663       -5.6535172498
        3.4124940981       -6.0913470275
        3.6671138004       -6.5305864728
        3.9198192428       -6.9712347814
        4.1706106546       -7.4133000142
        4.4194815140       -7.8567787373
        4.6664305532       -8.3016771188
        4.9114433621       -8.7479777678
        5.1545000187       -9.1956525437
        5.3955775793       -9.6446666236
        5.6346804662      -10.0950356968
        5.8718246279      -10.5467985197
        6.1070229150      -10.9999898905
        6.3402755332      -11.4546216862
        6.5715806719      -11.9107025842
        6.8009314848      -12.3682318111
        7.0283071485      -12.8271804214
        7.2536722340      -13.2874883228
        7.4769946190      -13.7490996599
        7.6982605501      -14.2119948014
        7.9174289051      -14.6760951409
        8.1344275478      -15.1412516004
        8.3491903419      -15.6073211095
        8.5616449114      -16.0741399993
        8.7716741862      -16.5414367789
        8.9794808875      -17.0096542945
        9.1856234113      -17.4801249352
        9.3908467274      -17.9523529766
        9.5947076339      -18.4262190985
        9.7989336012      -18.9007632343
       10.0031880600      -19.3753608325
       10.2074970366      -19.8500841521
       10.4118719528      -20.3249606151
       10.6163013983      -20.7999637750
       10.8207657320      -21.2750479991
       11.0252617902      -21.7502059366
       11.2298002850      -22.2254624783
       11.4343891445      -22.7008360447
       11.6390257469      -23.1763205446
       11.8437113169      -23.6519188236
       12.0484660970      -24.1276779159
       12.2532688224      -24.6035484117
       12.4579235879      -25.0790751146
       12.6624759004      -25.5543637624
       12.8675534644      -26.0308728611
       13.0730654435      -26.5083913472
       13.2788924404      -26.9866417947
       13.4850664727      -27.4656985984
       13.6916160248      -27.9456279431
       13.8985592109      -28.4264719182
       14.1058962829      -28.9082311090
       14.3135972626      -29.3908358597
       14.5216037934      -29.8741505751
       14.7298326268      -30.3579818231
       14.9382150675      -30.8421699862
       15.1466909522      -31.3265752714
       15.3551161442      -31.8108627695
       15.5633344835      -32.2946696339
       15.7720136121      -32.7795471677
       15.9819055854      -33.2672428133
       16.1927709057      -33.7572000850
       16.4042721257      -34.2486349047
       16.6163039015      -34.7413025003
       16.8288784985      -35.2352313709
       17.0420379300      -35.7305191343
       17.2557798887      -36.2271604278
       17.4686437621      -36.7217619500
       17.6640138112      -37.1757154160
       17.8054676032      -37.5042415782
       17.8958739092      -37.7148751145
       17.9658875041      -37.8771686473
       18.0206442875      -38.0019045466
       18.0606810758      -38.0966174488
       18.0955316224      -38.1844769260
       18.1336604479      -38.2760718439
       18.1787211597      -38.3691343590
       18.2332728663      -38.4606787811
       18.3010941247      -38.5483227441
       18.3859005772      -38.6284675845
       18.4844776149      -38.6931325755
       18.5902949505      -38.7390920976
       18.7023910362      -38.7674556890
       18.8195677591      -38.7774887711
       18.9371576106      -38.7679228031
       19.0474983894      -38.7403334240
       19.1442704386      -38.6997845242
       19.2282893541      -38.6495904426
       19.3040519707      -38.5877540272
       19.3709644926      -38.5121973264
       19.4249950252      -38.4251425935
       19.4641819576      -38.3294383806
       19.4881041482      -38.2278204070
       19.4974736211      -38.1238874101
       19.4943918735      -38.0205447966
       19.4809829017      -37.9158619063
       19.4583644733      -37.8070692482
       19.4269675802      -37.6905315606
       19.3878388318      -37.5626614359
       19.3377352087      -37.4035931614
       19.2625372987      -37.1665546268
       19.1521548224      -36.8179837626
       19.0052493037      -36.3560849627
       18.8475615898      -35.8622314978
       18.6886105282      -35.3665080294
       18.5294162403      -34.8721017299
       18.3702396261      -34.3798028398
       18.2113790844      -33.8905048397
       18.0530309952      -33.4047745027
       17.8950057658      -32.9219928135
       17.7369082261      -32.4409265552
       17.5784147805      -31.9605787092
       17.4193901199      -31.4805353246
       17.2598019703      -31.0006981817
       17.0996370998      -30.5210275306
       16.9388482746      -30.0413830226
       16.7773255356      -29.5614405027
       16.6149488861      -29.0808512491
       16.4516815257      -28.5995168098
       16.2876009689      -28.1176753540
       16.1227956658      -27.6355933110
       15.9573184370      -27.1534293821
       15.7911825343      -26.6712252062
       15.6243864837      -26.1889793035
       15.4569198304      -25.7066643859
       15.2887763540      -25.2242651552
       15.1199502522      -24.7417645667
      -29.0153925127       10.3791496764
       44.7664154332      -39.9027276213
       -4.2647432719      -24.7177521521
      -12.6666541232       10.2809402719
      -29.2343316883      -19.6888135926
       48.3420718006       -8.4752883019
       48.2850609912      -18.1425579784
       45.3148578040      -38.9940986003
      -22.0927319907      -24.4414537969
      -22.9019001424      -24.3225613978
       48.3157631012      -27.9394897333
      -29.3750940181       -9.4012601417
       47.2971921270      -38.2022667457
       48.0839580134      -19.0711859195
       48.3111006017      -20.0657032345
      -23.8605335648      -24.1874603155
      -24.0905369933      -23.2088766859
       44.4636181209      -38.8158787360
      -29.1281061755      -24.6232329922
      -28.3454496552      -23.8422606015
      -28.2251063319      -25.0119241662
      -27.2617437162      -25.1434917497
      -24.7861806689      -23.9573645674
      -22.4510372219      -25.1675799960
      -23.4762062664      -25.1018996422
      -24.5576095412      -24.9846223685
      -25.4492763624      -25.3392432518
      -26.2976319970      -25.2351878235
      -25.5176841413      -24.5695850494
       37.6836781303       -9.0195536233
       47.5235203275      -37.1003958344
       46.7236897041      -37.6142952994
       42.7225915466      -43.7247430673
       47.0798576186      -43.7673551957
       46.2423350336      -43.2559502042
       48.0776692718      -43.1885040611
       48.1004263181      -41.0661429873
       48.1158118285      -42.0967022452
       47.1969447619      -42.6955754849
       47.2669799154      -41.6695461244
       47.0500959805      -39.2496596197
       47.3117101685      -40.7891433757
       45.9651016268      -39.5709411992
