"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.659613601291033e+03, -1.056534261938514e+01, -4.843013870167760e+00, 9.522157081838819e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.397731643600591e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 9.594124468585679e+02, -5.675304495724220e+00, -1.308620283867247e+00, 4.493539822378873e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.273622198097417e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 6.889128120499765e+02, -3.964111631106274e+00, -6.053389708616286e-01, 2.611776505066704e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.603264045795267e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 5.673261930842149e+02, -3.262451352562730e+00, -4.920756122112204e-01, 1.952057565542378e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.156159401981499e+00
4, 9.937800168990000e-01, -9.004365425509819e-04, 4.836126729303667e+02, -2.806798253492288e+00, -4.714621354454026e-01, 1.606587852779264e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.784391433711888e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 4.218816798567923e+02, -2.478005983448244e+00, -4.539316107643792e-01, 1.390015452026406e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.571284325341621e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 3.751880109409976e+02, -2.229414059173597e+00, -4.320266574146726e-01, 1.235932040415572e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.347465312707211e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 3.390907943825806e+02, -2.035626580946673e+00, -4.095048098044658e-01, 1.118770175921315e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.571549936567596e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 3.109772498049398e+02, -1.882688654125726e+00, -3.885849422792638e-01, 1.027335506243194e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.036484041707457e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 2.885425986843859e+02, -1.758709661548175e+00, -3.701128121311707e-01, 9.540553547411121e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.651195138369333e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 2.704101307860043e+02, -1.656977346550475e+00, -3.538707339060331e-01, 8.945709946927931e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.366702927347782e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 2.554603047662681e+02, -1.571780269505203e+00, -3.396278214426056e-01, 8.453585092845209e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.150688033536469e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 2.430205515932605e+02, -1.499728898569672e+00, -3.270047926389484e-01, 8.042822412635012e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.813687139462431e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 2.325560774171017e+02, -1.438102819723296e+00, -3.157141685027267e-01, 7.696205278420538e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.472037028294158e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 2.236904089490918e+02, -1.384970138924170e+00, -3.055227849923711e-01, 7.401591977590320e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.384936319902670e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 2.161313332286610e+02, -1.338839748394242e+00, -2.962440689016258e-01, 7.149544154109399e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.494436694206809e-02
