"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Surface_Sensitivity","Solution_Sensor"
0,9.997500181200000e-01,-3.632896519016437e-05,2.079438596001928e+03,-1.379830298849852e+01,-4.594441495837422e+00,1.261465938780226e-02,-3.099287096147016e+04,0.000000000000000e+00,
1,9.990000128750000e-01,-1.452537504052920e-04,7.581088896042796e+02,-6.349431434187586e+00,-3.956177045542743e-01,4.882257459461274e-03,9.410557795579874e+03,0.000000000000000e+00,
2,9.977599978450000e-01,-3.251111630156300e-04,5.685206206781668e+02,-4.868523254655732e+00,-3.185390565145794e-01,3.183419313252802e-03,1.426377013686965e+03,0.000000000000000e+00,
3,9.960200190539999e-01,-5.769983605901485e-04,5.176273323474738e+02,-4.281014968132602e+00,-5.189162773990882e-01,2.619575284494891e-03,4.305784998940854e+02,0.000000000000000e+00,
4,9.937800168990000e-01,-9.004365425509819e-04,4.682072682221598e+02,-3.806577630662306e+00,-5.995087284175050e-01,2.244793834241441e-03,2.316378055753281e+02,0.000000000000000e+00,
5,9.910500049590000e-01,-1.293363843462116e-03,4.254274966973801e+02,-3.429255252770092e+00,-6.047426007017495e-01,1.974727048741043e-03,1.395152820557684e+02,0.000000000000000e+00,
6,9.878399968150000e-01,-1.753609743384430e-03,3.903371312228223e+02,-3.128219392811546e+00,-5.808748032618670e-01,1.769456777723118e-03,9.041938451322760e+01,0.000000000000000e+00,
7,9.841300249100000e-01,-2.283176811071472e-03,3.618523347734060e+02,-2.886394197286194e+00,-5.508471859923534e-01,1.609957703209834e-03,6.139552258087034e+01,0.000000000000000e+00,
8,9.799500107769999e-01,-2.876826092032643e-03,3.391521041079700e+02,-2.690609400346637e+00,-5.213709710389214e-01,1.484074755291998e-03,4.340427153898533e+01,0.000000000000000e+00,
9,9.752799868580000e-01,-3.536324145770189e-03,3.205523742386134e+02,-2.528808965003447e+00,-4.948686432699222e-01,1.382329461613035e-03,3.185010610287641e+01,0.000000000000000e+00,
10,9.701499938960000e-01,-4.256268552403566e-03,3.053128217002470e+02,-2.393938148868243e+00,-4.712477815847925e-01,1.299190051892918e-03,2.405132385523007e+01,0.000000000000000e+00,
11,9.645400047300000e-01,-5.038225493362627e-03,2.925693182689283e+02,-2.279432593281729e+00,-4.504086072575126e-01,1.229863494293031e-03,1.864006450330136e+01,0.000000000000000e+00,
