"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.632896519016437e-05	9.330929399034686e-01	-6.107667416115240e-03	-1.928565669920364e-03	5.548256031027877e-06	-3.060649377491341e+02	0.000000000000000e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	3.603717052195644e-01	-2.884247889157533e-03	-1.133153814304835e-04	2.203884718628586e-06	1.854971259660151e+02	0.000000000000000e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	2.766165297083163e-01	-2.238024314495393e-03	-7.969303753053814e-05	1.465952764010752e-06	4.206479353516771e+01	0.000000000000000e+00	
3	9.960200190539999e-01	-5.769983605901485e-04	2.529213618561237e-01	-1.977387708028345e-03	-1.659378047687796e-04	1.218069450165283e-06	1.695617065496389e+01	0.000000000000000e+00	
4	9.937800168990000e-01	-9.004365425509819e-04	2.300029588670518e-01	-1.765770587118142e-03	-2.004300299178131e-04	1.051978712872949e-06	1.139930415800958e+01	0.000000000000000e+00	
5	9.910500049590000e-01	-1.293363843462116e-03	2.100657577266976e-01	-1.596423142497932e-03	-2.022786172574070e-04	9.313071468858928e-07	8.213943314080904e+00	0.000000000000000e+00	
6	9.878399968150000e-01	-1.753609743384430e-03	1.935361594536699e-01	-1.460337367495973e-03	-1.914863462309782e-04	8.387708506179750e-07	6.208382422875651e+00	0.000000000000000e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	1.799198566774705e-01	-1.350054756160032e-03	-1.780456610216067e-04	7.661130982451819e-07	4.813631288097334e+00	0.000000000000000e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	1.688618610124858e-01	-1.259921696405138e-03	-1.648572169024708e-04	7.081055952482576e-07	3.823441206222501e+00	0.000000000000000e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	1.596167090425870e-01	-1.184652755075225e-03	-1.530024117408026e-04	6.606137754734080e-07	3.112523871724547e+00	0.000000000000000e+00	
10	9.701499938960000e-01	-4.256268552403566e-03	1.518649348251989e-01	-1.121214463407990e-03	-1.424276058180973e-04	6.212571754108523e-07	2.581249673084378e+00	0.000000000000000e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	1.452206461189587e-01	-1.066715844087996e-03	-1.331062171593810e-04	5.879354789171315e-07	2.180588677578035e+00	0.000000000000000e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	1.394897485981345e-01	-1.019513018324387e-03	-1.248395856954737e-04	5.594598388810973e-07	1.865238437753934e+00	0.000000000000000e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	1.344856656540292e-01	-9.781672488095537e-04	-1.174553811152465e-04	5.348125657011725e-07	1.615960557566949e+00	0.000000000000000e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	1.300812374344512e-01	-9.416503248713683e-04	-1.108190222388137e-04	5.132816596813984e-07	1.414087382491395e+00	0.000000000000000e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	1.261744650729498e-01	-9.091566218018944e-04	-1.048177631264786e-04	4.943155813014013e-07	1.248363726212286e+00	0.000000000000000e+00	
16	9.296900033950000e-01	-9.774221272349531e-03	1.226872128048329e-01	-8.800337962836624e-04	-9.934431180250923e-05	4.774750272219409e-07	1.112605782056122e+00	0.000000000000000e+00	
17	9.214000105860000e-01	-1.087086069705918e-02	1.195468775659782e-01	-8.537389786662339e-04	-9.433124787393633e-05	4.624015512684399e-07	9.984063510237875e-01	0.000000000000000e+00	
18	9.126999974250000e-01	-1.200973104171110e-02	1.167149767555877e-01	-8.299386938857662e-04	-8.970307593054723e-05	4.488725880479485e-07	9.012180918808190e-01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.319055953446835e-02	1.141414460376122e-01	-8.082473180314784e-04	-8.541468117626525e-05	4.366367535691199e-07	8.187828842515227e-01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.440916392228702e-02	1.117972089741411e-01	-7.884243874581856e-04	-8.142598460955975e-05	4.255415507925119e-07	7.470868083898069e-01	0.000000000000000e+00	
21	8.841500282290000e-01	-1.566269158090452e-02	1.096561181668816e-01	-7.702488976696470e-04	-7.769645684633472e-05	4.154405809871516e-07	6.848696165122322e-01	0.000000000000000e+00	
22	8.738499879840000e-01	-1.694956337677533e-02	1.076925609246737e-01	-7.535198549713707e-04	-7.419783531482536e-05	4.062106603811380e-07	6.307750435646845e-01	0.000000000000000e+00	
23	8.631799817090000e-01	-1.826569132102762e-02	1.058933166212044e-01	-7.381149865432326e-04	-7.090768650838197e-05	3.977694291008293e-07	5.824622818269216e-01	0.000000000000000e+00	
24	8.521599769590000e-01	-1.960709133914372e-02	1.042435476782748e-01	-7.238976050512121e-04	-6.780075646576891e-05	3.900334802665698e-07	5.410981863552001e-01	0.000000000000000e+00	
25	8.407700061800000e-01	-2.097463226217677e-02	1.027196069112173e-01	-7.107098117265971e-04	-6.485720935031233e-05	3.829038521466502e-07	5.052596787000754e-01	0.000000000000000e+00	
26	8.290500044819999e-01	-2.236196298315981e-02	1.013187387968442e-01	-6.985014491605997e-04	-6.206380424715330e-05	3.763457401060149e-07	4.717884838527223e-01	0.000000000000000e+00	
27	8.170099854470000e-01	-2.376642068849115e-02	1.000321324433958e-01	-6.871728045824295e-04	-5.940349873538840e-05	3.703043601728727e-07	4.414039726629132e-01	0.000000000000000e+00	
28	8.046399950980000e-01	-2.518763605296113e-02	9.884990616908719e-02	-6.766683893617779e-04	-5.687139167134870e-05	3.647548194365528e-07	4.105441696789788e-01	0.000000000000000e+00	
29	7.919700145720000e-01	-2.662062628442961e-02	9.778347595654101e-02	-6.669702279933399e-04	-5.445306670007463e-05	3.596906123054710e-07	3.803352371541795e-01	0.000000000000000e+00	
30	7.790099978450000e-01	-2.806276676215449e-02	9.682343576672589e-02	-6.580405666328490e-04	-5.213531623956790e-05	3.550788790720784e-07	3.561712419293531e-01	0.000000000000000e+00	
31	7.657799720760000e-01	-2.951033727360171e-02	9.596447433013199e-02	-6.498274886277974e-04	-4.990522139283448e-05	3.508618058527582e-07	3.377362522484009e-01	0.000000000000000e+00	
32	7.522799968720000e-01	-3.096181144522562e-02	9.518072376066741e-02	-6.421945462057801e-04	-4.774148336299126e-05	3.469666166853886e-07	3.273842527852369e-01	0.000000000000000e+00	
33	7.385200262070000e-01	-3.241453277608040e-02	9.446202092672139e-02	-6.351263593596980e-04	-4.564594228740663e-05	3.433664450629907e-07	3.135139345640151e-01	0.000000000000000e+00	
34	7.245299816130000e-01	-3.386376679305321e-02	9.382524897442898e-02	-6.286168745504577e-04	-4.362604129003622e-05	3.401288642078101e-07	2.931361219649876e-01	0.000000000000000e+00	
35	7.103199958800001e-01	-3.530689307158652e-02	9.326292119579342e-02	-6.226243911042581e-04	-4.167163514076972e-05	3.372345818889237e-07	2.764689468261007e-01	0.000000000000000e+00	
36	6.958900094030001e-01	-3.674225211597043e-02	9.277368109514780e-02	-6.171152285792868e-04	-3.975858224369628e-05	3.346301861463474e-07	2.627151511592433e-01	0.000000000000000e+00	
37	6.812700033190000e-01	-3.816515293304169e-02	9.235025437624109e-02	-6.120712156929926e-04	-3.787624719200066e-05	3.323140554618062e-07	2.519024774226857e-01	0.000000000000000e+00	
38	6.664699912070000e-01	-3.957289370556494e-02	9.199160489518815e-02	-6.074603765437267e-04	-3.601726209188116e-05	3.302485233141169e-07	2.418305718402362e-01	0.000000000000000e+00	
39	6.514999866490000e-01	-4.096270419333766e-02	9.169527328907666e-02	-6.032727967168806e-04	-3.417899166884526e-05	3.284524772567093e-07	2.328850886280392e-01	0.000000000000000e+00	
