"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.603517871616792e+00, 2.553835245725701e+02, 3.711002122018917e+01, 3.798371000676188e+05, 1.436283659331950e+05, 3.120302939343180e+02
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.434855934889298e+00, 2.577041061335310e+02, 3.742054129699680e+01, 3.416127259518619e+05, 1.271930329887565e+05, 3.088057443002901e+02
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.419983065920197e+00, 2.755237474148797e+02, 3.992944856506760e+01, 3.389744049872871e+05, 1.246730548717885e+05, 3.058579555513196e+02
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.398908938916548e+00, 2.845021513824395e+02, 4.112551163648219e+01, 3.347873993039157e+05, 1.221010696891532e+05, 3.040607544027869e+02
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.382218565544072e+00, 2.894137958055236e+02, 4.171717328968921e+01, 3.312585945453456e+05, 1.201319258328122e+05, 3.027694574577524e+02
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.370292660771723e+00, 2.941047886713250e+02, 4.224453621395038e+01, 3.288337065453797e+05, 1.186483187277436e+05, 3.016328254127142e+02
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.360084427253476e+00, 2.979819879460431e+02, 4.262351713117829e+01, 3.267878600908727e+05, 1.173909668695119e+05, 3.006762719814956e+02
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.350032465010945e+00, 3.008474459622778e+02, 4.282822952548277e+01, 3.247059174426853e+05, 1.162021858881601e+05, 2.998474988975937e+02
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.341046758946756e+00, 3.034717855065535e+02, 4.297022237821213e+01, 3.228450100018867e+05, 1.151278191980190e+05, 2.990657662042075e+02
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.332891733917262e+00, 3.059303214460619e+02, 4.306140951223146e+01, 3.211655507889831e+05, 1.141443299263779e+05, 2.983251128782156e+02
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.325104565889449e+00, 3.081458796269212e+02, 4.309051330394929e+01, 3.195558816388080e+05, 1.132105736367309e+05, 2.976234768650403e+02
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.317635399718446e+00, 3.101655109075038e+02, 4.306641934749389e+01, 3.180077700611607e+05, 1.123192698014050e+05, 2.969541250943436e+02
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.310502348861696e+00, 3.120369847253326e+02, 4.299591015774989e+01, 3.165269857258208e+05, 1.114691612802159e+05, 2.963106594499071e+02
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.303624995945602e+00, 3.137795629613131e+02, 4.288302999143315e+01, 3.150972790352083e+05, 1.106515772648079e+05, 2.956890725419507e+02
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.297000041605167e+00, 3.154119544175923e+02, 4.273161126622417e+01, 3.137188068067029e+05, 1.098652114904392e+05, 2.950873221969848e+02
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.290572224958729e+00, 3.169431858421656e+02, 4.254413680212735e+01, 3.123797566354055e+05, 1.091042058495467e+05, 2.945028646750168e+02
