"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.453931282286182e+00	2.633686484423963e+02	3.540895357109001e+01	3.460852688850992e+05	1.287201905573113e+05	6.035033695787793e-01	5.191523705415928e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.424329182430975e+00	2.720266462438610e+02	3.869904583377467e+01	3.398138121936805e+05	1.253245888935202e+05	5.286998363980865e-01	5.496357160184964e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.406109976233819e+00	2.800411901760810e+02	4.016303449157370e+01	3.361233335332873e+05	1.230652825371268e+05	4.789283629658538e-01	5.747799652161693e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.391161838629192e+00	2.862522068628472e+02	4.107231735928388e+01	3.330926451363389e+05	1.212144077970334e+05	4.381544490199805e-01	5.951740248699978e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.378420233388180e+00	2.910107345938956e+02	4.181428753108367e+01	3.304909549050034e+05	1.196551147639495e+05	4.038039451365275e-01	6.118233686870909e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.367391691615318e+00	2.949886153567235e+02	4.229804480979945e+01	3.282384506470451e+05	1.183060651519082e+05	3.740850065187217e-01	6.261964562586784e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.357295441782902e+00	2.982981875884186e+02	4.261800862265239e+01	3.261619187608274e+05	1.170854986167516e+05	3.471964906231631e-01	6.388304672659803e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.348076349701653e+00	3.012365459878400e+02	4.284804481382823e+01	3.242655780120209e+05	1.159711914047939e+05	3.226488184412319e-01	6.503705779538459e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.339476276917685e+00	3.038391062740235e+02	4.300116946669328e+01	3.224918494114514e+05	1.149364231020724e+05	2.998533516194437e-01	6.609820969023444e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.331396437992130e+00	3.061983000163186e+02	4.308522739090596e+01	3.208232797209349e+05	1.139663869136904e+05	2.784839033187582e-01	6.708942045491950e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.323735152932912e+00	3.083518977000041e+02	4.311069404206099e+01	3.192386385104487e+05	1.130491079771735e+05	2.582766728607876e-01	6.802242027772653e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.316420640592338e+00	3.103361121697341e+02	4.308579968023253e+01	3.177235570095386e+05	1.121755137349724e+05	2.390317960014724e-01	6.890769077863839e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.309404533864829e+00	3.121793548720426e+02	4.301400508109710e+01	3.162685599903931e+05	1.113392843306667e+05	2.206100492286727e-01	6.975300645749342e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.302642186769162e+00	3.138961055878382e+02	4.289979896423043e+01	3.148642021732820e+05	1.105352851560701e+05	2.028983195003284e-01	7.056306094932074e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.296106297150351e+00	3.155060970027437e+02	4.274666525491818e+01	3.135053796182852e+05	1.097597041778292e+05	1.858126294858571e-01	7.134308347436096e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.289773001206122e+00	3.170192454040633e+02	4.255766503558240e+01	3.121871523312417e+05	1.090096882681339e+05	1.692901261000205e-01	7.209594470754875e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.283616112708423e+00	3.184476240768913e+02	4.233531527848458e+01	3.109042585681792e+05	1.082819476220579e+05	1.532583364628030e-01	7.282536660202590e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.277613755576708e+00	3.198001391409613e+02	4.208346906686458e+01	3.096522440265453e+05	1.075737925432004e+05	1.376580078072767e-01	7.353425440732586e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.271755479357741e+00	3.210838056912561e+02	4.180243209227247e+01	3.084290853868458e+05	1.068838335817922e+05	1.224585311980592e-01	7.422433856473071e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.266019714181959e+00	3.223008904857573e+02	4.149483493272857e+01	3.072299745426779e+05	1.062098348472743e+05	1.076106510008971e-01	7.489704670598910e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.260404011494907e+00	3.234633736809005e+02	4.116199690531318e+01	3.060551026049111e+05	1.055508056075170e+05	9.309254184547951e-02	7.555507675729933e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.254899157832562e+00	3.245721961088510e+02	4.080621414170451e+01	3.049023737686950e+05	1.049058328582118e+05	7.888409066943007e-02	7.619886691447618e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.249478300433702e+00	3.256271012296724e+02	4.042793263032812e+01	3.037656546260010e+05	1.042722807953265e+05	6.492723192975441e-02	7.682973820499800e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.244149875906226e+00	3.266426979902836e+02	4.002924149697776e+01	3.026478377869489e+05	1.036500119178959e+05	5.121893654382807e-02	7.745059445702787e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.238886253371258e+00	3.276135785119420e+02	3.961106331004157e+01	3.015422736306565e+05	1.030366525294636e+05	3.770691307725368e-02	7.806164927680462e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.233683682287558e+00	3.285477965734039e+02	3.917553240380987e+01	3.004486775888801e+05	1.024312623911189e+05	2.437044850196628e-02	7.866507925472568e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.228526183611617e+00	3.294442302181593e+02	3.872049201374814e+01	2.993633180165374e+05	1.018323549324143e+05	1.117679435899070e-02	7.926143258436761e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	1.223413342787415e+00	3.303094250476158e+02	3.824820013162577e+01	2.982865683568380e+05	1.012394213233730e+05	-1.885258640579034e-03	7.985236537983673e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	1.218335520294730e+00	3.311413173568540e+02	3.775848608931096e+01	2.972160725854184e+05	1.006516696460937e+05	-1.483315608161294e-02	8.043786058629652e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	1.213291502177491e+00	3.319413865649746e+02	3.725013571719705e+01	2.961516182241872e+05	1.000689159496979e+05	-2.767095031683138e-02	8.101821936327105e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	1.208278315919565e+00	3.327168862793303e+02	3.672366577965098e+01	2.950930757982660e+05	9.949031897157888e+04	-4.041717397212656e-02	8.159553057259525e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	1.203279337958664e+00	3.334672774291924e+02	3.617999184663601e+01	2.940366860796091e+05	9.891420923197902e+04	-5.310860491393005e-02	8.217086293019222e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	1.198254822609128e+00	3.341907910910506e+02	3.561700144343425e+01	2.929734404681677e+05	9.833661573754277e+04	-6.583272228810290e-02	8.274672804308379e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	1.193204744049585e+00	3.348957648464844e+02	3.503551915522688e+01	2.919039981981443e+05	9.775687079824581e+04	-7.860423499687588e-02	8.332554699441630e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	1.188131629157108e+00	3.355823453935278e+02	3.443214998979625e+01	2.908289056932695e+05	9.717525321187629e+04	-9.141700125400298e-02	8.390716766750322e-01	
35	7.103199958800001e-01	-3.530689307158652e-02	1.183026915256718e+00	3.362443964980803e+02	3.380885859006973e+01	2.897457863294972e+05	9.659134330016978e+04	-1.042802663774236e-01	8.449070931893272e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	1.177900878009017e+00	3.368947648234837e+02	3.316092229193612e+01	2.886579249252328e+05	9.600521192417936e+04	-1.171924693309331e-01	8.507896741877872e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	1.172715370804121e+00	3.375181660703342e+02	3.248818234631258e+01	2.875556358730868e+05	9.541408730682400e+04	-1.302146710808571e-01	8.567088102961719e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	1.167478330665402e+00	3.381269331269227e+02	3.178892034595701e+01	2.864416906626761e+05	9.481778989724515e+04	-1.433508270495147e-01	8.626950419223022e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	1.162166024466205e+00	3.387188183391689e+02	3.105924423132361e+01	2.853106531709434e+05	9.421400539896423e+04	-1.566519201172801e-01	8.687637096398921e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	1.156775032923753e+00	3.392920040364190e+02	3.030080275120979e+01	2.841616647041581e+05	9.360247585373140e+04	-1.701236329850154e-01	8.749162564229461e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	1.151290036585182e+00	3.398502823484753e+02	2.950598615328305e+01	2.829916442480670e+05	9.298127948291297e+04	-1.838083015466284e-01	8.811790451004320e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	1.145703840454606e+00	3.403888521289433e+02	2.867806362749806e+01	2.817986758648939e+05	9.234998254869539e+04	-1.977154808454189e-01	8.875495941620190e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	1.140006087363613e+00	3.409119891302248e+02	2.780807355497080e+01	2.805808313097513e+05	9.170713102113885e+04	-2.118772024880413e-01	8.940527543652546e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	1.134196592970397e+00	3.414140876767706e+02	2.689830911236956e+01	2.793376750216887e+05	9.105310022950379e+04	-2.262851981445889e-01	9.006780215687419e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	1.128269402378304e+00	3.418985891302973e+02	2.594107141556870e+01	2.780682082772329e+05	9.038694425930633e+04	-2.409603058733758e-01	9.074454393207622e-01	
