"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.632896519016437e-05	2.101698994582765e+02	-1.146105857261403e+02	-5.482765677702327e+01	-2.643439715529546e+05	0.000000000000000e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	8.837994646423851e+01	-5.949404796543266e+01	-6.037308652888627e+00	7.442824680364106e+04	0.000000000000000e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	5.899568589492268e+01	-4.508487354753142e+01	-1.274559083445417e+00	1.293697973106945e+04	0.000000000000000e+00	
3	9.960200190539999e-01	-5.769983605901485e-04	4.919531071525206e+01	-3.868488060238656e+01	-2.743956986753576e+00	3.727433217297112e+03	0.000000000000000e+00	
4	9.937800168990000e-01	-9.004365425509819e-04	4.273443195957934e+01	-3.386069653268985e+01	-3.657577537520910e+00	1.881563488476883e+03	0.000000000000000e+00	
5	9.910500049590000e-01	-1.293363843462116e-03	3.776770872789203e+01	-3.003498781120260e+01	-3.761386073865289e+00	1.139292247251552e+03	0.000000000000000e+00	
6	9.878399968150000e-01	-1.753609743384430e-03	3.380809272245767e+01	-2.697452073764319e+01	-3.486399673145679e+00	7.504150214407481e+02	0.000000000000000e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	3.061323063519790e+01	-2.450660838830465e+01	-3.118296293513683e+00	5.154907455592468e+02	0.000000000000000e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	2.803306986912202e+01	-2.249828379931959e+01	-2.756180387284249e+00	3.667365581969524e+02	0.000000000000000e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	2.589718991201736e+01	-2.082976220368726e+01	-2.435294639222925e+00	2.704909894919450e+02	0.000000000000000e+00	
10	9.701499938960000e-01	-4.256268552403566e-03	2.411564932336466e+01	-1.942994554881754e+01	-2.154634676775386e+00	2.049231162211429e+02	0.000000000000000e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	2.259624177047629e+01	-1.823192054681479e+01	-1.913008253447573e+00	1.594505867796812e+02	0.000000000000000e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	2.129001610509675e+01	-1.719768796853176e+01	-1.703839782706537e+00	1.264896714381500e+02	0.000000000000000e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	2.015243103708004e+01	-1.629427706853044e+01	-1.521169366155237e+00	1.022834168965726e+02	0.000000000000000e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	1.915239023314771e+01	-1.549803563451555e+01	-1.360400098705934e+00	8.402922386420903e+01	0.000000000000000e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	1.826591027721485e+01	-1.479076239178526e+01	-1.217886957537486e+00	6.998045995945476e+01	0.000000000000000e+00	
16	9.296900033950000e-01	-9.774221272349531e-03	1.747406423029789e+01	-1.415778064111632e+01	-1.090287906440286e+00	5.903448550077545e+01	0.000000000000000e+00	
17	9.214000105860000e-01	-1.087086069705918e-02	1.676051201728932e+01	-1.358677511137699e+01	-9.754985908137341e-01	5.034589776943493e+01	0.000000000000000e+00	
18	9.126999974250000e-01	-1.200973104171110e-02	1.611570071848238e+01	-1.307021793498728e+01	-8.711428058363010e-01	4.335050529121385e+01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.319055953446835e-02	1.552817591458917e+01	-1.259937028243447e+01	-7.760042601546202e-01	3.769187776613697e+01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.440916392228702e-02	1.499114178561990e+01	-1.216882311470749e+01	-6.887854396053557e-01	3.301928023016512e+01	0.000000000000000e+00	
21	8.841500282290000e-01	-1.566269158090452e-02	1.449820622916430e+01	-1.177366556346884e+01	-6.083395821332929e-01	2.914619406794726e+01	0.000000000000000e+00	
22	8.738499879840000e-01	-1.694956337677533e-02	1.404364472497423e+01	-1.140934355414615e+01	-5.339096055098778e-01	2.591153654860587e+01	0.000000000000000e+00	
23	8.631799817090000e-01	-1.826569132102762e-02	1.362367667515610e+01	-1.107295321646388e+01	-4.647990503351231e-01	2.315828195547793e+01	0.000000000000000e+00	
24	8.521599769590000e-01	-1.960709133914372e-02	1.323468495579679e+01	-1.076147267224794e+01	-4.003263858724848e-01	2.084376003548732e+01	0.000000000000000e+00	
25	8.407700061800000e-01	-2.097463226217677e-02	1.287216307358252e+01	-1.047157561942617e+01	-3.400215101575752e-01	1.887264464175922e+01	0.000000000000000e+00	
26	8.290500044819999e-01	-2.236196298315981e-02	1.253490049530564e+01	-1.020212727467960e+01	-2.834792370423123e-01	1.711288106531038e+01	0.000000000000000e+00	
27	8.170099854470000e-01	-2.376642068849115e-02	1.222055283480845e+01	-9.950941263284157e+00	-2.302648355351899e-01	1.558097891945913e+01	0.000000000000000e+00	
28	8.046399950980000e-01	-2.518763605296113e-02	1.192683724182262e+01	-9.716394555760317e+00	-1.802721242432111e-01	1.420084801737481e+01	0.000000000000000e+00	
29	7.919700145720000e-01	-2.662062628442961e-02	1.165286525809721e+01	-9.497197095768627e+00	-1.330974331049267e-01	1.299652766608801e+01	0.000000000000000e+00	
30	7.790099978450000e-01	-2.806276676215449e-02	1.139666488029804e+01	-9.292502367236754e+00	-8.814282570843016e-02	1.197865118026592e+01	0.000000000000000e+00	
31	7.657799720760000e-01	-2.951033727360171e-02	1.115749658463006e+01	-9.101741546960408e+00	-4.529875314997399e-02	1.109507380978263e+01	0.000000000000000e+00	
32	7.522799968720000e-01	-3.096181144522562e-02	1.093309053982113e+01	-8.923040678207339e+00	-4.175504160056087e-03	1.038343960436962e+01	0.000000000000000e+00	
33	7.385200262070000e-01	-3.241453277608040e-02	1.072220483871062e+01	-8.756059501027183e+00	3.527309941492519e-02	9.697769607907263e+00	0.000000000000000e+00	
34	7.245299816130000e-01	-3.386376679305321e-02	1.052378135190918e+01	-8.598473941629365e+00	7.239963176610487e-02	9.065779363480885e+00	0.000000000000000e+00	
