"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Surface_Sensitivity","Solution_Sensor"
0,9.999995231628420e-01,1.588018349139020e-04,2.658994504656964e+02,8.016189557711784e-01,-3.826191049996517e-01,-5.003035676465437e-05,0.000000000000000e+00,0.000000000000000e+00,
1,9.999990463256840e-01,1.467872498324140e-04,2.191813944573699e+02,6.232499040336077e-01,-2.001845992825193e-01,1.307313580338616e-05,0.000000000000000e+00,0.000000000000000e+00,
2,9.999985098838809e-01,1.325350604020060e-04,2.114342322995308e+02,3.642402785929052e-01,-2.083676354870701e-01,1.313240453014323e-04,0.000000000000000e+00,0.000000000000000e+00,
3,9.999977350234990e-01,1.123900292441250e-04,1.946436758923858e+02,-1.466148546897206e-01,-1.768145008446196e-01,3.088918281801628e-04,0.000000000000000e+00,0.000000000000000e+00,
4,9.999965429306030e-01,7.934604946058239e-05,1.799959542321122e+02,-4.852979404319788e-01,-1.665880998115977e-01,4.599895617491953e-04,0.000000000000000e+00,0.000000000000000e+00,
5,9.999945163726810e-01,2.192894316976890e-05,1.588832648285168e+02,-8.012722681474074e-01,-1.651665283437614e-01,6.233159437638068e-04,0.000000000000000e+00,0.000000000000000e+00,
6,9.999911785125730e-01,-7.692110375501220e-05,1.366119929069413e+02,-9.543763006155550e-01,-1.791330308112019e-01,7.219813108873608e-04,0.000000000000000e+00,0.000000000000000e+00,
7,9.999858736991880e-01,-2.409676089882850e-04,1.235210702742552e+02,-1.027700558741511e+00,-2.020121439528464e-01,7.469538666584683e-04,0.000000000000000e+00,0.000000000000000e+00,
8,9.999779462814330e-01,-5.017960211262110e-04,1.220312177205404e+02,-1.032878631266752e+00,-2.332014920267617e-01,6.927025354164990e-04,0.000000000000000e+00,0.000000000000000e+00,
9,9.999666213989260e-01,-8.999322308227420e-04,1.227421415284939e+02,-9.620330947254381e-01,-2.701350026181087e-01,5.853663536790984e-04,0.000000000000000e+00,0.000000000000000e+00,
10,9.999511837959290e-01,-1.485960907302800e-03,1.166813237077286e+02,-8.393716659117243e-01,-3.068945965154954e-01,4.663405067949606e-04,0.000000000000000e+00,0.000000000000000e+00,
11,9.999309778213500e-01,-2.321643754839900e-03,1.030249257571052e+02,-6.905665384049948e-01,-3.369605260485160e-01,3.551575087147479e-04,0.000000000000000e+00,0.000000000000000e+00,
12,9.999055266380310e-01,-3.481036517769100e-03,8.476001798377271e+01,-5.408863500881101e-01,-3.554163002943402e-01,2.601428677323873e-04,0.000000000000000e+00,0.000000000000000e+00,
13,9.998746514320370e-01,-5.051605869084600e-03,6.504921133183676e+01,-3.971510208999175e-01,-3.593708379256434e-01,1.799016568587443e-04,0.000000000000000e+00,0.000000000000000e+00,
14,9.998383522033690e-01,-7.135346531867980e-03,4.660469704962547e+01,-2.703195442506197e-01,-3.474385031625082e-01,1.152116138705202e-04,0.000000000000000e+00,0.000000000000000e+00,
15,9.997970461845400e-01,-9.849893860518931e-03,3.084603339997197e+01,-1.670003105766993e-01,-3.219856177048895e-01,6.653712864666440e-05,0.000000000000000e+00,0.000000000000000e+00,
16,9.997513890266420e-01,-1.332964468747380e-02,1.847734643973914e+01,-9.190575142315488e-02,-2.885201131614130e-01,3.356753449948566e-05,0.000000000000000e+00,0.000000000000000e+00,
17,9.997023940086360e-01,-1.772686652839180e-02,9.827954124544215e+00,-4.531261766683929e-02,-2.528675568618027e-01,1.390193566749691e-05,0.000000000000000e+00,0.000000000000000e+00,
18,9.996511936187740e-01,-2.321282029151920e-02,4.554808874592943e+00,-2.155725808697563e-02,-2.186940769941372e-01,3.693133622208189e-06,0.000000000000000e+00,0.000000000000000e+00,
19,9.995991587638851e-01,-2.997887320816520e-02,1.320155007127070e+00,-9.414212303933670e-03,-1.874612879945333e-01,-2.113494896088603e-06,0.000000000000000e+00,0.000000000000000e+00,
20,9.995476603508000e-01,-3.823761641979220e-02,-1.133714794220932e+00,-3.327911748796306e-05,-1.599532646598627e-01,-7.033401885494468e-06,0.000000000000000e+00,0.000000000000000e+00,
21,9.994980692863460e-01,-4.822397977113720e-02,-3.282697526478139e+00,9.408757380767685e-03,-1.367281411419566e-01,-1.206306294845392e-05,0.000000000000000e+00,0.000000000000000e+00,
22,9.994515776634220e-01,-6.019636616110800e-02,-5.108926847317480e+00,1.823523779839931e-02,-1.177687988537651e-01,-1.684463499758154e-05,0.000000000000000e+00,0.000000000000000e+00,
23,9.994091987609860e-01,-7.443772256374361e-02,-6.515707652466040e+00,2.533192737609018e-02,-1.022412798425170e-01,-2.053145291630572e-05,0.000000000000000e+00,0.000000000000000e+00,
24,9.993716478347781e-01,-9.125673770904540e-02,-7.792583560236214e+00,3.184125245294946e-02,-9.080323182676404e-02,-2.442144149795097e-05,0.000000000000000e+00,0.000000000000000e+00,
25,9.853970408439640e-01,9.428599150851370e-04,1.909994195025456e+02,9.991873755767364e-01,4.030618424105439e-02,-8.238328704277252e-04,2.533318791948119e+01,0.000000000000000e+00,
26,9.853965640068050e-01,9.316618088632820e-04,1.895704404392276e+02,1.121821333316561e+00,3.375583685430237e-02,-8.238181960498666e-04,0.000000000000000e+00,0.000000000000000e+00,
27,9.853960871696470e-01,9.196472819894550e-04,1.855444175319856e+02,1.236102042876182e+00,2.850835525748615e-02,-8.212423286946209e-04,0.000000000000000e+00,0.000000000000000e+00,
28,9.853954911231990e-01,9.053950780071320e-04,1.787799021812689e+02,1.318504440833643e+00,2.505860774019722e-02,-8.113512831043386e-04,0.000000000000000e+00,0.000000000000000e+00,
29,9.853947162628170e-01,8.852499304339290e-04,1.676991075687397e+02,1.386148619137209e+00,2.136839188252784e-02,-7.889316164710437e-04,0.000000000000000e+00,0.000000000000000e+00,
30,9.853934645652770e-01,8.522056159563360e-04,1.526507899684757e+02,1.354569428122316e+00,2.206139492816948e-02,-7.323435535914109e-04,0.000000000000000e+00,0.000000000000000e+00,
31,9.853913187980650e-01,7.947876583784820e-04,1.342408640651731e+02,1.210988225552289e+00,2.639635369937730e-02,-6.297408986835650e-04,0.000000000000000e+00,0.000000000000000e+00,
32,9.853878021240230e-01,6.959356251172720e-04,1.120212790293177e+02,9.599488486483811e-01,3.185669561530648e-02,-4.738531656718889e-04,0.000000000000000e+00,0.000000000000000e+00,
33,9.853822588920590e-01,5.318848416209220e-04,8.710686890314452e+01,6.308486408695754e-01,3.576519839311811e-02,-2.735965243778234e-04,0.000000000000000e+00,0.000000000000000e+00,
34,9.853739738464360e-01,2.710480766836550e-04,6.678022916368226e+01,2.900746728949550e-01,3.420924883488786e-02,-7.428016925744131e-05,0.000000000000000e+00,0.000000000000000e+00,
35,9.853621125221250e-01,-1.271033252123740e-04,5.650114072925570e+01,-6.911645712737464e-03,2.526722204317837e-02,8.428703611603048e-05,0.000000000000000e+00,0.000000000000000e+00,
36,9.853459596633910e-01,-7.131579332053660e-04,5.593916541500375e+01,-2.181416653765865e-01,9.037916841981419e-03,1.820120526071424e-04,0.000000000000000e+00,0.000000000000000e+00,
