"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Surface_Sensitivity","Solution_Sensor"
0,9.999995231628420e-01,1.588018349139020e-04,1.482423214319277e+04,-7.508845380153873e+00,-1.760762643202888e+01,6.988211112160177e-03,0.000000000000000e+00,0.000000000000000e+00,
1,9.999990463256840e-01,1.467872498324140e-04,1.273751832782303e+04,-1.226892111039490e+01,-9.709097821632977e+00,9.421794909523308e-03,0.000000000000000e+00,0.000000000000000e+00,
2,9.999985098838809e-01,1.325350604020060e-04,1.233742853688466e+04,-2.069154237580814e+01,-1.016436823941926e+01,1.421200451281997e-02,0.000000000000000e+00,0.000000000000000e+00,
3,9.999977350234990e-01,1.123900292441250e-04,1.134729920180410e+04,-3.713338519313901e+01,-9.096463140848169e+00,2.122537899607692e-02,0.000000000000000e+00,0.000000000000000e+00,
4,9.999965429306030e-01,7.934604946058239e-05,1.040830634513363e+04,-4.631565312670984e+01,-8.863847834450874e+00,2.696137266834769e-02,0.000000000000000e+00,0.000000000000000e+00,
5,9.999945163726810e-01,2.192894316976890e-05,9.045307065655476e+03,-5.276535635274999e+01,-9.066207035582204e+00,3.285708384016481e-02,0.000000000000000e+00,0.000000000000000e+00,
6,9.999911785125730e-01,-7.692110375501220e-05,7.726424462818042e+03,-5.386825090986816e+01,-9.739605028790098e+00,3.615519486272966e-02,0.000000000000000e+00,0.000000000000000e+00,
7,9.999858736991880e-01,-2.409676089882850e-04,6.943251438589754e+03,-5.363604310945949e+01,-1.063038250770515e+01,3.665266326193830e-02,0.000000000000000e+00,0.000000000000000e+00,
8,9.999779462814330e-01,-5.017960211262110e-04,6.818758578360585e+03,-5.285828545340841e+01,-1.174541680876635e+01,3.426713165784759e-02,0.000000000000000e+00,0.000000000000000e+00,
9,9.999666213989260e-01,-8.999322308227420e-04,6.873656090196634e+03,-5.009240755494545e+01,-1.307518696669479e+01,2.991674105943492e-02,0.000000000000000e+00,0.000000000000000e+00,
10,9.999511837959290e-01,-1.485960907302800e-03,6.666069724213429e+03,-4.537273481143354e+01,-1.443208042580379e+01,2.511105053873298e-02,0.000000000000000e+00,0.000000000000000e+00,
11,9.999309778213500e-01,-2.321643754839900e-03,6.127199398990177e+03,-3.932004379070325e+01,-1.554769368510419e+01,2.055970880980497e-02,0.000000000000000e+00,0.000000000000000e+00,
12,9.999055266380310e-01,-3.481036517769100e-03,5.372065562342810e+03,-3.292215895520617e+01,-1.619314016923619e+01,1.660035240884936e-02,0.000000000000000e+00,0.000000000000000e+00,
13,9.998746514320370e-01,-5.051605869084600e-03,4.535938906274175e+03,-2.657196825758751e+01,-1.622894178125606e+01,1.320554024840606e-02,0.000000000000000e+00,0.000000000000000e+00,
14,9.998383522033690e-01,-7.135346531867980e-03,3.739030664989730e+03,-2.083890982277424e+01,-1.559949195333131e+01,1.042945835617461e-02,0.000000000000000e+00,0.000000000000000e+00,
15,9.997970461845400e-01,-9.849893860518931e-03,3.046047341171537e+03,-1.605953581105571e+01,-1.441645028089238e+01,8.293422529010270e-03,0.000000000000000e+00,0.000000000000000e+00,
16,9.997513890266420e-01,-1.332964468747380e-02,2.489390342595331e+03,-1.245726409102236e+01,-1.291893657063118e+01,6.783411576708083e-03,0.000000000000000e+00,0.000000000000000e+00,
17,9.997023940086360e-01,-1.772686652839180e-02,2.084618750793120e+03,-1.006846367751691e+01,-1.134821292547809e+01,5.810403746968745e-03,0.000000000000000e+00,0.000000000000000e+00,
18,9.996511936187740e-01,-2.321282029151920e-02,1.820855694970642e+03,-8.692386177117791e+00,-9.847842260289751e+00,5.237138839601641e-03,0.000000000000000e+00,0.000000000000000e+00,
19,9.995991587638851e-01,-2.997887320816520e-02,1.645122884285679e+03,-7.877296205917509e+00,-8.469668110655967e+00,4.865799957189144e-03,0.000000000000000e+00,0.000000000000000e+00,
20,9.995476603508000e-01,-3.823761641979220e-02,1.504731826733202e+03,-7.238807873587429e+00,-7.241340019676796e+00,4.544775994449778e-03,0.000000000000000e+00,0.000000000000000e+00,
21,9.994980692863460e-01,-4.822397977113720e-02,1.377251960795334e+03,-6.628372883737804e+00,-6.184448847658555e+00,4.220187610804558e-03,0.000000000000000e+00,0.000000000000000e+00,
22,9.994515776634220e-01,-6.019636616110800e-02,1.260735618855690e+03,-6.047715538724894e+00,-5.299582576498656e+00,3.896206665536061e-03,0.000000000000000e+00,0.000000000000000e+00,
23,9.994091987609860e-01,-7.443772256374361e-02,1.158165129655026e+03,-5.530980758520113e+00,-4.547949109456940e+00,3.608614578866669e-03,0.000000000000000e+00,0.000000000000000e+00,
24,9.993716478347781e-01,-9.125673770904540e-02,1.050581707143035e+03,-4.991296482741080e+00,-3.988202410180597e+00,3.265390798674072e-03,0.000000000000000e+00,0.000000000000000e+00,
25,9.853970408439640e-01,9.428599150851370e-04,1.225590576191257e+04,-4.030618424105439e-02,9.991873755767364e-01,-2.341245682043981e-02,9.874647338887268e+02,0.000000000000000e+00,
26,9.853965640068050e-01,9.316618088632820e-04,1.222809302180838e+04,4.736832570436211e+00,6.657487301122311e-01,-2.341154814985684e-02,0.000000000000000e+00,0.000000000000000e+00,
27,9.853960871696470e-01,9.196472819894550e-04,1.206218668810977e+04,9.226208876314203e+00,4.774135293444839e-01,-2.330583665621485e-02,0.000000000000000e+00,0.000000000000000e+00,
28,9.853954911231990e-01,9.053950780071320e-04,1.178291109010620e+04,1.262269773382319e+01,3.311090516854192e-01,-2.289592421709988e-02,0.000000000000000e+00,0.000000000000000e+00,
29,9.853947162628170e-01,8.852499304339290e-04,1.130960598094746e+04,1.570719438241791e+01,1.724788757693787e-01,-2.198557966651117e-02,0.000000000000000e+00,0.000000000000000e+00,
30,9.853934645652770e-01,8.522056159563360e-04,1.060320627875197e+04,1.572173543560642e+01,1.478349298130118e-01,-1.972285131077821e-02,0.000000000000000e+00,0.000000000000000e+00,
31,9.853913187980650e-01,7.947876583784820e-04,9.638512892329176e+03,1.265037703821095e+01,2.198615114024278e-01,-1.570301872860422e-02,0.000000000000000e+00,0.000000000000000e+00,
