"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
0, 1.929289245605469e+01, 7.071067690849304e-01, 1.016048660224574e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.243949171512861e+06, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 1.925753695449765e+01, 7.424622735899787e-01, 1.025373681510010e+01, 5.783981300241006e+02, 5.780842689595764e+02, 2.272443422076523e+06, 9.317445183088859e-04, 0.000000000000000e+00, 0.000000000000000e+00
2, 1.923965644341244e+01, 6.493993906352387e-01, 1.038562531516540e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.301095942264527e+06, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, 1.920450348223093e+01, 6.811698726722081e-01, 1.044551935031498e+01, 5.103204537418432e+02, 5.956584665798679e+02, 2.319174011009347e+06, 8.083497169147455e-04, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.921868424357418e+01, 7.813149877530656e-01, 1.041088368622125e+01, 8.511209882602582e+02, 8.259077772706673e+02, 2.310663379157368e+06, 3.812135368149979e-04, 0.000000000000000e+00, 0.000000000000000e+00
5, 1.916587334607842e+01, 7.160829498489052e-01, 1.057335411793023e+01, 7.515098530866246e+02, 8.432733136865588e+02, 2.348260297206593e+06, 3.706103084582779e-04, 0.000000000000000e+00, 0.000000000000000e+00
6, 1.917607487695739e+01, 8.239243579227190e-01, 1.054350542039434e+01, 9.623263224689346e+02, 8.859849666587829e+02, 2.333894108798686e+06, 3.237063929351114e-04, 0.000000000000000e+00, 0.000000000000000e+00
7, 1.912350807491315e+01, 7.543717608426281e-01, 1.068195099309133e+01, 8.544773314169502e+02, 8.933587342880390e+02, 2.363832461726285e+06, 3.227984131475180e-04, 0.000000000000000e+00, 0.000000000000000e+00
8, 1.912943229946725e+01, 8.705669393020080e-01, 1.064467445681128e+01, 1.002972579344231e+03, 8.581060969960608e+02, 2.345765960643315e+06, 3.136863132119733e-04, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.907713269785135e+01, 7.962848183597953e-01, 1.076339872245514e+01, 9.000098805545366e+02, 8.547883434408453e+02, 2.369806400331967e+06, 3.151515114031080e-04, 0.000000000000000e+00, 0.000000000000000e+00
10, 1.907846178936324e+01, 9.215374536560439e-01, 1.071930053636284e+01, 1.020102859725222e+03, 7.983537860004001e+02, 2.352417609836769e+06, 3.132912825406983e-04, 0.000000000000000e+00, 0.000000000000000e+00
11, 1.902645418151926e+01, 8.420869595926751e-01, 1.082108241887245e+01, 9.273395464242061e+02, 7.877065463016339e+02, 2.372042713628474e+06, 3.155531763917911e-04, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.902284933786266e+01, 9.771499097937053e-01, 1.077237994892169e+01, 1.031961911363941e+03, 7.312679687254393e+02, 2.356707019165409e+06, 3.136263828356218e-04, 0.000000000000000e+00, 0.000000000000000e+00
13, 1.897116031599019e+01, 8.920603530850805e-01, 1.085969024325824e+01, 9.501441983385261e+02, 7.164609488947253e+02, 2.372963709393107e+06, 3.160583397448085e-04, 0.000000000000000e+00, 0.000000000000000e+00
14, 1.896226046226265e+01, 1.037738790445742e+00, 1.080999259801198e+01, 1.044509583248811e+03, 6.665999656011753e+02, 2.359980935401425e+06, 3.138411329340986e-04, 0.000000000000000e+00, 0.000000000000000e+00
15, 1.891091853470581e+01, 9.465055652618911e-01, 1.088442434875259e+01, 9.727819642316483e+02, 6.504671716951021e+02, 2.373560012652744e+06, 3.161082135869160e-04, 0.000000000000000e+00, 0.000000000000000e+00
16, 1.889633894883898e+01, 1.103660309366078e+00, 1.083721158934183e+01, 1.057639658024525e+03, 6.059106398207074e+02, 2.362282461435351e+06, 3.140429766929654e-04, 0.000000000000000e+00, 0.000000000000000e+00
17, 1.884537466457660e+01, 1.005742690061205e+00, 1.090113893712447e+01, 9.947576683659606e+02, 5.895199105613266e+02, 2.373738511227041e+06, 3.161609849460319e-04, 0.000000000000000e+00, 0.000000000000000e+00
18, 1.882470552147868e+01, 1.175293742699318e+00, 1.085662816748214e+01, 1.071002351872203e+03, 5.494983207608873e+02, 2.363759717427154e+06, 3.142406062969193e-04, 0.000000000000000e+00, 0.000000000000000e+00
19, 1.877415160224124e+01, 1.070112545302138e+00, 1.091184740094975e+01, 1.015812738618755e+03, 5.334046306270716e+02, 2.373507843789408e+06, 3.161475065648134e-04, 0.000000000000000e+00, 0.000000000000000e+00
20, 1.874695643177531e+01, 1.253042838885565e+00, 1.087003054566352e+01, 1.084287004725097e+03, 4.973556940289593e+02, 2.364577324704928e+06, 3.143509477739308e-04, 0.000000000000000e+00, 0.000000000000000e+00
21, 1.869684791223898e+01, 1.139977939626323e+00, 1.091794598861366e+01, 1.035818205417800e+03, 4.819253438967812e+02, 2.372942973952263e+06, 3.160764543119168e-04, 0.000000000000000e+00, 0.000000000000000e+00
22, 1.866266196607503e+01, 1.337337311614490e+00, 1.087868248450918e+01, 1.097345992045126e+03, 4.494560010951695e+02, 2.364879510805468e+06, 3.143843944807969e-04, 0.000000000000000e+00, 0.000000000000000e+00
23, 1.861303634260824e+01, 1.215725014067523e+00, 1.092045332109274e+01, 1.054708674917136e+03, 4.348780421929440e+02, 2.372103450348841e+06, 3.159539176917343e-04, 0.000000000000000e+00, 0.000000000000000e+00
24, 1.857136486470724e+01, 1.428634420594820e+00, 1.088364128965128e+01, 1.110034824651404e+03, 4.056275892989050e+02, 2.364783047021570e+06, 3.143612672823285e-04, 0.000000000000000e+00, 0.000000000000000e+00
25, 1.852226225317303e+01, 1.297764662532235e+00, 1.092019292240586e+01, 1.072441727813269e+03, 3.919812795327979e+02, 2.371045644714237e+06, 3.157914525392709e-04, 0.000000000000000e+00, 0.000000000000000e+00
26, 1.847257864836545e+01, 1.527420645173608e+00, 1.088583300440108e+01, 1.122159876441367e+03, 3.655726062822742e+02, 2.364385486696576e+06, 3.142987814247242e-04, 0.000000000000000e+00, 0.000000000000000e+00
27, 1.842404195151139e+01, 1.386534035715192e+00, 1.091789486906879e+01, 1.088976914784696e+03, 3.529180364857388e+02, 2.369836850673388e+06, 3.156034146613069e-04, 0.000000000000000e+00, 0.000000000000000e+00
28, 1.836578584632066e+01, 1.634213456122997e+00, 1.088594528347746e+01, 1.133626390012111e+03, 3.290567807990422e+02, 2.363769703190647e+06, 3.142055436526382e-04, 0.000000000000000e+00, 0.000000000000000e+00
29, 1.831786093131888e+01, 1.482498133228225e+00, 1.091412548897808e+01, 1.104304241286746e+03, 3.174146543993324e+02, 2.368530853545794e+06, 3.153972177731499e-04, 0.000000000000000e+00, 0.000000000000000e+00
30, 1.825043612085086e+01, 1.749563191210897e+00, 1.088452909839909e+01, 1.144374123239990e+03, 2.958407641573584e+02, 2.363003250990313e+06, 3.140915074329837e-04, 0.000000000000000e+00, 0.000000000000000e+00
31, 1.820317200758249e+01, 1.586151488989446e+00, 1.090933882814150e+01, 1.118435489688020e+03, 2.852023735138185e+02, 2.367172680734300e+06, 3.151808149769185e-04, 0.000000000000000e+00, 0.000000000000000e+00
32, 1.812594428195461e+01, 1.874055040487535e+00, 1.088202421312142e+01, 1.154370453923921e+03, 2.656836780640616e+02, 2.362140415806608e+06, 3.139648887557065e-04, 0.000000000000000e+00, 0.000000000000000e+00
33, 1.807939334266740e+01, 1.698019955203178e+00, 1.090389598626163e+01, 1.131399815704153e+03, 2.560194169582234e+02, 2.365799014313905e+06, 3.149608891183493e-04, 0.000000000000000e+00, 0.000000000000000e+00
34, 1.799168818608400e+01, 2.008311147552690e+00, 1.087877995631290e+01, 1.163604098107761e+03, 2.383469310581248e+02, 2.361224353570886e+06, 3.138323501384782e-04, 0.000000000000000e+00, 0.000000000000000e+00
35, 1.794590635708735e+01, 1.818662590560222e+00, 1.089808140227343e+01, 1.143239405100921e+03, 2.296133359423300e+02, 2.364439049513679e+06, 3.147427309898077e-04, 0.000000000000000e+00, 0.000000000000000e+00
36, 1.784700651228075e+01, 2.152992833419793e+00, 1.087507051945803e+01, 1.172080529493753e+03, 2.135983108877446e+02, 2.360288645278444e+06, 3.136992296451102e-04, 0.000000000000000e+00, 0.000000000000000e+00
37, 1.780205351838062e+01, 1.948673658603750e+00, 1.089211572235209e+01, 1.154005787654519e+03, 2.057433143189993e+02, 2.363115272169958e+06, 3.145301023955056e-04, 0.000000000000000e+00, 0.000000000000000e+00
38, 1.769119640872861e+01, 2.308802949963705e+00, 1.087110868632044e+01, 1.179817619900557e+03, 1.912144012444702e+02, 2.359358912108337e+06, 3.135706552565171e-04, 0.000000000000000e+00, 0.000000000000000e+00
39, 1.764713600114450e+01, 2.088684742539197e+00, 1.088616718614349e+01, 1.163756585037969e+03, 1.841814038109365e+02, 2.361844397173280e+06, 3.143272905792914e-04, 0.000000000000000e+00, 0.000000000000000e+00
40, 1.752351100234389e+01, 2.476488370330371e+00, 1.086705743833894e+01, 1.186841948674008e+03, 1.709823583583265e+02, 2.358454264804290e+06, 3.134508706499247e-04, 0.000000000000000e+00, 0.000000000000000e+00
41, 1.748041121089264e+01, 2.239366983118171e+00, 1.088036142317512e+01, 1.172552766798586e+03, 1.647132933372258e+02, 2.360638307710131e+06, 3.141382740582552e-04, 0.000000000000000e+00, 0.000000000000000e+00
42, 1.734315676361333e+01, 2.656842624099231e+00, 1.086303968099406e+01, 1.193185782432078e+03, 1.527011381601526e+02, 2.357588560938541e+06, 3.133427925777379e-04, 0.000000000000000e+00, 0.000000000000000e+00
43, 1.730109016398890e+01, 2.401433446597323e+00, 1.087478979432698e+01, 1.180456424198816e+03, 1.471386875706123e+02, 2.359504933188123e+06, 3.139658180683714e-04, 0.000000000000000e+00, 0.000000000000000e+00
44, 1.714929071845251e+01, 2.850708685425007e+00, 1.085914637110840e+01, 1.198884649527132e+03, 1.361822232211739e+02, 2.356771479359768e+06, 3.132482205229379e-04, 0.000000000000000e+00, 0.000000000000000e+00
45, 1.710833471547813e+01, 2.575641630164582e+00, 1.086951643914822e+01, 1.187529025548426e+03, 1.312713461526902e+02, 2.358449040027236e+06, 3.138116841712420e-04, 0.000000000000000e+00, 0.000000000000000e+00
46, 1.694101749839864e+01, 3.058981922845120e+00, 1.085544324592602e+01, 1.203975437547734e+03, 1.212499421744604e+02, 2.356009419853289e+06, 3.131679556609528e-04, 0.000000000000000e+00, 0.000000000000000e+00
47, 1.690125462617750e+01, 2.762796112638227e+00, 1.086458416400888e+01, 1.193830099883166e+03, 1.169388543390875e+02, 2.357472921320167e+06, 3.136767445321253e-04, 0.000000000000000e+00, 0.000000000000000e+00
48, 1.671738621996665e+01, 3.282613219923941e+00, 1.085197633117536e+01, 1.208494937982191e+03, 1.077414702263334e+02, 2.355306240372252e+06, 3.131018589424991e-04, 0.000000000000000e+00, 0.000000000000000e+00
49, 1.667890445990969e+01, 2.963751358680106e+00, 1.086001929937549e+01, 1.199416290275152e+03, 1.039821885519553e+02, 2.356576981304452e+06, 3.135609852623795e-04, 0.000000000000000e+00, 0.000000000000000e+00
50, 1.647738718348529e+01, 3.522612276416909e+00, 1.084877638943661e+01, 1.212478762830035e+03, 9.550659115355052e+01, 2.354663846768668e+06, 3.130489359806915e-04, 0.000000000000000e+00, 0.000000000000000e+00
51, 1.644028030125035e+01, 3.179414685224084e+00, 1.085583564945999e+01, 1.204340719190992e+03, 9.225513185490411e+01, 2.355760217274110e+06, 3.134633670005781e-04, 0.000000000000000e+00, 0.000000000000000e+00
52, 1.621994838119058e+01, 3.780051100177393e+00, 1.084586245426356e+01, 1.215960563165727e+03, 8.440729449042279e+01, 2.354082650549571e+06, 3.130076935746209e-04, 0.000000000000000e+00, 0.000000000000000e+00
53, 1.618431628362558e+01, 3.410749399306099e+00, 1.085203765031310e+01, 1.208652613934578e+03, 8.162358826671054e+01, 2.355020605545039e+06, 3.133818578419319e-04, 0.000000000000000e+00, 0.000000000000000e+00
54, 1.594393180378399e+01, 4.056067700598817e+00, 1.084324457826477e+01, 1.218971488351613e+03, 7.431727820385147e+01, 2.353561909379160e+06, 3.129768960389709e-04, 0.000000000000000e+00, 0.000000000000000e+00
55, 1.590988091702862e+01, 3.658778116993946e+00, 1.084862284233660e+01, 1.212397149082184e+03, 7.196484243815489e+01, 2.354355400055846e+06, 3.133147453367502e-04, 0.000000000000000e+00, 0.000000000000000e+00
56, 1.564812953406178e+01, 4.351869994985621e+00, 1.084092590585165e+01, 1.221539836092258e+03, 6.512142859288804e+01, 2.353099963694063e+06, 3.129555038978731e-04, 0.000000000000000e+00, 0.000000000000000e+00
57, 1.561577320402759e+01, 3.924586273655044e+00, 1.084558375096694e+01, 1.215615474331710e+03, 6.316681428426571e+01, 2.353761352892756e+06, 3.132604173698226e-04, 0.000000000000000e+00, 0.000000000000000e+00
58, 1.533125961558811e+01, 4.668739939880553e+00, 1.083890417307758e+01, 1.223690856538325e+03, 5.671535896516785e+01, 2.352694383816850e+06, 3.129428173641256e-04, 0.000000000000000e+00, 0.000000000000000e+00
59, 1.530071853210558e+01, 4.209325836370157e+00, 1.084290925917490e+01, 1.218344909782880e+03, 5.512737011318777e+01, 2.353234866977510e+06, 3.132176042475085e-04, 0.000000000000000e+00, 0.000000000000000e+00
60, 1.499196168371527e+01, 5.008037900044754e+00, 1.083717268651525e+01, 1.225446710366376e+03, 4.900511534121434e+01, 2.352342033231355e+06, 3.129384671850903e-04, 0.000000000000000e+00, 0.000000000000000e+00
61, 1.496336432970944e+01, 4.514219229902068e+00, 1.084058552251024e+01, 1.220619313444111e+03, 4.775378004244686e+01, 2.352772086155999e+06, 3.131853582601987e-04, 0.000000000000000e+00, 0.000000000000000e+00
62, 1.462879234554920e+01, 5.371207268492626e+00, 1.083572092227650e+01, 1.226826575823816e+03, 4.190717033608817e+01, 2.352039080048847e+06, 3.129424158686353e-04, 0.000000000000000e+00, 0.000000000000000e+00
63, 1.460227547268197e+01, 4.840563488262258e+00, 1.083859651479638e+01, 1.222469639321813e+03, 4.096244795587939e+01, 2.352368941768782e+06, 3.131630688351934e-04, 0.000000000000000e+00, 0.000000000000000e+00
64, 1.424022029471386e+01, 5.759779351727897e+00, 1.083453481714186e+01, 1.227846984497824e+03, 3.534893439288170e+01, 2.351780979923612e+06, 3.129549321065046e-04, 0.000000000000000e+00, 0.000000000000000e+00
65, 1.421592942701225e+01, 5.189734644587602e+00, 1.083692425239932e+01, 1.223924741937275e+03, 3.467914888230548e+01, 2.352021168877842e+06, 3.131504465803037e-04, 0.000000000000000e+00, 0.000000000000000e+00
66, 1.382462114598277e+01, 6.175378535112492e+00, 1.083359696132814e+01, 1.228522508932143e+03, 2.927008295637549e+01, 2.351562498872024e+06, 3.129765599823759e-04, 0.000000000000000e+00, 0.000000000000000e+00
67, 1.380271111305791e+01, 5.563192372744582e+00, 1.083554880735340e+01, 1.225012517149535e+03, 2.884013676475750e+01, 2.351724327990601e+06, 3.131475309839546e-04, 0.000000000000000e+00, 0.000000000000000e+00
68, 1.338027197401802e+01, 6.619727744127985e+00, 1.083288704687818e+01, 1.228867027482466e+03, 2.362517296330357e+01, 2.351377898338777e+06, 3.130080670541882e-04, 0.000000000000000e+00, 0.000000000000000e+00
69, 1.336090747556998e+01, 5.962484894822782e+00, 1.083444830623052e+01, 1.225761511006660e+03, 2.339473017789886e+01, 2.351473898416184e+06, 3.131547201650000e-04, 0.000000000000000e+00, 0.000000000000000e+00
70, 1.290534553958309e+01, 7.094654218163250e+00, 1.083238322135674e+01, 1.228895921783399e+03, 1.838825233612801e+01, 2.351221504632469e+06, 3.130503617085793e-04, 0.000000000000000e+00, 0.000000000000000e+00
71, 1.288870174298190e+01, 6.389254169464693e+00, 1.083359930186585e+01, 1.226203167822565e+03, 1.831034388190881e+01, 2.351265568541654e+06, 3.131728147352542e-04, 0.000000000000000e+00, 0.000000000000000e+00
72, 1.239790418567455e+01, 7.602095614383296e+00, 1.083206546408872e+01, 1.228629722253045e+03, 1.356046260270391e+01, 2.351089036472517e+06, 3.131044063082186e-04, 0.000000000000000e+00, 0.000000000000000e+00
73, 1.238416735850828e+01, 6.845241376806658e+00, 1.083297824431628e+01, 1.226374901596248e+03, 1.358143223442708e+01, 2.351095946438372e+06, 3.132030620534074e-04, 0.000000000000000e+00, 0.000000000000000e+00
74, 1.185589338504542e+01, 8.144106460206395e+00, 1.083192267424628e+01, 1.228099868501880e+03, 9.181891863473826e+00, 2.350980243648089e+06, 3.131712593796485e-04, 0.000000000000000e+00, 0.000000000000000e+00
75, 1.184526156463254e+01, 7.332292716679525e+00, 1.083256530868391e+01, 1.226324107587321e+03, 9.244375659838967e+00, 2.350964057381722e+06, 3.132471787458252e-04, 0.000000000000000e+00, 0.000000000000000e+00
76, 1.127713491956812e+01, 8.722864973941759e+00, 1.083196534226162e+01, 1.227357028569951e+03, 5.348466049874017e+00, 2.350903432906532e+06, 3.132526447878572e-04, 0.000000000000000e+00, 0.000000000000000e+00
77, 1.126981862154299e+01, 7.852365537638606e+00, 1.083235280157746e+01, 1.226112911022974e+03, 5.400679356301795e+00, 2.350874233729145e+06, 3.133073293656896e-04, 0.000000000000000e+00, 0.000000000000000e+00
78, 1.065931967080320e+01, 9.340680274221373e+00, 1.083224358812058e+01, 1.226477995021689e+03, 2.228398824384059e+00, 2.350881350761920e+06, 3.133530413642903e-04, 0.000000000000000e+00, 0.000000000000000e+00
79, 1.065554263900217e+01, 8.407534815364377e+00, 1.083236550528766e+01, 1.225821745758913e+03, 2.250373735883446e+00, 2.350842291844983e+06, 3.133861669709167e-04, 0.000000000000000e+00, 0.000000000000000e+00
80, 1.000000000000000e+01, 1.000000000000000e+01, 1.083278506515618e+01, 1.225530512227251e+03, -1.067948407283318e-04, 2.350929150853259e+06, 3.134808771924234e-04, 0.000000000000000e+00, 0.000000000000000e+00
81, 1.000000000000000e+01, 9.000000000000000e+00, 1.083251969601097e+01, 1.225589888063260e+03, 1.374851067545482e-01, 2.350859331507980e+06, 3.134785901160804e-04, 0.000000000000000e+00, 0.000000000000000e+00
82, 1.919109413157031e+01, 5.877073428659325e-01, 1.057723025947577e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.347753873776406e+06, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
83, 1.915612592932152e+01, 6.159079624060584e-01, 1.060750682539637e+01, 4.326505460752749e+02, 5.846101701556737e+02, 2.356841551777983e+06, 7.362751605890219e-04, 0.000000000000000e+00, 0.000000000000000e+00
84, 1.911769882763569e+01, 6.468980621247028e-01, 1.070661964815808e+01, 6.451989448399153e+02, 8.226097659885436e+02, 2.377886290554208e+06, 3.663649566723113e-04, 0.000000000000000e+00, 0.000000000000000e+00
85, 1.907555622227212e+01, 6.808845842750845e-01, 1.079798968476998e+01, 7.436909402328854e+02, 8.674506575320137e+02, 2.388737521853277e+06, 3.240380637369443e-04, 0.000000000000000e+00, 0.000000000000000e+00
86, 1.902942458755471e+01, 7.180881176501726e-01, 1.086901639960737e+01, 7.947699735143510e+02, 8.283706664250243e+02, 2.392072033736187e+06, 3.177783819268028e-04, 0.000000000000000e+00, 0.000000000000000e+00
87, 1.897901243025111e+01, 7.587437412421767e-01, 1.091843849447138e+01, 8.305924885518432e+02, 7.637438484302552e+02, 2.392465539894868e+06, 3.186143250402263e-04, 0.000000000000000e+00, 0.000000000000000e+00
88, 1.892400918136532e+01, 8.031019179726531e-01, 1.094969788532575e+01, 8.620520027055626e+02, 6.959573653606900e+02, 2.391815758451492e+06, 3.190290595616193e-04, 0.000000000000000e+00, 0.000000000000000e+00
89, 1.886408402226130e+01, 8.514294413823716e-01, 1.096686361261749e+01, 8.927379266561466e+02, 6.334323383790851e+02, 2.390789260294947e+06, 3.189033330720291e-04, 0.000000000000000e+00, 0.000000000000000e+00
90, 1.879888464133251e+01, 9.040104383333307e-01, 1.097644013481374e+01, 9.222104464092292e+02, 5.755937068077417e+02, 2.389464958036786e+06, 3.188017110563076e-04, 0.000000000000000e+00, 0.000000000000000e+00
