"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 2.035355377197267e+01, 3.535533845424652e-01, 9.512375265022765e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.116878572979277e+06, 0.000000000000000e+00
1, 2.035355631758489e+01, 3.535559301547893e-01, 9.512380789778788e+00, -5.690639194034695e+00, 5.691230644302729e+00, 2.116882052093635e+06, 9.354534293761524e-07
2, 2.034647011085431e+01, 3.603492243924685e-01, 9.518042512050002e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.117754233550844e+06, 0.000000000000000e+00
3, 2.034647259236305e+01, 3.603517682114303e-01, 9.518046514513946e+00, -5.652202248947742e+00, 5.422476717314746e+00, 2.117757452013764e+06, 8.992604373373530e-07
4, 2.035355952753383e+01, 3.535591401038540e-01, 9.512402461678509e+00, -1.141889365647782e+01, 1.142037625958370e+01, 2.116892471285746e+06, 2.157642497469896e-06
5, 2.034647572147921e+01, 3.603549758991131e-01, 9.518064484209901e+00, -1.133443913957254e+01, 1.087369116645517e+01, 2.117767168505874e+06, 2.044438209909604e-06
6, 2.035356353185007e+01, 3.535631444202608e-01, 9.512440515881702e+00, -1.717294710185292e+01, 1.717575948969688e+01, 2.116909935552459e+06, 4.341757669499717e-06
7, 2.034647962495895e+01, 3.603589773945131e-01, 9.518096629113675e+00, -1.703473098051319e+01, 1.634211376879615e+01, 2.117783472916044e+06, 4.059581644146067e-06
8, 2.035356848318721e+01, 3.535680957576032e-01, 9.512494764867203e+00, -2.292023857802071e+01, 2.292498318875781e+01, 2.116934390935737e+06, 7.751082824278510e-06
9, 2.034648445161177e+01, 3.603639252436801e-01, 9.518142755819662e+00, -2.272494494279796e+01, 2.180076602723341e+01, 2.117806296995727e+06, 7.233783739501727e-06
10, 2.035357456051185e+01, 3.535741730824867e-01, 9.512563889197422e+00, -2.858030690604588e+01, 2.858777359778326e+01, 2.116965343874537e+06, 1.273776953205944e-05
11, 2.034649037589752e+01, 3.603699982871399e-01, 9.518201788360543e+00, -2.833348844929348e+01, 2.718097390497923e+01, 2.117835198743462e+06, 1.188561706554774e-05
12, 2.035358197337138e+01, 3.535815859423119e-01, 9.512645713470402e+00, -3.407708826967168e+01, 3.408831202331430e+01, 2.117001970773881e+06, 1.969781374162060e-05
13, 2.034649760208679e+01, 3.603774059246682e-01, 9.518271807053781e+00, -3.378134375644389e+01, 3.240697173754200e+01, 2.117869381141945e+06, 1.841300751742983e-05
14, 2.035359096682755e+01, 3.535905793988363e-01, 9.512738843125591e+00, -3.941320187528477e+01, 3.942955598296447e+01, 2.117043764935894e+06, 2.854238091956123e-05
15, 2.034650636907017e+01, 3.603863930453785e-01, 9.518351398592639e+00, -3.905893236777820e+01, 3.746966701364210e+01, 2.117908265120535e+06, 2.684898842054826e-05
16, 2.035360182715680e+01, 3.536014397285387e-01, 9.512843012610643e+00, -4.463610536862686e+01, 4.465939347534343e+01, 2.117090665463818e+06, 3.882698325889309e-05
17, 2.034651695591515e+01, 3.603972457240711e-01, 9.518440221613725e+00, -4.421010715270405e+01, 4.241127077964524e+01, 2.117951716915037e+06, 3.655207769461848e-05
18, 2.035361488843371e+01, 3.536145010059629e-01, 9.512958248082475e+00, -4.978041199191953e+01, 4.981296118629729e+01, 2.117142706949445e+06, 5.096443541048326e-05
19, 2.034652968828361e+01, 3.604102977999360e-01, 9.518538318286531e+00, -4.927129606210905e+01, 4.726691254713293e+01, 2.117999728103840e+06, 4.790808716672182e-05
20, 2.035363054013050e+01, 3.536301527033797e-01, 9.513084517698790e+00, -5.486165943137916e+01, 5.490644061137318e+01, 2.117199875083242e+06, 6.535680509993273e-05
21, 2.034654494584013e+01, 3.604259384708646e-01, 9.518645721168483e+00, -5.425854152488203e+01, 5.205222779796836e+01, 2.118052235532681e+06, 6.129404933768304e-05
22, 2.035364923588627e+01, 3.536488484598962e-01, 9.513221775977318e+00, -5.988629942132958e+01, 5.994708352670204e+01, 2.117262126004906e+06, 8.238591102724944e-05
23, 2.034656317080029e+01, 3.604446210563792e-01, 9.518762495640056e+00, -5.917790259146821e+01, 5.677336519553725e+01, 2.118109137741177e+06, 7.705936736920055e-05
24, 2.035367150362131e+01, 3.536711161958329e-01, 9.513370003511735e+00, -6.485600175879023e+01, 6.493755315472426e+01, 2.117329399388025e+06, 1.024364916817191e-04
25, 2.034658487779030e+01, 3.604668731048846e-01, 9.518888789868569e+00, -6.403017707565124e+01, 6.143154655675156e+01, 2.118170307906519e+06, 9.555234962112069e-05
26, 2.035369795719854e+01, 3.536975697741299e-01, 9.513529227141841e+00, -6.976924392308936e+01, 6.987756000836313e+01, 2.117401621307363e+06, 1.259098803455783e-04
27, 2.034661066521485e+01, 3.604933080468601e-01, 9.519024871806769e+00, -6.881265450072200e+01, 6.602478654271327e+01, 2.118235596547249e+06, 1.171372857051809e-04
28, 2.035372930986346e+01, 3.537289224403031e-01, 9.513699531395957e+00, -7.462180071882530e+01, 7.476440960342579e+01, 2.117478701700480e+06, 1.532325777467385e-04
29, 2.034664122835849e+01, 3.605246386253460e-01, 9.519171162852041e+00, -7.351965572038516e+01, 7.054845985488599e+01, 2.118304828664504e+06, 1.422068552540248e-04
30, 2.035376638972820e+01, 3.537660023065440e-01, 9.513881067427677e+00, -7.940674692710900e+01, 7.959307813903575e+01, 2.117560528875274e+06, 1.848641633752286e-04
31, 2.034667737447988e+01, 3.605616923691355e-01, 9.519328275020840e+00, -7.814253686796209e+01, 7.499536947931122e+01, 2.118377797943880e+06, 1.711951968319599e-04
32, 2.035381015760448e+01, 3.538097701845753e-01, 9.514074062994332e+00, -8.411420596262272e+01, 8.435605314939893e+01, 2.117646962191898e+06, 2.213078915267875e-04
