"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.500000000000000e-01, 0.000000000000000e+00, 1.601094753572242e+00, 6.505165780726980e-01, 2.529454386547114e+02, 3.603928527719377e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.361648823164342e+05, 2.954280125360256e+02, 4.578499760848651e-01, 7.675064836548373e-01
1, -2.496342000000000e-01, 1.191865000000000e-03, 1.228081687383128e+00, 1.643643228176456e+02, 2.644917952874947e+02, 2.833346216305717e+05, 0.000000000000000e+00, 0.000000000000000e+00, 9.754148868367671e+04, 2.759089041788899e+02, 7.604134884319272e-01, -8.334900330274066e-02
2, -2.485345000000000e-01, 2.355228000000000e-03, 9.799467832089119e-01, 2.388100905343920e+02, 1.878118701647032e+02, 2.305437149770736e+05, 0.000000000000000e+00, 0.000000000000000e+00, 7.337900220836265e+04, 2.601194952425424e+02, 9.575424936924721e-01, -6.156373980393126e-01
3, -2.467063000000000e-01, 3.487728000000000e-03, 8.654754202478920e-01, 2.621920544977677e+02, 1.338089709231053e+02, 2.060334586098736e+05, 0.000000000000000e+00, 0.000000000000000e+00, 6.238981902742505e+04, 2.504162915838922e+02, 1.070618678508560e+00, -8.577240177596608e-01
4, -2.441551000000000e-01, 4.587006000000000e-03, 8.116518085641208e-01, 2.724823852443308e+02, 1.013086619561967e+02, 1.946841122484113e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.704942092448046e+04, 2.441659344927281e+02, 1.141773021881737e+00, -9.753705164498857e-01
5, -2.408875000000000e-01, 5.650509000000000e-03, 7.842719013448546e-01, 2.777904102790137e+02, 8.008729167160890e+01, 1.889713308803466e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.427411672996674e+04, 2.403973638972965e+02, 1.184298876239497e+00, -1.036509183453906e+00
6, -2.369133000000000e-01, 6.674912000000000e-03, 7.690290991325122e-01, 2.807185075639482e+02, 6.514855225051126e+01, 1.857998930673693e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.272201914035312e+04, 2.381512434195523e+02, 1.209570295807231e+00, -1.070701175047735e+00
7, -2.322441000000000e-01, 7.656630000000000e-03, 7.598402818927488e-01, 2.824424650347948e+02, 5.403187279546592e+01, 1.838872743329298e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.178896988941175e+04, 2.367655717633502e+02, 1.225155066164070e+00, -1.091255818234029e+00
8, -2.268939000000000e-01, 8.591804999999999e-03, 7.538553533226398e-01, 2.835377972018658e+02, 4.539444920709852e+01, 1.826427292361241e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.118171783194874e+04, 2.358470384662979e+02, 1.235495867994465e+00, -1.104633300025802e+00
9, -2.208779000000000e-01, 9.476504000000000e-03, 7.494226711334749e-01, 2.843655116044892e+02, 3.845785970086736e+01, 1.817351379148815e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.071907246671983e+04, 2.350975308586741e+02, 1.243940488975411e+00, -1.114825163311131e+00
10, -2.142143000000000e-01, 1.030675000000000e-02, 7.460064397756910e-01, 2.852454819194120e+02, 3.274283346326492e+01, 1.810716209779980e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.032774585115465e+04, 2.343519085744726e+02, 1.252339992111451e+00, -1.123445907547437e+00
11, -2.069222000000000e-01, 1.107863000000000e-02, 7.441322210675358e-01, 2.856571619556434e+02, 2.786518259707363e+01, 1.806880057447258e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.013492124419712e+04, 2.340420100077544e+02, 1.255863332785546e+00, -1.127693744400155e+00
12, -1.990233000000000e-01, 1.178851000000000e-02, 7.496177126938500e-01, 2.868505043499526e+02, 2.526922840222053e+01, 1.818947983008820e+05, 0.000000000000000e+00, 0.000000000000000e+00, 5.063417695255961e+04, 2.346429484854682e+02, 1.249189724103327e+00, -1.116695372198732e+00
13, -1.906722099682538e-01, 1.251011716568136e-02, 7.592219749307263e-01, 2.886167912532026e+02, 2.403699604642406e+01, 1.840053519331361e+05, 1.126671170398830e-02, -6.401545118706848e-03, 5.150651336998182e+04, 2.356660238970611e+02, 1.237778905705251e+00, -1.097478204637177e+00
14, -1.817514015330803e-01, 1.322742916304345e-02, 7.683920420103642e-01, 2.899922781476511e+02, 2.290561962034684e+01, 1.859889907483667e+05, 2.139378140413465e-02, -1.688297756887986e-02, 5.237033206728548e+04, 2.367587625997353e+02, 1.225572151869621e+00, -1.078448678507862e+00
15, -1.722952277881852e-01, 1.396253653145207e-02, 7.782952986468714e-01, 2.915735075649379e+02, 2.223469756321818e+01, 1.881477295336719e+05, 3.134257385944070e-02, -3.374179171488351e-02, 5.328555754232156e+04, 2.378311300527378e+02, 1.213573780577826e+00, -1.058286684855980e+00
