"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, -1.990233000000000e-01, 1.178851000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -7.866318986379800e+06, -2.744007909751941e+06, 1.566285092255628e+06, 6.004254052472575e+06
1, -1.905404000000000e-01, 1.243298000000000e-02, -8.342589952046618e-05, 5.221610358900074e-05, 6.794113195580312e-03, -3.060009068183541e-03, -2.212091667440242e+00, 2.263932695662111e+00, -5.732289367683464e+06, 1.890283352276132e+05, -3.133699226280724e+05, 5.954393854326384e+06
2, -1.814989000000000e-01, 1.300915000000000e-02, -1.561576523142025e-04, 1.424679815218464e-04, 1.396893831783559e-02, -1.023000291568686e-02, -3.289850748719827e+00, 4.756548908993716e+00, -4.815074175180353e+06, -2.524022998599099e+05, -2.083511288159223e+05, 4.581660770218114e+06
3, -1.719248000000000e-01, 1.351448000000000e-02, -2.243920803041613e-04, 2.845506444099265e-04, 2.165225054682189e-02, -2.312830928487507e-02, -3.730911061138364e+00, 7.593959795217148e+00, -4.026216312533945e+06, -1.316240181456681e+05, -1.711569041496589e+05, 3.909607126408090e+06
4, -1.618466000000000e-01, 1.394718000000000e-02, -2.867822900365714e-04, 4.746962346177557e-04, 2.974747641233689e-02, -4.192316641193453e-02, -3.548579905319628e+00, 1.043878936178310e+01, -3.368890407492505e+06, -1.193520866235323e+05, -1.285534926320915e+05, 3.259693743385654e+06
5, -1.512935000000000e-01, 1.430588000000000e-02, -3.432767851272692e-04, 7.099723638502407e-04, 3.823954560886073e-02, -6.688210371917246e-02, -2.817039715615249e+00, 1.300593556857622e+01, -2.816041202224080e+06, -8.823168095486365e+04, -9.647801941208611e+04, 2.734625535104524e+06
6, -1.402968000000000e-01, 1.459006000000000e-02, -3.939596379655151e-04, 9.870972096833138e-04, 4.710075286298274e-02, -9.820435561352329e-02, -1.631927268972859e+00, 1.508082633149300e+01, -2.357801285113806e+06, -6.690784684634648e+04, -7.205145743043238e+04, 2.295421180430359e+06
7, -1.288884000000000e-01, 1.479966000000000e-02, -4.389207568042691e-04, 1.302815683401168e-03, 5.629309332283346e-02, -1.360448170584396e-01, -9.633780730937147e-02, 1.653192491594054e+01, -1.974046925152893e+06, -4.824651036732028e+04, -5.335920436447900e+04, 1.928755053486556e+06
8, -1.171021000000000e-01, 1.493550000000000e-02, -4.783163455381454e-04, 1.653793973071719e-03, 6.577723948722201e-02, -1.804933599162361e-01, 1.682089696941755e+00, 1.732688083542821e+01, -1.653332102895685e+06, -3.299998394467277e+04, -3.931666558068474e+04, 1.622239001033390e+06
9, -1.049722000000000e-01, 1.499882000000000e-02, -5.123700036100291e-04, 2.036727675263024e-03, 7.552070027785394e-02, -2.315627368154752e-01, 3.605924301130338e+00, 1.757290477706972e+01, -1.387125200169812e+06, -2.033281350489708e+04, -2.898153460742465e+04, 1.368020886404144e+06
