"PointID","x","y","Pressure","Velocity_x","Velocity_y","Pressure_Coefficient"
0,9.997500181200000e-01,-3.632896519016437e-05,2.397138006608781e-01,7.194882372823258e-01,9.983905108157243e-02,4.794276013217564e-01,
1,9.990000128750000e-01,-1.452537504052920e-04,2.000743626519512e-01,7.640772002538421e-01,1.084220859421548e-01,4.001487253039026e-01,
2,9.977599978450000e-01,-3.251111630156300e-04,1.775957113624198e-01,7.895842098112043e-01,1.137869417590271e-01,3.551914227248398e-01,
3,9.960200190539999e-01,-5.769983605901485e-04,1.594677275009223e-01,8.147546748184445e-01,1.166402075591665e-01,3.189354550018447e-01,
4,9.937800168990000e-01,-9.004365425509819e-04,1.446286774900101e-01,8.328164306210281e-01,1.197557572109710e-01,2.892573549800204e-01,
5,9.910500049590000e-01,-1.293363843462116e-03,1.320134055133932e-01,8.480148347042954e-01,1.216955797827802e-01,2.640268110267866e-01,
6,9.878399968150000e-01,-1.753609743384430e-03,1.208314507680125e-01,8.611067365144521e-01,1.230066307576994e-01,2.416629015360250e-01,
7,9.841300249100000e-01,-2.283176811071472e-03,1.108579136523413e-01,8.727884784174733e-01,1.241639884592653e-01,2.217158273046827e-01,
8,9.799500107769999e-01,-2.876826092032643e-03,1.017549893340133e-01,8.830598364450611e-01,1.250223733363917e-01,2.035099786680266e-01,
9,9.752799868580000e-01,-3.536324145770189e-03,9.339967574984126e-02,8.925665240582109e-01,1.255998368507999e-01,1.867993514996826e-01,
10,9.701499938960000e-01,-4.256268552403566e-03,8.564318098244572e-02,9.012246580066207e-01,1.260185673254442e-01,1.712863619648915e-01,
11,9.645400047300000e-01,-5.038225493362627e-03,7.839041035861229e-02,9.092739593350088e-01,1.262444439472508e-01,1.567808207172247e-01,
12,9.584699869160000e-01,-5.878077433056352e-03,7.157753268384219e-02,9.167960205606298e-01,1.263206789840577e-01,1.431550653676844e-01,
13,9.519400000570000e-01,-6.774428848839826e-03,6.513400085632506e-02,9.238373977964853e-01,1.262596311149297e-01,1.302680017126502e-01,
14,9.449599981310000e-01,-7.724467125531491e-03,5.903285782729290e-02,9.304941174221989e-01,1.260649544328405e-01,1.180657156545859e-01,
15,9.375399947170000e-01,-8.725349486403867e-03,5.322244830618329e-02,9.367774768914632e-01,1.257471591175961e-01,1.064448966123666e-01,
16,9.296900033950000e-01,-9.774221272349531e-03,4.768818224154318e-02,9.427722509099136e-01,1.253143986868540e-01,9.537636448308640e-02,
17,9.214000105860000e-01,-1.087086069705918e-02,4.237802074655208e-02,9.484653846647803e-01,1.247959690818692e-01,8.475604149310420e-02,
18,9.126999974250000e-01,-1.200973104171110e-02,3.729617809912480e-02,9.539236329874911e-01,1.241778239538862e-01,7.459235619824962e-02,
19,9.035800099370001e-01,-1.319055953446835e-02,3.240910004256585e-02,9.591223791865857e-01,1.234629039013081e-01,6.481820008513173e-02,
20,8.940600156780000e-01,-1.440916392228702e-02,2.769381311658028e-02,9.641580508462217e-01,1.226644796813074e-01,5.538762623316058e-02,
21,8.841500282290000e-01,-1.566269158090452e-02,2.316419866877851e-02,9.689782635674034e-01,1.217970907101437e-01,4.632839733755703e-02,
22,8.738499879840000e-01,-1.694956337677533e-02,1.876317806591811e-02,9.736158722452776e-01,1.208413269257047e-01,3.752635613183623e-02,
23,8.631799817090000e-01,-1.826569132102762e-02,1.452497786628208e-02,9.781414942596329e-01,1.198277296408935e-01,2.904995573256418e-02,
24,8.521599769590000e-01,-1.960709133914372e-02,1.039876456288425e-02,9.824566497041299e-01,1.187554528912612e-01,2.079752912576851e-02,
25,8.407700061800000e-01,-2.097463226217677e-02,6.398438681569421e-03,9.866943710389556e-01,1.176224735179166e-01,1.279687736313885e-02,
26,8.290500044819999e-01,-2.236196298315981e-02,2.507282728716123e-03,9.907584359306446e-01,1.164098335194764e-01,5.014565457432249e-03,
27,8.170099854470000e-01,-2.376642068849115e-02,-1.290328513134102e-03,9.947651186464496e-01,1.151570686153949e-01,-2.580657026268205e-03,
28,8.046399950980000e-01,-2.518763605296113e-02,-4.999738455577270e-03,9.986234742075287e-01,1.138584428133266e-01,-9.999476911154544e-03,
29,7.919700145720000e-01,-2.662062628442961e-02,-8.612206368519018e-03,1.002390540288108e+00,1.124744146089926e-01,-1.722441273703804e-02,
30,7.790099978450000e-01,-2.806276676215449e-02,-1.218661822989049e-02,1.006102169469654e+00,1.110413411764515e-01,-2.437323645978099e-02,
31,7.657799720760000e-01,-2.951033727360171e-02,-1.564489075664080e-02,1.009740724430643e+00,1.095395222852362e-01,-3.128978151328161e-02,
32,7.522799968720000e-01,-3.096181144522562e-02,-1.909602431726474e-02,1.013282357438833e+00,1.079969316254123e-01,-3.819204863452949e-02,
33,7.385200262070000e-01,-3.241453277608040e-02,-2.245617489476915e-02,1.016803656787342e+00,1.063501211998622e-01,-4.491234978953831e-02,
34,7.245299816130000e-01,-3.386376679305321e-02,-2.579738247242640e-02,1.020253590084236e+00,1.046899556007861e-01,-5.159476494485282e-02,
35,7.103199958800001e-01,-3.530689307158652e-02,-2.908934570401781e-02,1.023628398477038e+00,1.029077923148517e-01,-5.817869140803564e-02,
36,6.958900094030001e-01,-3.674225211597043e-02,-3.234478369894006e-02,1.027041082878061e+00,1.010978174383049e-01,-6.468956739788015e-02,
37,6.812700033190000e-01,-3.816515293304169e-02,-3.558207868157515e-02,1.030312346460832e+00,9.916611669840755e-02,-7.116415736315033e-02,
38,6.664699912070000e-01,-3.957289370556494e-02,-3.878073572226367e-02,1.033669353868645e+00,9.718331009623597e-02,-7.756147144452737e-02,
39,6.514999866490000e-01,-4.096270419333766e-02,-4.197296777440782e-02,1.036879065114692e+00,9.506840590585981e-02,-8.394593554881567e-02,
40,6.363800168040000e-01,-4.233084266562091e-02,-4.513298600308464e-02,1.040193377610921e+00,9.289731718874848e-02,-9.026597200616933e-02,
41,6.211299896240000e-01,-4.367359094194759e-02,-4.829024589093307e-02,1.043343896773704e+00,9.057374216291919e-02,-9.658049178186617e-02,
42,6.057599782940000e-01,-4.498807223669178e-02,-5.141727118435838e-02,1.046625105812974e+00,8.817700828420229e-02,-1.028345423687168e-01,
43,5.902799963950000e-01,-4.627132533375768e-02,-5.454690328740211e-02,1.049723618016307e+00,8.561351168251086e-02,-1.090938065748043e-01,
44,5.747100114820000e-01,-4.751950934859488e-02,-5.764315522079981e-02,1.052972033681735e+00,8.294955708542874e-02,-1.152863104415997e-01,
45,5.590599775310000e-01,-4.872955796694115e-02,-6.074747576157005e-02,1.056023710759475e+00,8.011112524947804e-02,-1.214949515231402e-01,
46,5.433599948880000e-01,-4.989683951066199e-02,-6.380362271604326e-02,1.059227286076990e+00,7.713413968139904e-02,-1.276072454320866e-01,
47,5.276100039480000e-01,-5.101897737545535e-02,-6.687257826579127e-02,1.062229719200769e+00,7.398317441759499e-02,-1.337451565315826e-01,
48,5.118399858470000e-01,-5.209138375948307e-02,-6.987916228964502e-02,1.065373400050793e+00,7.065705508531342e-02,-1.397583245792901e-01,
49,4.960500001910000e-01,-5.311153541819326e-02,-7.289285587978382e-02,1.068314992370679e+00,6.714549204823091e-02,-1.457857117595677e-01,
50,4.802699983120000e-01,-5.407492053959814e-02,-7.582924548661184e-02,1.071383974457860e+00,6.339336196633602e-02,-1.516584909732237e-01,
51,4.645099937920000e-01,-5.497835513414191e-02,-7.875735185921524e-02,1.074266871711371e+00,5.948872408770481e-02,-1.575147037184306e-01,
52,4.487800002100000e-01,-5.581859897363720e-02,-8.160370034972657e-02,1.077175430650418e+00,5.530557485150728e-02,-1.632074006994532e-01,
53,4.331099987030000e-01,-5.659141825851464e-02,-8.440848161826701e-02,1.079966233268603e+00,5.095301637880603e-02,-1.688169632365341e-01,
54,4.174999892710000e-01,-5.729416860686566e-02,-8.711767239560533e-02,1.082661517313280e+00,4.626960124507475e-02,-1.742353447912108e-01,
55,4.019699990750000e-01,-5.792324246601335e-02,-8.976405676688526e-02,1.085321459252921e+00,4.140369213096719e-02,-1.795281135337706e-01,
56,3.865399956700000e-01,-5.847520956655861e-02,-9.228070406296146e-02,1.087740622127356e+00,3.618356434228805e-02,-1.845614081259230e-01,
57,3.712300062180000e-01,-5.894684318665333e-02,-9.472594706692797e-02,1.090214134591104e+00,3.073630467726573e-02,-1.894518941338560e-01,
58,3.560400009160000e-01,-5.933561549045978e-02,-9.697334043833147e-02,1.092336479114981e+00,2.494344499701623e-02,-1.939466808766630e-01,
59,3.409900069240000e-01,-5.963847719943702e-02,-9.916626393005724e-02,1.094490930288896e+00,1.888781013081353e-02,-1.983325278601146e-01,
60,3.261100053790000e-01,-5.985254444802346e-02,-1.010785452858494e-01,1.096278047832503e+00,1.245219530505084e-02,-2.021570905716988e-01,
61,3.113999962810000e-01,-5.997565198183213e-02,-1.029324934564981e-01,1.097981949969808e+00,5.734775329487138e-03,-2.058649869129963e-01,
62,2.968699932100000e-01,-6.000550062925582e-02,-1.044340435845427e-01,1.099382380926038e+00,-1.413741087220605e-03,-2.088680871690854e-01,
63,2.825500071050000e-01,-5.994005483718394e-02,-1.058662759533876e-01,1.100524394202774e+00,-8.823383963780535e-03,-2.117325519067752e-01,
64,2.684499919410000e-01,-5.977765596976551e-02,-1.068695068506014e-01,1.101421453690300e+00,-1.674258455153245e-02,-2.137390137012028e-01,
65,2.545700073240000e-01,-5.951657836311273e-02,-1.077649221075205e-01,1.101893519210608e+00,-2.490249541819375e-02,-2.155298442150412e-01,
66,2.409400045870000e-01,-5.915585896897953e-02,-1.081849132427019e-01,1.102141934983613e+00,-3.363168438149927e-02,-2.163698264854038e-01,
67,2.275699973110000e-01,-5.869456802648413e-02,-1.084193170943378e-01,1.101822417845017e+00,-4.262472782743804e-02,-2.168386341886756e-01,
68,2.144699990750000e-01,-5.813197420944613e-02,-1.081434174291880e-01,1.101266276841654e+00,-5.220268191926251e-02,-2.162868348583761e-01,
69,2.016600072380000e-01,-5.746811193675738e-02,-1.075792337007492e-01,1.099981900530334e+00,-6.210145945583731e-02,-2.151584674014984e-01,
70,1.891400069000000e-01,-5.670228146432130e-02,-1.064656828147548e-01,1.098443918476438e+00,-7.260358998975712e-02,-2.129313656295097e-01,
71,1.769299954180000e-01,-5.583513598033686e-02,-1.049565441114845e-01,1.096005250244421e+00,-8.346723780639573e-02,-2.099130882229691e-01,
72,1.650400012730000e-01,-5.486709202536137e-02,-1.028199722568778e-01,1.093233283411012e+00,-9.501116554833067e-02,-2.056399445137556e-01,
73,1.534900069240000e-01,-5.379977779145956e-02,-1.001987543615608e-01,1.089417984723709e+00,-1.069468314281106e-01,-2.003975087231218e-01,
74,1.422899961470000e-01,-5.263443049277360e-02,-9.682244889620141e-02,1.085112610352309e+00,-1.196143854878284e-01,-1.936448977924029e-01,
75,1.314399987460000e-01,-5.137133628795417e-02,-9.284004810297196e-02,1.079527889204684e+00,-1.327169053845330e-01,-1.856800962059440e-01,
76,1.209499984980000e-01,-5.001187382363489e-02,-8.795288970201270e-02,1.073303420394162e+00,-1.467075667508508e-01,-1.759057794040255e-01,
77,1.108499988910000e-01,-4.856066993422563e-02,-8.229805508651494e-02,1.065575402835815e+00,-1.611293202225575e-01,-1.645961101730300e-01,
78,1.011300012470000e-01,-4.701715290498424e-02,-7.556393057666362e-02,1.056838567835081e+00,-1.764494910882015e-01,-1.511278611533273e-01,
79,9.181000292300000e-02,-4.538527151431038e-02,-6.778206560263292e-02,1.046252850782325e+00,-1.923452135764462e-01,-1.355641312052659e-01,
80,8.290000259900000e-02,-4.366791468532204e-02,-5.868249129021610e-02,1.034118371931215e+00,-2.093053855292868e-01,-1.173649825804323e-01,
