"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 2.500000000000000e+00, -2.000000000000000e+00, 5.256922655488374e-05, 1.786722943804153e-03, 3.377603856690066e-06, 1.090018892816541e+01, 4.347930099493655e+00, 2.881252445845768e+02, 9.988192460694399e-02, -4.280645849671803e-02, 3.398800136309337e+01, 6.425059065998914e-02, 1.789178181445630e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 2.500000000000000e+00, 2.000000000000000e+00, 5.256918024734018e-05, 1.786685043195065e-03, -3.402738758192430e-06, 1.090017423461656e+01, 4.347924725988312e+00, 2.881251423029773e+02, 9.987991426044046e-02, -4.298295940223433e-02, 3.398731033637272e+01, -6.472877724519201e-02, 1.789177687927876e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -1.500000000000000e+00, 2.000000000000000e+00, 5.258706589048097e-05, 1.787958078640176e-03, 1.735073420049658e-06, 1.090539240740108e+01, 4.349998851275279e+00, 2.881645465494219e+02, 9.991011927805665e-02, 2.514482087195409e-02, 3.399995889414743e+01, 3.299429984671824e-02, 1.789367810664548e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -1.500000000000000e+00, -2.000000000000000e+00, 5.258711784927909e-05, 1.787957108913383e-03, -1.752398820081824e-06, 1.090540730948770e+01, 4.350004837081229e+00, 2.881646583556858e+02, 9.990994793591564e-02, 2.534143371644269e-02, 3.399990686003900e+01, -3.332372816293919e-02, 1.789368350104180e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.464466094067263e-01, 3.535533905932738e-01, 5.401996696191741e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.133182858259144e+01, 4.532731433036574e+00, 2.923048482077552e+02, 0.000000000000000e+00, 6.027272685275710e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.809275212056457e-05, 3.624500746167501e-01, 3.624500746166674e-01, -1.180439848755802e-01, 1.791132581713101e+00
5, 1.464466094067262e-01, -3.535533905932737e-01, 5.401996575657950e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.133182829652781e+01, 4.532731318611123e+00, 2.923048473508817e+02, 0.000000000000000e+00, 6.027268926798826e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.809275207950558e-05, 3.624500891359645e-01, -3.624500891360634e-01, -1.180443699459019e-01, 1.791132601670272e+00
6, 8.535533905932737e-01, -3.535533905932738e-01, 5.055319347137785e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.034798824451403e+01, 4.139195297805611e+00, 2.852316195792209e+02, 0.000000000000000e+00, -6.899016541049003e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.775182350315870e-05, 3.393999222868125e-01, 3.393999222867834e-01, -1.294739019180542e-01, 1.708906528947542e+00
7, 8.535533905932737e-01, 3.535533905932737e-01, 5.055319389129889e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.034798837049024e+01, 4.139195348196096e+00, 2.852316206823435e+02, 0.000000000000000e+00, -6.899014885897365e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.775182355664382e-05, 3.393999797562246e-01, -3.393999797563163e-01, -1.294739108489238e-01, 1.708906675578212e+00
8, 2.400000000000000e+01, -1.000000000000000e+01, 5.258046573566558e-05, 1.789297626133296e-03, 3.343325706999191e-14, 1.090352794942713e+01, 4.349233326455586e+00, 2.881500000005825e+02, 1.000000000048831e-01, 1.010688908093304e-09, 3.402970287727229e+01, 6.358493901151198e-10, 1.789297626037884e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, 2.400000000000000e+01, 1.000000000000000e+01, 5.258046573569081e-05, 1.789297626142367e-03, -4.467221329287939e-14, 1.090352794943473e+01, 4.349233326458507e+00, 2.881500000006378e+02, 1.000000000053324e-01, 1.106640755995361e-09, 3.402970287742848e+01, -8.495971396951051e-10, 1.789297626038151e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
10, -2.400000000000000e+01, 1.000000000000000e+01, 5.258046573538324e-05, 1.789297626062646e-03, 4.356898599258108e-14, 1.090352794934315e+01, 4.349233326422891e+00, 2.881499999999636e+02, 1.000000000015789e-01, -6.321911049065320e-11, 3.402970287611136e+01, 8.286154445996467e-10, 1.789297626034898e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, -2.400000000000000e+01, -1.000000000000000e+01, 5.258046573458057e-05, 1.789297626330344e-03, -3.786439523856959e-14, 1.090352794912035e+01, 4.349233326329940e+00, 2.881499999982041e+02, 1.000000000183719e-01, -3.116349147079864e-09, 3.402970288172206e+01, -7.201228575970434e-10, 1.789297626026409e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.800000000000000e+01, 2.000000000000000e+00, 5.258046573539947e-05, 1.789297626035032e-03, 6.761389325473164e-17, 1.090352794934690e+01, 4.349233326424771e+00, 2.881499999999992e+02, 9.999999999999862e-02, -1.487851700518372e-12, 3.402970287557569e+01, 1.285912787364510e-12, 1.789297626035069e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
13, 1.800000000000000e+01, -2.000000000000000e+00, 5.258046573539906e-05, 1.789297626035076e-03, -1.606064801416170e-16, 1.090352794934678e+01, 4.349233326424722e+00, 2.881499999999982e+02, 1.000000000000020e-01, -3.092397652057794e-12, 3.402970287557677e+01, -3.054489493300379e-12, 1.789297626035065e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
14, 1.184579659002250e-01, 3.231496189306219e-01, 5.446322746045002e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.144510793123954e+01, 4.578043172495816e+00, 2.928241257851178e+02, 0.000000000000000e+00, 7.515605260515047e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.811762379199767e-05, 3.141557422882479e-01, 3.709229840142546e-01, -1.469999089112624e-01, 1.640416340726684e+00
15, 9.307564136505508e-02, 2.905384077011828e-01, 5.474860956448988e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.151951401636927e+01, 4.607805606547705e+00, 2.931915167179964e+02, 0.000000000000000e+00, 8.493197395499934e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.813520772831180e-05, 2.621805342344678e-01, 3.672066856291960e-01, -1.376558839624290e-01, 1.485162007033455e+00
16, 7.047302281520773e-02, 2.559425245450528e-01, 5.492377429125731e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.156614965382829e+01, 4.626459861531313e+00, 2.934396325780876e+02, 0.000000000000000e+00, 9.105924597992278e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.814707693871881e-05, 2.096297960241693e-01, 3.518041903125022e-01, -9.229006221127925e-02, 1.330331550153550e+00
17, 5.080450905418732e-02, 2.195982944240468e-01, 5.501538451604296e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.159215397333935e+01, 4.636861589335740e+00, 2.936096497564281e+02, 0.000000000000000e+00, 9.447585070859960e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.815520731225198e-05, 1.586451451477495e-01, 3.245138312559153e-01, -2.223673895818525e-02, 1.177143822194107e+00
18, 3.420445597454874e-02, 1.817539852823973e-01, 5.505564587369483e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.160551287417602e+01, 4.642205149670406e+00, 2.937330484015322e+02, 0.000000000000000e+00, 9.623102387315962e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816110692013092e-05, 1.114580695841780e-01, 2.856425518115753e-01, 5.327723243021728e-02, 1.025978480056552e+00
19, 2.078625877105689e-02, 1.426681121251681e-01, 5.507969539523745e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.161445427295114e+01, 4.645781709180457e+00, 2.938310014238230e+02, 0.000000000000000e+00, 9.740579890709530e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816578913624574e-05, 7.026649136645956e-02, 2.360209840108233e-01, 1.175389579061349e-01, 8.755171484737264e-01
20, 1.064157733648619e-02, 1.026076710985966e-01, 5.511422499506617e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.162489952837622e+01, 4.649959811350487e+00, 2.939109996271316e+02, 0.000000000000000e+00, 9.877815972055018e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816961254068065e-05, 3.744912162667741e-02, 1.786030507578951e-01, 1.581368064826864e-01, 7.243006014804200e-01
21, 3.839710131585572e-03, 6.184631563554055e-02, 5.515485538622621e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.163547125987817e+01, 4.654188503951266e+00, 2.939615740440902e+02, 0.000000000000000e+00, 1.001671377257036e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.817202941588625e-05, 1.414988020133710e-02, 1.135170072809131e-01, 1.741500352524124e-01, 5.575844988546531e-01
22, 4.271208063898468e-04, 2.066248712538188e-02, 5.517586835447758e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.164097748194362e+01, 4.656390992777449e+00, 2.939886804830311e+02, 0.000000000000000e+00, 1.008905784732292e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.817332470897937e-05, 1.614878243159406e-03, 3.904415613618325e-02, 1.806204968415454e-01, 3.211581351247400e-01
23, 4.271208063113541e-04, -2.066248712348362e-02, 5.517586819735631e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.164097745395430e+01, 4.656390981581720e+00, 2.939886806133462e+02, 0.000000000000000e+00, 1.008905747958229e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.817332471520638e-05, 1.614885282092776e-03, -3.904432632525282e-02, 1.806204111717011e-01, 3.211588345025427e-01
24, 3.839710131382179e-03, -6.184631563390902e-02, 5.515485492145303e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.163547117742324e+01, 4.654188470969293e+00, 2.939615744380520e+02, 0.000000000000000e+00, 1.001671268922761e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.817202943471231e-05, 1.414989918179595e-02, -1.135171595541788e-01, 1.741498038267559e-01, 5.575848699026278e-01
25, 1.064157733619264e-02, -1.026076710971964e-01, 5.511422427801649e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.162489940023183e+01, 4.649959760092733e+00, 2.939110002111265e+02, 0.000000000000000e+00, 9.877814288416591e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816961256859005e-05, 3.744914875077967e-02, -1.786031801212035e-01, 1.581364187995360e-01, 7.243008579626329e-01
26, 2.078625877071327e-02, -1.426681121240141e-01, 5.507969451843188e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.161445411408610e+01, 4.645781645634437e+00, 2.938310020821907e+02, 0.000000000000000e+00, 9.740577803444447e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816578916771361e-05, 7.026652491823772e-02, -2.360210967113270e-01, 1.175384226100551e-01, 8.755173490173735e-01
27, 3.420445597419830e-02, -1.817539852814994e-01, 5.505564488474285e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.160551268941235e+01, 4.642205075764939e+00, 2.937330490014629e+02, 0.000000000000000e+00, 9.623099959779196e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816110694881030e-05, 1.114581066736372e-01, -2.856426468653330e-01, 5.327664108989641e-02, 1.025978639927937e+00
28, 5.080450905387207e-02, -2.195982944234018e-01, 5.501538343343674e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.159215376036784e+01, 4.636861504147133e+00, 2.936096501399426e+02, 0.000000000000000e+00, 9.447582272711413e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.815520733058942e-05, 1.586451823454684e-01, -3.245139073462439e-01, -2.223732205654803e-02, 1.177143947426296e+00
29, 7.047302281496720e-02, -2.559425245446491e-01, 5.492377315090626e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.156614941595856e+01, 4.626459766383422e+00, 2.934396326357207e+02, 0.000000000000000e+00, 9.105921472715993e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.814707694147526e-05, 2.096298302691073e-01, -3.518042477837485e-01, -9.229058731688713e-02, 1.330331644801514e+00
30, 9.307564136487351e-02, -2.905384077009285e-01, 5.474860839406414e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.151951375744511e+01, 4.607805502978044e+00, 2.931915163958313e+02, 0.000000000000000e+00, 8.493193993597853e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.813520771289713e-05, 2.621805632986980e-01, -3.672067263366497e-01, -1.376563328144022e-01, 1.485162074739573e+00
31, 1.184579659001407e-01, -3.231496189305224e-01, 5.446322627589540e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.144510765647056e+01, 4.578043062588224e+00, 2.928241251239427e+02, 0.000000000000000e+00, 7.515601650434041e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.811762376034315e-05, 3.141557647251808e-01, -3.709230105057260e-01, -1.470002998466289e-01, 1.640416384332133e+00
32, 1.768503810693742e-01, -3.815420340997717e-01, 5.351684048896485e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.120384402626169e+01, 4.481537610504674e+00, 2.917204837365341e+02, 0.000000000000000e+00, 4.345734200226286e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.806473747420750e-05, 4.372746988103328e-01, -3.703527780941160e-01, -7.128283754370845e-02, 1.770730703497839e+00
33, 2.094615922987934e-01, -4.069243586349280e-01, 5.308632767325563e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.109378093071873e+01, 4.437512372287492e+00, 2.911972295787330e+02, 0.000000000000000e+00, 2.899658702942808e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.803962948702123e-05, 5.106695981219832e-01, -3.646110849630320e-01, -3.188977248449284e-02, 1.733757123689598e+00
34, 2.440574754548962e-01, -4.295269771847618e-01, 5.270649387017523e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.099572433296665e+01, 4.398289733186661e+00, 2.907033609547569e+02, 0.000000000000000e+00, 1.611331833189043e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.801591157400390e-05, 5.817561654098129e-01, -3.466514318159975e-01, -1.444315038313610e-02, 1.688037925900802e+00
35, 2.804017055758650e-01, -4.491954909457695e-01, 5.238844498953349e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.091209768038096e+01, 4.364839072152384e+00, 2.902438818103146e+02, 0.000000000000000e+00, 5.125943078864397e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.799382775761250e-05, 6.476285018453384e-01, -3.166062823254391e-01, -1.629692479829000e-02, 1.637303648710193e+00
36, 3.182460147174930e-01, -4.657955440254085e-01, 5.212388141760843e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.084021070372480e+01, 4.336084281489920e+00, 2.897952830884706e+02, 0.000000000000000e+00, -4.319002568306828e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.797225062623531e-05, 7.053599757353448e-01, -2.752323166098450e-01, -3.410812078894347e-02, 1.585219835552963e+00
37, 3.573318878747477e-01, -4.792137412289180e-01, 5.192873965492900e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.078373809674374e+01, 4.313495238697495e+00, 2.893689218646068e+02, 0.000000000000000e+00, -1.173871512683311e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.795172818040461e-05, 7.508048087679168e-01, -2.235242761754162e-01, -6.142865752740412e-02, 1.534295468934545e+00
38, 3.973923289013060e-01, -4.893584226634934e-01, 5.184179424026941e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075176430508318e+01, 4.300705722033270e+00, 2.889948130722997e+02, 0.000000000000000e+00, -1.593962520005029e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.793370885699593e-05, 7.830084024838048e-01, -1.641795970165452e-01, -9.957061811110342e-02, 1.490188925413787e+00
39, 4.381536843643418e-01, -4.961602898683999e-01, 5.185415606136395e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.074202016301884e+01, 4.296808065207537e+00, 2.886640692070289e+02, 0.000000000000000e+00, -1.721986950099162e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.791776889804560e-05, 8.037573019256254e-01, -1.001882432037012e-01, -1.457459955913055e-01, 1.459022876126225e+00
40, 4.793375128745136e-01, -4.995728791936059e-01, 5.191975584690858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.074431997462264e+01, 4.297727989849053e+00, 2.883610701641671e+02, 0.000000000000000e+00, -1.691770634701109e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.790315836813090e-05, 8.124555425890156e-01, -3.360340980842695e-02, -2.106774270279844e-01, 1.442570926658368e+00
41, 5.206624871233784e-01, -4.995728791936931e-01, 5.200026593371857e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075023666412362e+01, 4.300094665649447e+00, 2.880731604096156e+02, 0.000000000000000e+00, -1.614033590597450e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.788926859801197e-05, 8.090563881000530e-01, 3.346281973557802e-02, -2.706478238631228e-01, 1.441784320143847e+00
42, 5.618463156337973e-01, -4.961602898686318e-01, 5.207799347294667e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075604212022727e+01, 4.302416848090909e+00, 2.877985410601704e+02, 0.000000000000000e+00, -1.537757998123569e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.787601378383069e-05, 7.944191160367136e-01, 9.902423954351255e-02, -3.266526582092232e-01, 1.457045334861861e+00
43, 6.026076710970982e-01, -4.893584226638280e-01, 5.212021788751109e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075439848436828e+01, 4.301759393747311e+00, 2.875214423770252e+02, 0.000000000000000e+00, -1.559353079839408e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.786263313975485e-05, 7.670070750285620e-01, 1.608244714686294e-01, -3.551680913993173e-01, 1.484723356975546e+00
44, 6.426681121238796e-01, -4.792137412293268e-01, 5.208433170503060e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.073655167046642e+01, 4.294620668186566e+00, 2.872420774491380e+02, 0.000000000000000e+00, -1.793835311696952e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.784913678950866e-05, 7.271951330040438e-01, 2.164953711579348e-01, -3.590878683641929e-01, 1.520931533875233e+00
45, 6.817539852814508e-01, -4.657955440258206e-01, 5.196564501266583e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.070147694545037e+01, 4.280590778180146e+00, 2.869576021009328e+02, 0.000000000000000e+00, -2.254668256377029e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.783538707096053e-05, 6.777076700753550e-01, 2.644423534569720e-01, -3.552923903468777e-01, 1.563381636029822e+00
46, 7.195982944233135e-01, -4.491954909461712e-01, 5.176479306167029e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.064840546315380e+01, 4.259362185261519e+00, 2.866424017021023e+02, 0.000000000000000e+00, -2.951953479684498e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.782014465512148e-05, 6.199250573003636e-01, 3.030628935449491e-01, -3.337309288870728e-01, 1.607857920339929e+00
47, 7.559425245446556e-01, -4.295269771850289e-01, 5.150729447022001e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.058285870353054e+01, 4.233143481412216e+00, 2.863021412365379e+02, 0.000000000000000e+00, -3.813146439503918e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.780368135628751e-05, 5.549736164741295e-01, 3.306924966317897e-01, -2.931620664048858e-01, 1.649288403846527e+00
48, 7.905384077009235e-01, -4.069243586351301e-01, 5.122866084803639e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.051286634026305e+01, 4.205146536105221e+00, 2.859555145804177e+02, 0.000000000000000e+00, -4.732748427970419e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.778690037808113e-05, 4.854138089704989e-01, 3.465787981023818e-01, -2.407441513485149e-01, 1.684095908905395e+00
49, 8.231496189305566e-01, -3.815420340998303e-01, 5.091323438794099e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.043464840882992e+01, 4.173859363531968e+00, 2.855863654438820e+02, 0.000000000000000e+00, -5.760422904466562e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.776901830563753e-05, 4.129301834139885e-01, 3.497340253214800e-01, -1.797872998514559e-01, 1.706286632217599e+00
