"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"
0	2.500000000000000e+00	-2.000000000000000e+00	5.241759856375537e-05	1.776758681719978e-03	1.339758179263992e-04	1.085646484452496e+01	4.330472369009251e+00	2.877984805338720e+02	-6.162320051601256e-01	9.995152012585327e-02	1.787601086179043e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	2.500000000000000e+00	2.000000000000000e+00	5.241822059333793e-05	1.777176949590441e-03	-1.344406338955009e-04	1.085665131645939e+01	4.330540953815953e+00	2.877996233425827e+02	-6.139792335119872e-01	9.997549534532565e-02	1.787606603334606e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
2	-1.500000000000000e+00	2.000000000000000e+00	5.290377680648760e-05	1.731404895973171e-03	1.580541699953247e-04	1.099515902617520e+01	4.386636282528978e+00	2.888519436808097e+02	1.228556631116452e+00	9.645561547797231e-02	1.792682444839828e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
3	-1.500000000000000e+00	-2.000000000000000e+00	5.290302810267612e-05	1.732722707898426e-03	-1.566071920965581e-04	1.099505702819862e+01	4.386579784656441e+00	2.888523112897727e+02	1.226700873091451e+00	9.652246892083366e-02	1.792684216437369e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.464466094067263e-01	3.535533905932738e-01	5.204334820018067e-05	0.000000000000000e+00	0.000000000000000e+00	1.078293109428245e+01	4.313172437712979e+00	2.887100736695116e+02	-1.184474398961932e+00	0.000000000000000e+00	1.791998657537570e-05	2.865643283297365e-01	2.865643283296710e-01	-1.681963898966684e-01	1.578291116249944e+00	
5	1.464466094067262e-01	-3.535533905932737e-01	5.204351074910734e-05	0.000000000000000e+00	0.000000000000000e+00	1.078297869001258e+01	4.313191476005032e+00	2.887104462922734e+02	-1.183849057481387e+00	0.000000000000000e+00	1.792000453722286e-05	2.865674782409723e-01	-2.865674782410506e-01	-1.682008621315144e-01	1.578300673295223e+00	
6	8.535533905932737e-01	-3.535533905932738e-01	5.198041965388806e-05	0.000000000000000e+00	0.000000000000000e+00	1.077128903415043e+01	4.308515613660172e+00	2.887475015298845e+02	-1.337434824177680e+00	0.000000000000000e+00	1.792179068619273e-05	5.334050143999824e-02	5.334050143999367e-02	-2.810251311104688e-02	6.804530268613290e-01	
7	8.535533905932737e-01	3.535533905932737e-01	5.198044418419735e-05	0.000000000000000e+00	0.000000000000000e+00	1.077129513141300e+01	4.308518052565198e+00	2.887475287159622e+02	-1.337354714655497e+00	0.000000000000000e+00	1.792179199658468e-05	5.334251730052755e-02	-5.334251730054197e-02	-2.810808387915656e-02	6.804659954913616e-01	
8	2.400000000000000e+01	-1.000000000000000e+01	5.258046475460399e-05	1.789297295277855e-03	-1.112918407864280e-10	1.090352765379414e+01	4.349233212478737e+00	2.881499978256542e+02	-3.742731182997006e-06	9.999998375730731e-02	1.789297615544097e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	2.400000000000000e+01	1.000000000000000e+01	5.258046551311279e-05	1.789297560181493e-03	2.537981464845482e-11	1.090352788190545e+01	4.349233300293100e+00	2.881499994868653e+02	-8.583356946222471e-07	9.999999683138040e-02	1.789297623559256e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
10	-2.400000000000000e+01	1.000000000000000e+01	5.258046168675444e-05	1.789298680934035e-03	-2.909236160489357e-10	1.090352681546714e+01	4.349232857576018e+00	2.881499911246071e+02	-1.540004744779756e-05	1.000000681960128e-01	1.789297583212291e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
11	-2.400000000000000e+01	-1.000000000000000e+01	5.258046230382902e-05	1.789298389880658e-03	3.444431165012320e-10	1.090352698386260e+01	4.349232929038907e+00	2.881499924775672e+02	-1.305274083809540e-05	1.000000505213151e-01	1.789297589740172e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
12	1.800000000000000e+01	2.000000000000000e+00	5.258046576290883e-05	1.789297628552666e-03	-7.730453975440730e-12	1.090352795738046e+01	4.349233329610296e+00	2.881500000602939e+02	1.046319455493188e-07	1.000000000779228e-01	1.789297626325985e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
13	1.800000000000000e+01	-2.000000000000000e+00	5.258046576598001e-05	1.789297627429587e-03	7.576905374522414e-12	1.090352795822571e+01	4.349233329964393e+00	2.881500000669233e+02	1.162627740278985e-07	1.000000000081650e-01	1.789297626357971e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
14	1.184579659002250e-01	3.231496189306219e-01	5.235990228319171e-05	0.000000000000000e+00	0.000000000000000e+00	1.084913096116098e+01	4.339652384464389e+00	2.887263767586808e+02	-3.147005211310784e-01	0.000000000000000e+00	1.792077243641160e-05	2.538520765282294e-01	2.997225803934895e-01	-1.323868951284072e-01	1.461719985315479e+00	
15	9.307564136505508e-02	2.905384077011828e-01	5.255758947365577e-05	0.000000000000000e+00	0.000000000000000e+00	1.089095531996544e+01	4.356382127986175e+00	2.887492565218175e+02	2.348131933284876e-01	0.000000000000000e+00	1.792187527816654e-05	2.161528352301000e-01	3.027408821404555e-01	-1.030978362258939e-01	1.336978221473338e+00	
16	7.047302281520773e-02	2.559425245450528e-01	5.267746745553167e-05	0.000000000000000e+00	0.000000000000000e+00	1.091665138600418e+01	4.366660554401673e+00	2.887718737488881e+02	5.724236456958368e-01	0.000000000000000e+00	1.792296542393997e-05	1.753699086401922e-01	2.943086807527451e-01	-7.861565388810156e-02	1.206535190553987e+00	
17	5.080450905418732e-02	2.195982944240468e-01	5.274016595172346e-05	0.000000000000000e+00	0.000000000000000e+00	1.093038500740884e+01	4.372154002963534e+00	2.887914320132390e+02	7.528642675433764e-01	0.000000000000000e+00	1.792390809521128e-05	1.337281638569799e-01	2.735453313722975e-01	-5.881427107665593e-02	1.071827138285580e+00	
18	3.420445597454874e-02	1.817539852823973e-01	5.276234272287486e-05	0.000000000000000e+00	0.000000000000000e+00	1.093551472345944e+01	4.374205889383775e+00	2.888055239575776e+02	8.202615786239386e-01	0.000000000000000e+00	1.792458728118211e-05	9.370982087712847e-02	2.401576885820062e-01	-4.239190539247650e-02	9.331023901011927e-01	
19	2.078625877105689e-02	1.426681121251681e-01	5.277139525310203e-05	0.000000000000000e+00	0.000000000000000e+00	1.093754229930735e+01	4.375016919722941e+00	2.888095204025599e+02	8.469010960579260e-01	0.000000000000000e+00	1.792477989395481e-05	5.856773221913046e-02	1.967255447201657e-01	-2.990196564137891e-02	7.929096210639690e-01	
