"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 2.500000000000000e+00, -2.000000000000000e+00, 5.256901213176828e-05, 1.807546387438754e-03, 8.543158278811677e-05, 1.090097272762526e+01, 4.347931095872744e+00, 2.881264858427367e+02, 1.011588158832750e-01, -4.277373091943889e-02, 3.438425631640175e+01, 1.625131980300028e+00, 1.789184170619194e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, 2.500000000000000e+00, 2.000000000000000e+00, 5.256925204084385e-05, 1.807495861681743e-03, -8.638232211608324e-05, 1.090104059089814e+01, 4.347958371472661e+00, 2.881269784039098e+02, 1.011579696085005e-01, -4.187782261067324e-02, 3.438313827020790e+01, -1.643210027964031e+00, 1.789186547264268e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -1.500000000000000e+00, 2.000000000000000e+00, 5.260726550890366e-05, 1.791847542342768e-03, 8.828687750370634e-05, 1.091146548142380e+01, 4.352350193771237e+00, 2.882096042373792e+02, 1.002025517224534e-01, 1.023782194137700e-01, 3.406083789014850e+01, 1.678225937988812e+00, 1.789585195545268e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -1.500000000000000e+00, -2.000000000000000e+00, 5.260700704924480e-05, 1.792516943626869e-03, -8.811483344036038e-05, 1.091141513397951e+01, 4.352320988161465e+00, 2.882090862343387e+02, 1.002400052193841e-01, 1.014189170139640e-01, 3.407372979703854e+01, -1.674963819133013e+00, 1.789582696485709e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.464466094067263e-01, 3.535533905932738e-01, 5.216920080316222e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.081526556598404e+01, 4.326106226393617e+00, 2.888772498176425e+02, 0.000000000000000e+00, -7.596445591812608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.792804398772380e-05, 2.795956726900218e-01, 2.795956726899581e-01, -1.481472196195460e-01, 1.560164956630059e+00
5, 1.464466094067262e-01, -3.535533905932737e-01, 5.216964952951858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.081538992369328e+01, 4.326155969477313e+00, 2.888780866834127e+02, 0.000000000000000e+00, -7.580106724062080e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.792808431661732e-05, 2.795671789610931e-01, -2.795671789611693e-01, -1.481427513652199e-01, 1.560088656045141e+00
6, 8.535533905932737e-01, -3.535533905932738e-01, 5.194593534216450e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075862996883380e+01, 4.303451987533517e+00, 2.885996079000566e+02, 0.000000000000000e+00, -1.503757278426302e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.791466120958640e-05, 3.332399434670909e-02, 3.332399434670624e-02, -5.580322911274464e-03, 5.378693848188389e-01
7, 8.535533905932737e-01, 3.535533905932737e-01, 5.194578087856400e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.075858347849330e+01, 4.303433391397319e+00, 2.885992189623418e+02, 0.000000000000000e+00, -1.504368096629430e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.791464245783252e-05, 3.329764319938277e-02, -3.329764319939175e-02, -5.579931919735163e-03, 5.376564444545302e-01
8, 2.400000000000000e+01, -1.000000000000000e+01, 5.258044095792148e-05, 1.789287293350611e-03, -3.465547815951865e-09, 1.090352043878282e+01, 4.349230457107456e+00, 2.881499456837752e+02, 9.999947907631798e-02, -9.424706590657818e-05, 3.402952239945121e+01, -6.590944755912635e-05, 1.789297363965325e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, 2.400000000000000e+01, 1.000000000000000e+01, 5.258043912232771e-05, 1.789287076719108e-03, 3.266620198976374e-09, 1.090351990099218e+01, 4.349230244514826e+00, 2.881499416582295e+02, 9.999947115873468e-02, -1.012299922115442e-04, 3.402951946742694e+01, 6.212614906803315e-05, 1.789297344542514e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
