"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Pressure","Temperature","Pressure_Coefficient","Mach","Laminar_Viscosity","Skin_Friction_Coefficient","Heat_Flux","Y_Plus","Eddy_Viscosity"
0,5.010000078023450e+02,5.352202629500000e-08,9.999515326594499e-01,1.748506330269674e-01,3.084252110444500e-02,2.515711256438716e+00,8.494959319536452e-10,4.304414388136264e-03,9.999793956483540e-01,1.000027864339415e+00,-1.308212802918715e-03,1.500623263687954e-01,2.958103275525403e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.973450233689160e-07,
1,3.278693397908290e+02,5.352202629500000e-08,9.999437895082912e-01,1.748534178608394e-01,3.081990310251242e-02,2.515684057187358e+00,9.690885227476165e-10,4.899639531942016e-03,9.999685512432014e-01,1.000024763126858e+00,-1.996746463404018e-03,1.500627194710863e-01,2.958096221132561e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.977766004076665e-07,
2,2.146849004455700e+02,5.352202629500000e-08,9.999457652889254e-01,1.748622174210494e-01,3.078648999003329e-02,2.515691439059221e+00,1.261228215938546e-09,6.310001620999008e-03,9.999713125456678e-01,1.000025548642366e+00,-1.821425671882839e-03,1.500647891112107e-01,2.958098007962067e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.998667974507929e-07,
3,1.406903998926780e+02,5.352202629500000e-08,9.999460587929457e-01,1.748739369664296e-01,3.074548393992482e-02,2.515693201423834e+00,1.622545435002972e-09,7.994712857151228e-03,9.999717040676097e-01,1.000025646658076e+00,-1.796567135891278e-03,1.500684876997506e-01,2.958098230920523e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.029413629338897e-07,
4,9.231638184086459e+01,5.352202629500000e-08,9.999469549741486e-01,1.749001102852556e-01,3.068896274346020e-02,2.515699080856981e+00,2.024909063399650e-09,9.828836629407664e-03,9.999729247910365e-01,1.000025971194531e+00,-1.719060886571473e-03,1.500818526892818e-01,2.958098969150541e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.060062412919666e-07,
5,6.069179345940150e+01,5.352202629500000e-08,9.999482110404306e-01,1.749316015016168e-01,3.060599045064163e-02,2.515706451029537e+00,2.440775008178268e-09,1.168589906589603e-02,9.999746943856742e-01,1.000026484716860e+00,-1.606705671478600e-03,1.500957394325685e-01,2.958100137270536e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.088541670116610e-07,
6,4.001717037504760e+01,5.352202629500000e-08,9.999498310722458e-01,1.749318488249506e-01,3.047834540117290e-02,2.515708573704009e+00,2.844957269094796e-09,1.344859909912778e-02,9.999770957073894e-01,1.000027266003050e+00,-1.454240800676077e-03,1.500770883066024e-01,2.958101914478030e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.115324235337703e-07,
7,2.650110387248250e+01,5.352202629500000e-08,9.999517677789949e-01,1.748388846777569e-01,3.027746910102367e-02,2.515692991048254e+00,3.225635502666282e-09,1.505649064476444e-02,9.999798192465786e-01,1.000028052820634e+00,-1.281317677546770e-03,1.499702705167764e-01,2.958103704267217e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.142252068075910e-07,
8,1.766495469789320e+01,5.352202629500000e-08,9.999550506169927e-01,1.745970617582062e-01,2.996479010565271e-02,2.515650463548275e+00,3.598012397860642e-09,1.657926722205468e-02,9.999834973228424e-01,1.000028447984569e+00,-1.047789025878196e-03,1.497234383928588e-01,2.958104603154010e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.170088106106047e-07,
9,1.188830864330480e+01,5.352202629500000e-08,9.999601095020901e-01,1.742251053231211e-01,2.950118288489433e-02,2.515583613574067e+00,4.020045547267498e-09,1.834826845822801e-02,9.999882532746258e-01,1.000028144895250e+00,-7.458238332815439e-04,1.493469583177351e-01,2.958103913711083e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.190867622763280e-07,
10,8.111817438747661e+00,5.352202629500000e-08,9.999692460941848e-01,1.738737495976653e-01,2.885022755684890e-02,2.515529336368867e+00,4.626299309623071e-09,2.123372968705380e-02,9.999986583349668e-01,1.000029413145351e+00,-8.518508147195091e-05,1.489616764955992e-01,2.958106798622562e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.178635194055229e-07,
11,5.642930530440520e+00,5.352202629500000e-08,9.999823745327741e-01,1.737474569285637e-01,2.798967706471619e-02,2.515528303781018e+00,5.745454945645567e-09,2.712981462127547e-02,1.000016889872432e+00,1.000034515948018e+00,1.072372852795927e-03,1.487366407040965e-01,2.958118406042220e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.117582016670428e-07,
12,4.028891933275240e+00,5.352202629500000e-08,1.000009278618974e+00,1.738261853836755e-01,2.687969653677683e-02,2.515610361678332e+00,8.269066116286692e-09,3.938037450670715e-02,1.000056586613973e+00,1.000047307556051e+00,3.592800887203353e-03,1.486511332577356e-01,2.958147503172900e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.099466785485307e-07,
