"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_TKE","Adjoint_Omega","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.098913000000000e-02, -2.568134635231300e-02, 3.502349765541616e+01, 1.091098815641313e-02, 2.076310019256930e-03, -1.045747017069563e-04, 1.005902417109568e-03, -2.818356534664906e-07, 1.379304109382742e-02, -1.347079549483064e-03, 0.000000000000000e+00
1, 1.547435314528300e-02, -2.609169212751100e-02, -1.456776189903858e+02, -4.223107141061879e-02, -1.469168435410360e-03, 4.794049388941207e-04, 1.050579812634383e-03, -2.589625866977046e-07, 4.752506099909107e-03, -5.271325157414140e-03, 0.000000000000000e+00
2, 1.488133739335600e-02, -2.249447198790300e-02, -1.854417259820051e+02, -5.174816284024797e-02, 1.151845305582728e-03, 6.160632660465888e-04, 9.256529280730785e-04, -3.569927429358279e-07, 1.626042480508865e-02, 7.742994388442373e-03, 0.000000000000000e+00
3, 1.763701243462400e-02, -2.405024403828200e-02, -5.378039240806000e+01, -1.500519816554307e-02, 7.518648771536152e-04, 1.722382413688839e-04, 9.916979967884161e-04, -1.951357371653092e-07, -1.699607831479305e-03, 7.193198365606115e-04, 0.000000000000000e+00
4, 1.098913000000000e-02, -2.230547039418400e-02, 7.923036874574584e+01, 2.214338551332063e-02, 1.212804784148452e-03, -2.487480824495314e-04, 7.173324704339813e-04, -2.599350461051484e-07, -3.264199564262354e-03, -2.842163132511997e-03, 0.000000000000000e+00
5, 1.886974063314000e-02, -2.647650863497300e-02, -8.489036030783261e+01, -1.690335610231906e-02, 1.095880238487359e-03, 2.757628180081063e-04, 1.124870330281294e-03, -1.992284393521763e-07, -1.058103054931538e-03, 3.498658397749673e-04, 0.000000000000000e+00
6, 1.868221301249400e-02, -2.144912240756500e-02, -8.352279991673413e+01, -1.653302561865461e-02, -8.491542148190852e-04, 2.661143395472751e-04, 1.272125813055475e-03, -3.036234063478453e-07, -3.345012640655729e-03, -1.465364526342383e-03, 0.000000000000000e+00
7, 1.369294391103700e-02, -1.966460727095600e-02, -1.897765962017500e+02, -5.320394881576421e-02, -5.013192297424221e-04, 6.404937678802548e-04, 3.345899761522408e-04, -3.010404091004056e-07, 2.953255603576818e-02, 2.307816970814171e-03, 0.000000000000000e+00
8, 1.689791717027400e-02, -1.830950825582100e-02, -8.594312898262140e+01, -2.197683562486079e-02, -8.315695089516189e-04, 2.529708581274509e-04, 1.826082531684204e-03, -4.768056087380115e-07, -1.572302437540931e-02, 2.831850909074829e-05, 0.000000000000000e+00
9, 2.050436739632100e-02, -2.402695428522300e-02, -8.034273119944685e+01, -1.517744370286240e-02, -6.967083510703467e-05, 2.631251832825139e-04, 1.025741702478654e-03, -2.058451049032381e-07, 1.500418764973060e-04, 9.555754741477287e-05, 0.000000000000000e+00
10, 1.098913000000000e-02, -1.869087799176300e-02, 6.988734548370019e+01, 2.315720116858305e-02, -5.126570734343180e-04, -2.145278416651073e-04, 6.633290567634376e-04, -3.111267926889190e-07, -5.667998471721436e-03, -1.892183843823361e-03, 0.000000000000000e+00
11, 2.192326979388600e-02, -2.656811941042200e-02, -8.716190515578440e+01, -1.747645577665724e-02, 1.274568344987253e-05, 2.871035447908900e-04, 1.099137624023702e-03, -1.720661228289816e-07, 1.496392688366292e-04, 1.672636502118652e-05, 0.000000000000000e+00
12, 2.091608836989700e-02, -1.851193290418400e-02, -9.691021068366886e+01, -1.581529076358212e-02, 1.467646820314334e-03, 3.184176123168434e-04, 1.347144109570221e-03, -3.730213267211778e-07, 4.331130287359490e-04, -1.606808474858631e-04, 0.000000000000000e+00
13, 2.225687517240600e-02, -2.149119204751300e-02, -8.345181672037704e+01, -1.580223253409520e-02, 5.578409400095358e-04, 2.742621115052217e-04, 1.177458759889458e-03, -2.596119179513797e-07, 2.326877663753899e-04, -2.285983152270313e-05, 0.000000000000000e+00
14, 1.387177917075300e-02, -1.645177816825000e-02, -1.801938488816608e+02, -5.857803624478991e-02, -5.817011528294767e-04, 6.014508488872926e-04, 8.254802829451343e-04, -4.283129316442633e-07, 3.155151331778138e-02, -1.748435206168120e-03, 0.000000000000000e+00
15, 2.007222870796900e-02, -1.491964753317000e-02, -1.080192893798580e+02, -1.565261080276941e-02, 6.319423375358943e-04, 3.550651743453782e-04, 1.503967827857721e-03, -4.988847728900161e-07, 8.857287196287119e-05, -1.600241436973176e-04, 0.000000000000000e+00
16, 2.360130500656500e-02, -2.414433735710800e-02, -7.597656027854239e+01, -1.553998210617633e-02, 1.112980386751262e-04, 2.503737769723474e-04, 1.051754209147356e-03, -1.820473403492798e-07, 4.039919811923117e-05, -3.321813753230008e-05, 0.000000000000000e+00
17, 1.657931857364200e-02, -1.376903800913200e-02, -7.634692811500385e+01, -2.182454065672767e-02, 3.075101908268609e-03, 2.185973587179040e-04, 1.864387124095664e-03, -5.525562745258142e-07, -1.766927251086913e-02, -1.399577209881480e-03, 0.000000000000000e+00
18, 1.098913000000000e-02, -1.479874533181400e-02, 7.131237203507362e+01, 2.360638077563410e-02, 2.698365708086470e-03, -2.181972445670093e-04, 7.445606004091975e-04, -3.801713396909289e-07, -2.638261772066829e-03, 9.089404677981941e-04, 0.000000000000000e+00
19, 2.484969216429800e-02, -2.665249907905900e-02, -8.364701024828221e+01, -1.739880163158299e-02, 2.161017605589736e-04, 2.759307221477401e-04, 1.077709786638215e-03, -1.442550141549217e-07, 4.847396013127900e-06, -8.563320706074360e-06, 0.000000000000000e+00
