"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 1.098913000000000e-02, -2.568134635231300e-02, 1.902975269165051e+00, 1.170620375558859e+02, 2.799343788664685e-04, 4.185953267839561e+05, 5.021394978214984e+00, 5.070005031548752e+03
1, 1.547435314528300e-02, -2.609169212751100e-02, 1.902983642138021e+00, 1.170602477730888e+02, -3.196056863515725e-06, 4.185976028359474e+05, 4.885847280456852e+00, 4.943870835037216e+03
2, 1.488133739335600e-02, -2.249447198790300e-02, 1.902984874999882e+00, 1.170598239386023e+02, -6.475265062120904e-04, 4.185978447909615e+05, 4.909472508540389e+00, 4.965898005191626e+03
3, 1.763701243462400e-02, -2.405024403828200e-02, 1.902981957871105e+00, 1.170606933074750e+02, -1.847813998505521e-04, 4.185971359925116e+05, 4.818777283619005e+00, 4.881388426127231e+03
4, 1.098913000000000e-02, -2.230547039418400e-02, 1.902973397008347e+00, 1.170629388666158e+02, -3.308313827644307e-05, 4.185948772807262e+05, 5.048779434616944e+00, 5.095493370048279e+03
5, 1.886974063314000e-02, -2.647650863497300e-02, 1.902981420355004e+00, 1.170605024093407e+02, -1.566819322934011e-04, 4.185970189569190e+05, 4.778262788474257e+00, 4.843587991303614e+03
6, 1.868221301249400e-02, -2.144912240756500e-02, 1.902981024428615e+00, 1.170597553420505e+02, -5.476423643097643e-05, 4.185968610789885e+05, 4.778603690439729e+00, 4.843891703038106e+03
7, 1.369294391103700e-02, -1.966460727095600e-02, 1.902987157176898e+00, 1.170587371546623e+02, -6.732832249838580e-04, 4.185983384187519e+05, 4.959874525774486e+00, 5.012844877089073e+03
8, 1.689791717027400e-02, -1.830950825582100e-02, 1.902980540422621e+00, 1.170594984278396e+02, -1.433628688817897e-04, 4.185967190249808e+05, 4.837981196826802e+00, 4.899288354320983e+03
9, 2.050436739632100e-02, -2.402695428522300e-02, 1.902981336003103e+00, 1.170605113975796e+02, -4.518056296274220e-05, 4.185969442111721e+05, 4.721665596233691e+00, 4.790750250928034e+03
