"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
0, 1.949666940000000e-01, -4.736033242125700e-02, 1.512460180113814e+00, 1.056004514234357e+02, -3.526085195084565e+02, 3.474302644518934e+05, 1.893175905348197e+01, 4.361145831803320e+04, 0.000000000000000e+00, -1.500000000000000e+02
1, 1.970376785968140e-01, -4.593634173322600e-02, 1.510351515120601e+00, 1.055895056238679e+02, -3.377382693769276e+02, 3.435477314193294e+05, 1.759458052563389e+01, 4.029911018775919e+04, 0.000000000000000e+00, -1.500000000000000e+02
2, 1.949666940000000e-01, -4.491679160655900e-02, 1.502698221736775e+00, 1.080617298261655e+02, -3.499356968528343e+02, 3.445716045222408e+05, 1.899071643493884e+01, 4.371366148288202e+04, 0.000000000000000e+00, -1.500000000000000e+02
3, 1.990742248025900e-01, -4.448964875226500e-02, 1.506569229691867e+00, 1.069328233720674e+02, -3.212803939524560e+02, 3.391187797363054e+05, 1.650890765770752e+01, 3.757959788637962e+04, 0.000000000000000e+00, -1.500000000000000e+02
4, 1.970226984305510e-01, -4.352824887270800e-02, 1.499448255510190e+00, 1.088915117301083e+02, -3.348769110011125e+02, 3.404142029065823e+05, 1.764664510679219e+01, 4.047026894144128e+04, 0.000000000000000e+00, -1.500000000000000e+02
5, 1.949666940000000e-01, -4.247328306088000e-02, 1.491565839348277e+00, 1.109759576225387e+02, -3.472818222504102e+02, 3.414195266050362e+05, 1.903930287875501e+01, 4.382723525437782e+04, 0.000000000000000e+00, -1.500000000000000e+02
6, 2.011046672773610e-01, -4.301193635385600e-02, 1.500569054824092e+00, 1.105736689312710e+02, -3.065900147556077e+02, 3.347927281824895e+05, 1.549968873918646e+01, 3.519038703425202e+04, 0.000000000000000e+00, -1.500000000000000e+02
7, 1.989845022927530e-01, -4.209826638737500e-02, 1.494977805718166e+00, 1.108295450515643e+02, -3.205657293319151e+02, 3.363140552959074e+05, 1.648736924791780e+01, 3.770498464808417e+04, 0.000000000000000e+00, -1.500000000000000e+02
8, 1.969121382957350e-01, -4.117409640268500e-02, 1.488242420818419e+00, 1.119633756144272e+02, -3.333782747988104e+02, 3.375067833547800e+05, 1.770173885463237e+01, 4.066517628393781e+04, 0.000000000000000e+00, -1.500000000000000e+02
9, 1.949666940000000e-01, -4.003017196301800e-02, 1.480174077693159e+00, 1.138943718765281e+02, -3.445851634214617e+02, 3.382014383020066e+05, 1.904533065514825e+01, 4.385897049681265e+04, 0.000000000000000e+00, -1.500000000000000e+02
10, 2.032772899017770e-01, -4.157594244216400e-02, 1.493905202420646e+00, 1.152195482568872e+02, -2.931430796659205e+02, 3.307426145727535e+05, 1.468353151480502e+01, 3.330830746760523e+04, 0.000000000000000e+00, -1.500000000000000e+02
