"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0,-2.500000000000000e-01,0.000000000000000e+00,1.501407381337420e+00,3.737049561564780e-01,2.129891356147677e+02,3.283866189375255e+05,1.253117158418638e+05,2.899323810659156e+02,4.150008536398806e-01,6.901763252606703e-01,
1,-2.498717000000000e-01,7.089119000000000e-04,1.313850835398020e+00,9.646138540769060e+01,2.655527902153542e+02,2.922665240191047e+05,1.047555980749287e+05,2.769713012222745e+02,6.436334114195086e-01,9.870953524484821e-02,
2,-2.494863000000000e-01,1.407945000000000e-03,1.141565359108990e+00,1.839274602051461e+02,2.490613248778992e+02,2.583965582134927e+05,8.656399065178756e+04,2.634147441038702e+02,8.324106036976301e-01,-4.247225529435398e-01,
3,-2.488447000000000e-01,2.096730000000000e-03,1.021672489290604e+00,2.328550739956665e+02,2.072831726304493e+02,2.341116536067522e+05,7.461942582952423e+04,2.537136282068786e+02,9.542453554020447e-01,-7.684067784213617e-01,
4,-2.479475000000000e-01,2.774897000000000e-03,9.488604328246356e-01,2.591625790374006e+02,1.702527680330639e+02,2.192823323339103e+05,6.744625427988535e+04,2.469216046775640e+02,1.035937029731475e+00,-9.748024022838681e-01,
5,-2.467954000000000e-01,3.442047000000000e-03,9.068311938629234e-01,2.740592162744384e+02,1.417370550708913e+02,2.107313020864723e+05,6.329680576669316e+04,2.424705153259004e+02,1.088417265655415e+00,-1.094195617494059e+00,
6,-2.453898000000000e-01,4.097669000000000e-03,8.831592915240324e-01,2.831271213242691e+02,1.200498753045981e+02,2.059227484516948e+05,6.095213863584644e+04,2.397471748268255e+02,1.120225438259866e+00,-1.161659365136534e+00,
7,-2.437320000000000e-01,4.741205000000000e-03,8.704711477594042e-01,2.890848084907108e+02,1.032854836509987e+02,2.033520883893591e+05,5.968867195533674e+04,2.381996547036479e+02,1.138218589296303e+00,-1.198013436964974e+00,
8,-2.418237000000000e-01,5.372028000000000e-03,8.644268492791208e-01,2.933048330296721e+02,9.005128494484586e+01,2.021389192503978e+05,5.907536522789994e+04,2.374005713326990e+02,1.147489533768011e+00,-1.215660278916601e+00,
9,-2.396670000000000e-01,5.989479000000000e-03,8.621978097657350e-01,2.965075441055581e+02,7.937064171993913e+01,2.017111826257429e+05,5.882952946046281e+04,2.370238519360941e+02,1.151855875335426e+00,-1.222733778586417e+00,
10,-2.372639000000000e-01,6.592837000000000e-03,8.622740357980235e-01,2.991153558996793e+02,7.058509267005262e+01,2.017653297561533e+05,5.879842100755596e+04,2.368775740441086e+02,1.153550609842829e+00,-1.223628870597068e+00,
11,-2.346171000000000e-01,7.181354000000000e-03,8.653662804606800e-01,3.014049487684025e+02,6.324198702664495e+01,2.024416103655242e+05,5.905656378100962e+04,2.370673785694939e+02,1.151351598965678e+00,-1.216201258082315e+00,
12,-2.317292000000000e-01,7.754243000000000e-03,8.757629729909857e-01,3.036289918507990e+02,5.702324791510351e+01,2.045973079441403e+05,6.004256538710988e+04,2.381640749975599e+02,1.138631852172926e+00,-1.187830764610604e+00,
13,-2.286031000000000e-01,8.310701000000000e-03,9.003404047179926e-01,3.059719734519749e+02,5.168917611256613e+01,2.096118167984360e+05,6.245490150199954e+04,2.409702229560957e+02,1.105964885682157e+00,-1.118419958811072e+00,
14,-2.252422000000000e-01,8.849904000000000e-03,9.416062510092632e-01,3.082375187104242e+02,4.700477543946177e+01,2.179901982133197e+05,6.654629775495504e+04,2.455037657580462e+02,1.052729433222914e+00,-1.000697097137705e+00,
15,-2.216498000000000e-01,9.371024000000000e-03,9.876056264437149e-01,3.104333993341211e+02,4.284759761195295e+01,2.273743774961420e+05,7.106229604401690e+04,2.499535287279064e+02,9.997489830309551e-01,-8.707570451282344e-01,
16,-2.178297000000000e-01,9.873237999999999e-03,1.020067651354094e+00,3.120111597712986e+02,3.905966386842970e+01,2.340231455257910e+05,7.422297122590094e+04,2.527626806096290e+02,9.658265400835557e-01,-7.798140749960704e-01,
17,-2.137857000000000e-01,1.035572000000000e-02,1.034607430153433e+00,3.127146409555281e+02,3.554859941340794e+01,2.369913860606955e+05,7.564839316015312e+04,2.539964851609719e+02,9.507901386964116e-01,-7.388000204246178e-01,
18,-2.095220000000000e-01,1.081769000000000e-02,1.038909619860139e+00,3.128040998856058e+02,3.229781926650696e+01,2.378407130511100e+05,7.609910390183635e+04,2.544517062005471e+02,9.452192028971669e-01,-7.258315971731306e-01,
19,-2.050431000000000e-01,1.125836000000000e-02,1.041993664241845e+00,3.127367201099220e+02,2.931248417816908e+01,2.384351505628072e+05,7.643661727903843e+04,2.548237913083646e+02,9.406562026054862e-01,-7.161202326020336e-01,
20,-2.003534000000000e-01,1.167700000000000e-02,1.048205314269405e+00,3.126208596772337e+02,2.656693163373897e+01,2.396649748826541e+05,7.708386732465746e+04,2.554587191035846e+02,9.328494774107993e-01,-6.974967302870358e-01,
