"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0,-1.495276000000000e-01,1.435740000000000e-02,0.000000000000000e+00,0.000000000000000e+00,-1.740615372448630e+06,-6.091103104577188e+05,3.285366189221058e+05,1.308452882301129e+06,
1,-1.444322000000000e-01,1.449068000000000e-02,-1.111028392858026e-05,6.473041379128475e-06,-1.412826626027330e+06,-1.071664807565437e+04,4.065663924842845e+04,1.404465819994048e+06,
2,-1.392533000000000e-01,1.460910000000000e-02,-2.095411797213497e-05,1.336297921081712e-05,-1.294914722858564e+06,-5.069109545013933e+04,-9.565853430764189e+03,1.244370707309046e+06,
3,-1.339933000000000e-01,1.471270000000000e-02,-3.053148884165116e-05,2.361736057957161e-05,-1.229706278698159e+06,-3.899467616328542e+04,-4.505717752453282e+03,1.190745701810855e+06,
4,-1.286547000000000e-01,1.480152000000000e-02,-3.981939396046156e-05,3.724855568003465e-05,-1.167835093308990e+06,-4.068591640922653e+04,-2.167328292995509e+03,1.127157511722977e+06,
5,-1.232297000000000e-01,1.487356000000000e-02,-4.876321134900307e-05,5.431727801630852e-05,-1.104206854335191e+06,-3.836314847204763e+04,5.775271590140983e+02,1.065844331728868e+06,
6,-1.177160000000000e-01,1.492754000000000e-02,-5.735147649723652e-05,7.478454932395658e-05,-1.044287555562604e+06,-3.668227230342677e+04,2.307877425467457e+03,1.007615855395622e+06,
7,-1.121342000000000e-01,1.496711000000000e-02,-6.556426730083955e-05,9.852863638934525e-05,-9.875969890931615e+05,-3.463834467380767e+04,3.731003375842170e+03,9.529878590613496e+05,
8,-1.064868000000000e-01,1.499240000000000e-02,-7.339847879485846e-05,1.254744012422929e-04,-9.341735777553852e+05,-3.224136548355340e+04,5.026543940990487e+03,9.019882372345681e+05,
9,-1.007766000000000e-01,1.500356000000000e-02,-8.085662337214614e-05,1.555392033906610e-04,-8.844744026681143e+05,-3.000435983844272e+04,6.297752185563615e+03,8.545628711942169e+05,
10,-9.499069000000000e-02,1.499693000000000e-02,-8.794354030500325e-05,1.887348861668392e-04,-8.388164326808511e+05,-2.837006539252619e+04,7.254011435218239e+03,8.105762129364836e+05,
11,-8.914457000000001e-02,1.497536000000000e-02,-9.466365381502916e-05,2.249297527833509e-04,-7.962597236829210e+05,-2.699268567016702e+04,7.934119706629346e+03,7.694306835544008e+05,
12,-8.324681000000000e-02,1.494045000000000e-02,-1.010189888078075e-04,2.640186217908573e-04,-7.559935221175165e+05,-2.542371796142785e+04,8.542864680520546e+03,7.307695675741187e+05,
13,-7.730015000000000e-02,1.489242000000000e-02,-1.070117855242479e-04,3.059235780243831e-04,-7.180281025217172e+05,-2.376031105915146e+04,9.083604826667037e+03,6.945054454566191e+05,
14,-7.130565000000000e-02,1.483100000000000e-02,-1.126444251868132e-04,3.505770812633373e-04,-6.825299803474089e+05,-2.232439364765140e+04,9.639199661556770e+03,6.604869971392567e+05,
15,-6.525549999999999e-02,1.475287000000000e-02,-1.179060203964864e-04,3.979883659364817e-04,-6.496228014106076e+05,-2.119478053636320e+04,1.001070277690845e+04,6.287468760163109e+05,
16,-5.916815000000000e-02,1.466269000000000e-02,-1.228212183565006e-04,4.479675938762680e-04,-6.186300376892362e+05,-2.010122878434354e+04,1.023366964645756e+04,5.988786580492252e+05,
17,-5.304641000000000e-02,1.456073000000000e-02,-1.273930797918775e-04,5.004370222637163e-04,-5.892180302353585e+05,-1.895645057696042e+04,1.039247392661128e+04,5.706402398111726e+05,
18,-4.689310000000000e-02,1.444728000000000e-02,-1.316262947759544e-04,5.553169633134079e-04,-5.613806773224475e+05,-1.789573770487453e+04,1.053230923003147e+04,5.438930021079376e+05,
19,-4.070687000000000e-02,1.432072000000000e-02,-1.355116339410526e-04,6.125681087653292e-04,-5.351591783784741e+05,-1.692800280998742e+04,1.069149801396637e+04,5.186721352166765e+05,
