"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.606191301590839e+00, 2.563309492678776e+02, 3.723351110756586e+01, 3.806301749164504e+05, 1.438979106786401e+05, 3.120955410788178e+02, 4.553497642152129e-01, 9.378615196556360e-01, 1.595893023539579e+02, 2.318124314998359e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.436486839927159e+00, 2.550147604038218e+02, 3.700651893476623e+01, 3.416809783920057e+05, 1.274273347893707e+05, 3.090233479551547e+02, 5.090312803579372e-01, 5.750223553401963e-01, 1.775266945130893e+02, 2.576182245891145e+01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.421274954478432e+00, 2.747449043765389e+02, 3.980532805283433e+01, 3.392755043307847e+05, 1.248651183964790e+05, 3.060506988902767e+02, 5.569508415046966e-01, 5.185779139896161e-01, 1.933087637341520e+02, 2.800677513341658e+01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.399150948805492e+00, 2.839106687462703e+02, 4.104065207014104e+01, 3.347703267704791e+05, 1.221453394210113e+05, 3.041183843970979e+02, 5.864591000388668e-01, 4.586624418642996e-01, 2.029163965393838e+02, 2.933254064200792e+01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.382459930439714e+00, 2.890412252239503e+02, 4.166168403541747e+01, 3.312874606039185e+05, 1.201774800697822e+05, 3.028313873361561e+02, 6.055124734192753e-01, 4.153114110751773e-01, 2.090774704276716e+02, 3.013590710160133e+01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.370532057791130e+00, 2.937756808475703e+02, 4.219540244162988e+01, 3.288741231891781e+05, 1.186955752474242e+05, 3.017002544044217e+02, 6.219050994452160e-01, 3.826657336590217e-01, 2.143515572492664e+02, 3.078760704775902e+01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.359547631478851e+00, 2.973010637289004e+02, 4.252504285838993e+01, 3.266079496620593e+05, 1.173746043951533e+05, 3.007530630871661e+02, 6.353983212483838e-01, 3.535653571242057e-01, 2.186764603499111e+02, 3.127881794927128e+01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.349842797058784e+00, 3.004112997029130e+02, 4.276647404949090e+01, 3.246112479087176e+05, 1.162020334641558e+05, 2.998892374425671e+02, 6.475309863675333e-01, 3.277341621760724e-01, 2.225528041913391e+02, 3.168255899329622e+01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.340895979639171e+00, 3.031358833382730e+02, 4.292342270449912e+01, 3.227659431802537e+05, 1.151256083821585e+05, 2.990936515099993e+02, 6.585678773607505e-01, 3.040210157854530e-01, 2.260696489073266e+02, 3.201100111885609e+01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.332559997831082e+00, 3.055809444635559e+02, 4.301332691482740e+01, 3.210443349599306e+05, 1.141249651680810e+05, 2.983487559508658e+02, 6.687885665227312e-01, 2.819773088735202e-01, 2.293187135745703e+02, 3.227871689442674e+01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.324704218685167e+00, 3.078012254178922e+02, 4.304356094229560e+01, 3.194195716820588e+05, 1.131842950590748e+05, 2.976443179240733e+02, 6.783585179427719e-01, 2.612547817109636e-01, 2.323546804458733e+02, 3.249295981333736e+01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.317230296880893e+00, 3.098375952688324e+02, 4.302200884190706e+01, 3.178715008058724e+05, 1.122916343205088e+05, 2.969723645321253e+02, 6.874044634052273e-01, 2.415898787606364e-01, 2.352190015690541e+02, 3.266096212923441e+01
