"PointID","x","y","Pressure","Velocity_x","Velocity_y","ProgressVariable","EnthalpyTot","Y-CO","Y-NOx_tot","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Temperature","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_ProgressVariable","Residual_EnthalpyTot","Residual_Y-CO","Residual_Y-NOx_tot"
0, 0.000000000000000e+00, 8.000000000000000e-04, 6.097375270104675e-01, 1.529698606945969e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.591099468852912e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.391385768335703e-17, -3.441897205344168e-17, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
1, -7.523163845262709e-38, 7.599999999999997e-04, 6.050268045940400e-01, 1.549652147024235e-01, -8.747684895176201e-03, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.571081100603603e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.591426793886660e-17, -6.471204662080766e-17, 2.672441888146521e-18, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
2, -1.504632769052542e-37, 7.199999999999993e-04, 6.095540175452762e-01, 1.550968070649437e-01, -9.580093599074038e-04, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.590319639407088e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.710858439449517e-17, -6.596300840478386e-17, 1.093003374203069e-18, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
3, -2.256949153578813e-37, 6.799999999999990e-04, 6.302910725107872e-01, 1.507319659322396e-01, -1.070698688002104e-03, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.678442429503599e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.965900059867787e-17, -7.227890957598555e-17, -1.543188150778928e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
4, -3.009265538105084e-37, 6.399999999999985e-04, 5.997223710522567e-01, 1.555170430352367e-01, 1.485924006924375e-03, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.548539737600954e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.430998753676696e-17, -6.577517884873022e-17, -8.355582977969647e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
5, -3.761581922631354e-37, 5.999999999999981e-04, 6.197303671781811e-01, 1.539873706762704e-01, -3.327268029529718e-04, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.633564368426742e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.596085475096559e-17, -7.132409168619314e-17, 2.174002289766461e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
6, -4.513898307157626e-37, 5.599999999999978e-04, 6.003348816278951e-01, 1.560773544833040e-01, -3.412410010667748e-03, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.551142621230218e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.460306093651695e-17, -6.460320288708549e-17, 1.420871299239487e-18, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
7, -5.266214691683897e-37, 5.199999999999975e-04, 6.330634382731136e-01, 1.504573645791134e-01, -5.057300636734230e-04, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.690223688055046e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.019940761902611e-17, -7.427547211178234e-17, 2.046163594047922e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
8, -6.018531076210168e-37, 4.799999999999970e-04, 6.049735896158138e-01, 1.558556140265409e-01, 2.798060287270874e-03, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.570854961821408e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.429982314139991e-17, -6.687632168016081e-17, -9.840405264726834e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
9, -6.770847460736439e-37, 4.399999999999968e-04, 6.264311548767052e-01, 1.521800607624323e-01, -8.912888192892755e-04, 0.000000000000000e+00, -1.930645141092784e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.662039583871770e+01, 1.136906213479697e+00, 1.777598611048345e-05, 1.061315571813243e+03, 2.749512599047792e-02, 3.000001543666630e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.738979933298360e-17, -7.114610888815133e-17, 2.532827035637371e-19, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00
