"PointID","x","y","Adjoint_Pressure","Adjoint_Velocity_x","Adjoint_Velocity_y","Adjoint_Enthalpy","Adjoint_ProgressVariable","Adjoint_EnthalpyTot","Adjoint_Y-CO","Adjoint_Y-NOx_tot","Residual_Adjoint_Pressure","Residual_Adjoint_Velocity_x","Residual_Adjoint_Velocity_y","Residual_Adjoint_Heat","Residual_Adjoint_ProgressVariable","Residual_Adjoint_EnthalpyTot","Residual_Adjoint_Y-CO","Residual_Adjoint_Y-NOx_tot","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 0.000000000000000e+00, 8.000000000000000e-04, 9.831676971000409e-07, 4.531044518591829e-08, 2.527180783694503e-07, 1.000000000000000e-16, -5.491289581333344e-06, 8.375588228900023e-14, 2.103850070915767e-32, 2.527810537278927e-02, 5.366645937356313e-14, 1.323537660193289e-13, 9.477284760161934e-14, 0.000000000000000e+00, -3.193622413403933e-12, -9.904302320008011e-20, -9.147396019426764e-35, -1.791840482240348e-08, -3.897859100146321e-05, 1.293368571286638e-02, 0.000000000000000e+00
1, -7.523163845262709e-38, 7.599999999999997e-04, 1.995633482597242e-06, 5.313871905219241e-07, -2.711486378936791e-07, 1.000000000000000e-16, -1.117620851035984e-05, 2.321435765598323e-13, 4.031186202757393e-32, 4.842369648429515e-02, 1.154727999146381e-13, 3.893813470788937e-13, 1.754094728257170e-13, 0.000000000000000e+00, -5.801665436044531e-12, -3.377836157083883e-21, -1.752801920263489e-34, -4.069061758371628e-08, -2.065739714275555e-05, 1.145111704031239e-04, 0.000000000000000e+00
2, -1.504632769052542e-37, 7.199999999999993e-04, 1.941028184508521e-06, 2.331827562268580e-07, 1.860257341045265e-08, 1.000000000000000e-16, -1.133414126102114e-05, 1.986327520464470e-13, 3.577817734369167e-32, 4.297797469412155e-02, -2.626196688670327e-13, 3.333590253606022e-13, 3.617263170170348e-13, 0.000000000000000e+00, -5.242572875656121e-12, 1.555580372797497e-19, -1.555673438730813e-34, -3.958701828149502e-08, -5.433985318223735e-05, -4.407419264247801e-05, 0.000000000000000e+00
3, -2.256949153578813e-37, 6.799999999999990e-04, 1.671372231433390e-06, -1.088867013459158e-07, -1.876101168118950e-08, 1.000000000000000e-16, -1.068521241397708e-05, 1.745121052362524e-13, 5.700248389997188e-32, 6.841980993721523e-02, 6.168784048352338e-13, 5.007518233343508e-13, 1.356593381323257e-13, 0.000000000000000e+00, -4.332938367707117e-12, -2.204729461049295e-19, -2.478320830587914e-34, -5.104710486258934e-08, -5.171366362963788e-06, -5.473338179265090e-05, 0.000000000000000e+00
4, -3.009265538105084e-37, 6.399999999999985e-04, 2.052161203583823e-06, 2.688892081937048e-07, -1.502140445671644e-08, 1.000000000000000e-16, -1.159032603701106e-05, 2.456780938001236e-13, 2.911918897490612e-32, 3.489628148727286e-02, -4.415527281848952e-13, -2.800874730493700e-14, -2.523717126806479e-13, 0.000000000000000e+00, -4.615488907746775e-12, 5.891169896007198e-19, -1.266056530283105e-34, -3.196686125528370e-08, -1.821175945817347e-04, -7.416566136063389e-07, 0.000000000000000e+00
5, -3.761581922631354e-37, 5.999999999999981e-04, 1.797828567639168e-06, 2.522793657631891e-07, 2.328855355852954e-09, 1.000000000000000e-16, -1.093828750489660e-05, 1.893525977877479e-13, 4.976968433115897e-32, 5.958250096755565e-02, -1.478562946211038e-13, -3.849844842823870e-14, -1.236592018153394e-13, 0.000000000000000e+00, -5.880527262916912e-12, 4.774928201469885e-19, -2.163968390215314e-34, -6.568117705274545e-08, 1.064417763575424e-04, 9.583528339323441e-06, 0.000000000000000e+00
6, -4.513898307157626e-37, 5.599999999999978e-04, 2.056675860803754e-06, 3.386725091168169e-07, -3.185691618147444e-08, 1.000000000000000e-16, -1.145574258169779e-05, 2.426010020218407e-13, 2.876503060572373e-32, 3.440012316206062e-02, -1.442321138079281e-13, 1.919880648375817e-13, 4.603079654443887e-14, 0.000000000000000e+00, -7.652212641074156e-12, 5.055668233223057e-20, -1.250729954683431e-34, -4.422948906429580e-08, -1.669059464746753e-04, -3.841005554272146e-05, 0.000000000000000e+00
7, -5.266214691683897e-37, 5.199999999999975e-04, 1.637598657008944e-06, -2.364089907339821e-07, -2.470748411478492e-08, 1.000000000000000e-16, -1.077906771511084e-05, 1.622771302197885e-13, 5.963331539116257e-32, 7.118217727399162e-02, -1.278313096177088e-13, -4.634322929909738e-14, 5.895595291919557e-14, 0.000000000000000e+00, -4.768950935445993e-12, -3.673412369340273e-19, -2.592804616762447e-34, -6.510223488076505e-08, -5.986796743592182e-06, 5.155779756341016e-06, 0.000000000000000e+00
8, -6.018531076210168e-37, 4.799999999999970e-04, 1.999327280352100e-06, 2.331164398716783e-07, 1.029229361208871e-08, 1.000000000000000e-16, -1.156434094142861e-05, 2.225619743548120e-13, 2.866642793556410e-32, 3.414499907888249e-02, 2.113981631076973e-13, 4.044761745893336e-13, -1.175935134525600e-13, 0.000000000000000e+00, -7.225747396729927e-12, -7.229483354948137e-19, -1.246295872623177e-34, -3.054932840723668e-08, -1.997833103635347e-04, 1.184332749957183e-05, 0.000000000000000e+00
9, -6.770847460736439e-37, 4.399999999999968e-04, 1.728480499770255e-06, 9.035029052304002e-08, -6.428120269667953e-08, 1.000000000000000e-16, -1.080835374073156e-05, 1.858211800608401e-13, 5.299197646103502e-32, 6.303563733818754e-02, -3.112350564767828e-13, 2.122687214156797e-13, 2.212921892769893e-13, 0.000000000000000e+00, -6.874996025355322e-12, -3.543826000880049e-19, -2.303821217789672e-34, -6.064640875602656e-08, 6.448101566551363e-05, 6.246223283252247e-06, 0.000000000000000e+00
