"PointID","x","y","Temperature"
0, 1.788837142111124e-02, 1.207338062991709e-03, 3.504197023479001e+02
1, 1.788496201658037e-02, 1.256983673166757e-03, 3.504240425110804e+02
2, 1.787696945302761e-02, 1.306099916540403e-03, 3.504355863202256e+02
3, 1.786390900684999e-02, 1.354113301568987e-03, 3.504542915550004e+02
4, 1.784625956505336e-02, 1.400640304091272e-03, 3.504804718577123e+02
5, 1.782403954365910e-02, 1.445163739270439e-03, 3.505146483374604e+02
6, 1.779750946260417e-02, 1.487260544268477e-03, 3.505578355023699e+02
7, 1.776687271188969e-02, 1.526472268813579e-03, 3.506111537960110e+02
8, 1.773264754329716e-02, 1.562591500797206e-03, 3.506756706823125e+02
9, 1.769483214877266e-02, 1.594933028157277e-03, 3.507523603243578e+02
10, 1.765406247537063e-02, 1.623462090315494e-03, 3.508433002503310e+02
11, 1.761060401824044e-02, 1.647696689073564e-03, 3.509510972619331e+02
12, 1.756499647447787e-02, 1.667596697688523e-03, 3.510787656487425e+02
13, 1.751760785428288e-02, 1.682770376439361e-03, 3.512299603307472e+02
14, 1.746896496131752e-02, 1.693254384030838e-03, 3.514098371889183e+02
15, 1.741951315173414e-02, 1.698769316633058e-03, 3.516266059971505e+02
16, 1.736975509079058e-02, 1.699989016979906e-03, 3.518958149115199e+02
17, 1.731997177804789e-02, 1.700000000000000e-03, 3.522324898405245e+02
18, 1.727018844676583e-02, 1.700000000000000e-03, 3.526379869092987e+02
19, 1.722040511548377e-02, 1.700000000000000e-03, 3.531082237443321e+02
20, 1.717062178420171e-02, 1.700000000000000e-03, 3.536373886178702e+02
21, 1.712083845291965e-02, 1.700000000000000e-03, 3.542182794997192e+02
22, 1.707105512163759e-02, 1.700000000000000e-03, 3.548425193255187e+02
23, 1.702127179035554e-02, 1.700000000000000e-03, 3.555018200634362e+02
24, 1.697148845907348e-02, 1.700000000000000e-03, 3.561887878800275e+02
25, 1.692170512779142e-02, 1.700000000000000e-03, 3.568969879380478e+02
26, 1.687192179650936e-02, 1.700000000000000e-03, 3.576210781633936e+02
27, 1.682213846522730e-02, 1.700000000000000e-03, 3.583567743529353e+02
28, 1.677235513394524e-02, 1.700000000000000e-03, 3.591007224704012e+02
29, 1.672257180266318e-02, 1.700000000000000e-03, 3.598503373618517e+02
30, 1.667278847138112e-02, 1.700000000000000e-03, 3.606036460474672e+02
31, 1.662300514009906e-02, 1.700000000000000e-03, 3.613591514271054e+02
32, 1.657322180881701e-02, 1.700000000000000e-03, 3.621157204958429e+02
33, 1.652343847753494e-02, 1.700000000000000e-03, 3.628724958009415e+02
34, 1.647365514625289e-02, 1.700000000000000e-03, 3.636288268293635e+02
35, 1.642387181497083e-02, 1.700000000000000e-03, 3.643842176058072e+02
36, 1.637408848368877e-02, 1.700000000000000e-03, 3.651382870775423e+02
37, 1.632430515240671e-02, 1.700000000000000e-03, 3.658907393909117e+02
38, 1.627452182112465e-02, 1.700000000000000e-03, 3.666413417170163e+02
