"PointID","x","y","Adjoint_Temperature","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.788837142111124e-02, 1.207338062991709e-03, 1.927177020269988e-19, 6.793772938115001e-18, 9.858846267034375e-20, 6.794484030724238e-18
1, 1.788496201658037e-02, 1.256983673166757e-03, 1.956414311115360e-19, 6.429655423921901e-18, 7.221547108240639e-19, 6.470052231763017e-18
2, 1.787696945302761e-02, 1.306099916540403e-03, 2.027963255546743e-19, 5.758097253874367e-18, 1.220907073659787e-18, 5.886050711327481e-18
3, 1.786390900684999e-02, 1.354113301568987e-03, 2.147433760234735e-19, 4.602259862915186e-18, 1.434990112298602e-18, 4.820450024345482e-18
4, 1.784625956505336e-02, 1.400640304091272e-03, 2.314411107163557e-19, 2.959884263426217e-18, 1.220114023284397e-18, 3.200742140499341e-18
5, 1.782403954365910e-02, 1.445163739270439e-03, 2.531688333858809e-19, 8.404328881278501e-19, 3.475008944639433e-19, 9.028418467142551e-19
6, 1.779750946260417e-02, 1.487260544268477e-03, 2.805105696698424e-19, -2.130558304586537e-18, -1.695324979616135e-18, -2.717966043764648e-18
7, 1.776687271188969e-02, 1.526472268813579e-03, 3.146549250633959e-19, -5.695967961825381e-18, -5.181614956549040e-18, -7.697340210951036e-18
8, 1.773264754329716e-02, 1.562591500797206e-03, 3.555176283093099e-19, -9.637923687322103e-18, -1.055479760100443e-17, -1.429029110804766e-17
9, 1.769483214877266e-02, 1.594933028157277e-03, 4.047528411172618e-19, -1.416242579204586e-17, -1.891959983182128e-17, -2.362993968692529e-17
10, 1.765406247537063e-02, 1.623462090315494e-03, 4.628057924107217e-19, -1.906783452971308e-17, -3.148375487279921e-17, -3.680354923744811e-17
11, 1.761060401824044e-02, 1.647696689073564e-03, 5.313924777936788e-19, -2.397131320456945e-17, -5.015151774913817e-17, -5.558036243539790e-17
12, 1.756499647447787e-02, 1.667596697688523e-03, 6.122155905388451e-19, -2.807670144504198e-17, -7.763895041970893e-17, -8.255202371280167e-17
