"PointID","x","y","Temperature"
0, 1.788837142111124e-02, 1.207338062991709e-03, 3.501755843090304e+02
1, 1.788496201658037e-02, 1.256983673166757e-03, 3.501743376478495e+02
2, 1.787696945302761e-02, 1.306099916540403e-03, 3.501769907497221e+02
3, 1.786390900684999e-02, 1.354113301568987e-03, 3.501835698593873e+02
4, 1.784625956505336e-02, 1.400640304091272e-03, 3.501941847437344e+02
5, 1.782403954365910e-02, 1.445163739270439e-03, 3.502090924381423e+02
6, 1.779750946260417e-02, 1.487260544268477e-03, 3.502287550989227e+02
7, 1.776687271188969e-02, 1.526472268813579e-03, 3.502536980296675e+02
8, 1.773264754329716e-02, 1.562591500797206e-03, 3.502843907586155e+02
9, 1.769483214877266e-02, 1.594933028157277e-03, 3.503213444384738e+02
10, 1.765406247537063e-02, 1.623462090315494e-03, 3.503655181403130e+02
11, 1.761060401824044e-02, 1.647696689073564e-03, 3.504181979699119e+02
12, 1.756499647447787e-02, 1.667596697688523e-03, 3.504808328562078e+02
13, 1.751760785428288e-02, 1.682770376439361e-03, 3.505552405863332e+02
14, 1.746896496131752e-02, 1.693254384030838e-03, 3.506439459501034e+02
15, 1.741951315173414e-02, 1.698769316633058e-03, 3.507510215539080e+02
16, 1.736975509079058e-02, 1.699989016979906e-03, 3.508840694673058e+02
17, 1.731997177804789e-02, 1.700000000000000e-03, 3.510501736692463e+02
18, 1.727018844676583e-02, 1.700000000000000e-03, 3.512499016046455e+02
19, 1.722040511548377e-02, 1.700000000000000e-03, 3.514813118066216e+02
20, 1.717062178420171e-02, 1.700000000000000e-03, 3.517416345589523e+02
21, 1.712083845291965e-02, 1.700000000000000e-03, 3.520274154318849e+02
22, 1.707105512163759e-02, 1.700000000000000e-03, 3.523346120369285e+02
23, 1.702127179035554e-02, 1.700000000000000e-03, 3.526592123948097e+02
24, 1.697148845907348e-02, 1.700000000000000e-03, 3.529976327149377e+02
25, 1.692170512779142e-02, 1.700000000000000e-03, 3.533467502165266e+02
26, 1.687192179650936e-02, 1.700000000000000e-03, 3.537039717493364e+02
27, 1.682213846522730e-02, 1.700000000000000e-03, 3.540672193141650e+02
28, 1.677235513394524e-02, 1.700000000000000e-03, 3.544348690370268e+02
29, 1.672257180266318e-02, 1.700000000000000e-03, 3.548056731808603e+02
30, 1.667278847138112e-02, 1.700000000000000e-03, 3.551786838579562e+02
31, 1.662300514009906e-02, 1.700000000000000e-03, 3.555531863562858e+02
32, 1.657322180881701e-02, 1.700000000000000e-03, 3.559286445298957e+02
33, 1.652343847753494e-02, 1.700000000000000e-03, 3.563046581850422e+02
34, 1.647365514625289e-02, 1.700000000000000e-03, 3.566809301465213e+02
35, 1.642387181497083e-02, 1.700000000000000e-03, 3.570572377710400e+02
36, 1.637408848368877e-02, 1.700000000000000e-03, 3.574334145590303e+02
37, 1.632430515240671e-02, 1.700000000000000e-03, 3.578093364478594e+02
38, 1.627452182112465e-02, 1.700000000000000e-03, 3.581849109041279e+02
39, 1.622473848984260e-02, 1.700000000000000e-03, 3.585600694587077e+02
40, 1.617495515856053e-02, 1.700000000000000e-03, 3.589347590272641e+02
41, 1.612517182727848e-02, 1.700000000000000e-03, 3.593089385948084e+02
42, 1.607538849599642e-02, 1.700000000000000e-03, 3.596825765600678e+02
43, 1.602560516471436e-02, 1.700000000000000e-03, 3.600556479201556e+02
44, 1.597582183343230e-02, 1.700000000000000e-03, 3.604281331281330e+02
45, 1.592603850215024e-02, 1.700000000000000e-03, 3.608000176148519e+02
46, 1.587625517086818e-02, 1.700000000000000e-03, 3.611712878338640e+02
47, 1.582647183958612e-02, 1.700000000000000e-03, 3.615419318891688e+02
48, 1.577668850830406e-02, 1.700000000000000e-03, 3.619119393608581e+02
49, 1.572690517702201e-02, 1.700000000000000e-03, 3.622813011879511e+02
50, 1.567712184573995e-02, 1.700000000000000e-03, 3.626500090576403e+02
51, 1.562733851445789e-02, 1.700000000000000e-03, 3.630180550407649e+02
52, 1.557755518317583e-02, 1.700000000000000e-03, 3.633854314546733e+02
53, 1.552777185189377e-02, 1.700000000000000e-03, 3.637521307880755e+02
54, 1.547798852061171e-02, 1.700000000000000e-03, 3.641181455520925e+02
