"PointID","x","y","Adjoint_Temperature","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.788837142111124e-02, 1.207338062991709e-03, 2.407627747813413e-18, 2.525336686270489e-17, 3.632223718412570e-19, 2.525595940606508e-17
1, 1.788496201658037e-02, 1.256983673166757e-03, 2.443661694603795e-18, 2.253665387565217e-17, 2.495315610307280e-18, 2.267412998163274e-17
2, 1.787696945302761e-02, 1.306099916540403e-03, 2.532378451754486e-18, 1.653553050464570e-17, 3.418604200608844e-18, 1.688444439908029e-17
3, 1.786390900684999e-02, 1.354113301568987e-03, 2.680438931540599e-18, 6.591247971108247e-18, 1.829585180797584e-18, 6.834045355929757e-18
4, 1.784625956505336e-02, 1.400640304091272e-03, 2.887077978836076e-18, -7.313019191490635e-18, -3.626074335360688e-18, -8.153400357034387e-18
5, 1.782403954365910e-02, 1.445163739270439e-03, 3.156135188916160e-18, -2.543611643215178e-17, -1.501086836180958e-17, -2.952888386172089e-17
6, 1.779750946260417e-02, 1.487260544268477e-03, 3.494872906442665e-18, -4.971053397914112e-17, -3.599934304378598e-17, -6.137062871160164e-17
7, 1.776687271188969e-02, 1.526472268813579e-03, 3.916582456751366e-18, -7.884904273471520e-17, -6.945284664118148e-17, -1.050688762766653e-16
8, 1.773264754329716e-02, 1.562591500797206e-03, 4.422348891461598e-18, -1.112789137511839e-16, -1.193800303197915e-16, -1.631934935717534e-16
9, 1.769483214877266e-02, 1.594933028157277e-03, 5.031419443620028e-18, -1.472949620896664e-16, -1.935447389064700e-16, -2.432099445605190e-16
10, 1.765406247537063e-02, 1.623462090315494e-03, 5.748645383558584e-18, -1.854111512835469e-16, -3.017207296226670e-16, -3.541234196732882e-16
11, 1.761060401824044e-02, 1.647696689073564e-03, 6.595563077714630e-18, -2.227087400163202e-16, -4.592994755513446e-16, -5.104272917418307e-16
12, 1.756499647447787e-02, 1.667596697688523e-03, 7.593502200797335e-18, -2.524822981806311e-16, -6.874816379361056e-16, -7.323508713456163e-16
13, 1.751760785428288e-02, 1.682770376439361e-03, 8.776933472202440e-18, -2.625711345879404e-16, -1.019750353054778e-15, -1.052968740782295e-15
14, 1.746896496131752e-02, 1.693254384030838e-03, 1.017968488329965e-17, -2.357125108650581e-16, -1.522253532567506e-15, -1.540344923398172e-15
15, 1.741951315173414e-02, 1.698769316633058e-03, 1.187320495477764e-17, -1.702995795675701e-16, -2.389367389999933e-15, -2.395415019468796e-15
16, 1.736975509079058e-02, 1.699989016979906e-03, 1.402559359220247e-17, -9.941633542340493e-17, -3.833788506477604e-15, -3.834724572833820e-15
17, 1.731997177804789e-02, 1.700000000000000e-03, 1.670369132037487e-17, -6.700195401461249e-17, -5.785080172961034e-15, -5.785087528631672e-15
18, 1.727018844676583e-02, 1.700000000000000e-03, 1.990174379687806e-17, -7.117616031756246e-17, -8.017858815618489e-15, -8.017858815618489e-15
19, 1.722040511548377e-02, 1.700000000000000e-03, 2.358018558805736e-17, -8.583725055447417e-17, -1.039520059550271e-14, -1.039520059550271e-14
20, 1.717062178420171e-02, 1.700000000000000e-03, 2.770770625057893e-17, -1.008762071744956e-16, -1.280150984942629e-14, -1.280150984942629e-14
