"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.105588565354006e+05, 5.207490203602601e-01, 2.894081444796776e-01
0, 9.997479806459393e-01, -2.437591598689701e-05, 1.117399825753163e+05, 5.873593500583709e-01, 3.214986691397087e-01
1, 9.989919939811956e-01, -9.933469521548859e-05, 1.103252165579480e+05, 5.075727500869484e-01, 3.480997080513853e-01
2, 9.977424189850771e-01, -2.277197003881564e-04, 1.091332357451772e+05, 4.403502587953718e-01, 3.702623136783910e-01
3, 9.959893565603571e-01, -4.117917882282988e-04, 1.080220848491249e+05, 3.776862203870121e-01, 3.902270527995109e-01
4, 9.937322106981301e-01, -6.424383959868791e-04, 1.068663972437593e+05, 3.125105068561151e-01, 4.092673711934612e-01
5, 9.909791484009243e-01, -8.883585521754964e-04, 1.059366397377018e+05, 2.600762602771466e-01, 4.253799920460192e-01
6, 9.877364835274297e-01, -1.090133300892837e-03, 1.055953306581447e+05, 2.408279247482117e-01, 4.331551812481447e-01
7, 9.839825703785285e-01, -1.224961630297301e-03, 1.057695328188029e+05, 2.506521627748259e-01, 4.320955448439104e-01
8, 9.797508194239782e-01, -1.336821064639826e-03, 1.059163837718632e+05, 2.589339126213781e-01, 4.288920790935898e-01
9, 9.750260198978421e-01, -1.499243164150074e-03, 1.057693061193743e+05, 2.506393779210775e-01, 4.298009423199713e-01
10, 9.698382315942419e-01, -1.703799920335533e-03, 1.055589254284900e+05, 2.387748294238505e-01, 4.333515838567920e-01
11, 9.641649826935917e-01, -1.915428606211655e-03, 1.054232264785007e+05, 2.311220036516556e-01, 4.360835380559023e-01
12, 9.580268316642977e-01, -2.136186046344956e-03, 1.053101277927803e+05, 2.247437336875173e-01, 4.378739331831012e-01
13, 9.514247759513221e-01, -2.377390435731833e-03, 1.051888514438178e+05, 2.179042793736008e-01, 4.397047876537855e-01
14, 9.443690335736494e-01, -2.638145146348162e-03, 1.050664703712153e+05, 2.110025234903432e-01, 4.416635798319085e-01
15, 9.368697342517153e-01, -2.915321996398377e-03, 1.049535400564555e+05, 2.046337489101142e-01, 4.435018739531816e-01
16, 9.289370759794200e-01, -3.206847055747000e-03, 1.048533572770171e+05, 1.989838794271391e-01, 4.451308160807025e-01
17, 9.205611881110689e-01, -3.513906127735078e-03, 1.047604096078760e+05, 1.937420384407179e-01, 4.466109123988341e-01
18, 9.117726270635308e-01, -3.836483851829857e-03, 1.046715783050990e+05, 1.887323424679567e-01, 4.480181868076876e-01
19, 9.025615262026263e-01, -4.174951631841077e-03, 1.045873458329698e+05, 1.839820003789667e-01, 4.493563606058742e-01
20, 8.929482108317043e-01, -4.528135156939408e-03, 1.045084606001202e+05, 1.795332191389891e-01, 4.506105602831720e-01
21, 8.829429659574788e-01, -4.895570298533471e-03, 1.044346761322883e+05, 1.753720986803867e-01, 4.517831636654260e-01
22, 8.725459177724805e-01, -5.277399707647422e-03, 1.043650061808511e+05, 1.714430189052844e-01, 4.528811166202327e-01
23, 8.617775154372930e-01, -5.672904495795080e-03, 1.042993593842375e+05, 1.677408274216620e-01, 4.539171020580967e-01
24, 8.506580671017357e-01, -6.081292680010515e-03, 1.042374256562472e+05, 1.642480367274882e-01, 4.548920319924491e-01
25, 8.391675846595384e-01, -6.503295017739687e-03, 1.041789210821734e+05, 1.609486352781853e-01, 4.558115504107884e-01
26, 8.273465110228575e-01, -6.937439689071498e-03, 1.041236894449856e+05, 1.578338131182206e-01, 4.566788062741645e-01
27, 8.152050864290890e-01, -7.383348973747074e-03, 1.040713980994450e+05, 1.548848105146786e-01, 4.574968487132387e-01
28, 8.027334146826269e-01, -7.841383993082061e-03, 1.040218719240339e+05, 1.520917513818444e-01, 4.582725190081222e-01
29, 7.899618611087095e-01, -8.310431120817269e-03, 1.039750451353158e+05, 1.494509258223259e-01, 4.590037222343168e-01
30, 7.769005874833718e-01, -8.790116742022340e-03, 1.039305080749260e+05, 1.469392309006260e-01, 4.596963216789787e-01
31, 7.635698994171211e-01, -9.279695588992921e-03, 1.038883601095306e+05, 1.445622704609988e-01, 4.603558777349356e-01
32, 7.499699766576249e-01, -9.779164378115053e-03, 1.038482801341556e+05, 1.423019355908839e-01, 4.609789760803419e-01
33, 7.361109672965159e-01, -1.028813860740242e-02, 1.038101503958095e+05, 1.401515855378793e-01, 4.615700213923526e-01
34, 7.220231221955510e-01, -1.080552094294403e-02, 1.037739749892868e+05, 1.381114512304431e-01, 4.621327666143640e-01
35, 7.077167535820365e-01, -1.133099197319123e-02, 1.037392367101491e+05, 1.361523646060626e-01, 4.626666661279299e-01
