"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.632896519016437e-05	1.833715837316636e+01	-3.729646896751643e+01	-4.224726137187991e+00	9.146424254654567e+00	-1.691141436768559e+01	0.000000000000000e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	6.828496466261938e+00	-1.609402799772652e+01	-1.387603252982838e+00	2.524752520083595e+00	1.168888369576573e+01	0.000000000000000e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	5.794124119484938e+00	-1.284825249749857e+01	-2.285169977270866e+00	1.957936310428327e+00	9.802278228975146e-01	0.000000000000000e+00	
3	9.960200190539999e-01	-5.769983605901485e-04	5.206053465604690e+00	-1.116396749483929e+01	-1.925053791547726e+00	1.722062071808467e+00	6.957245463465822e-01	0.000000000000000e+00	
4	9.937800168990000e-01	-9.004365425509819e-04	4.400791347606397e+00	-9.428983770637716e+00	-1.711005491934390e+00	1.388038370981834e+00	6.812591910150474e-01	0.000000000000000e+00	
5	9.910500049590000e-01	-1.293363843462116e-03	3.920665399820333e+00	-8.344594907752805e+00	-1.565576457596149e+00	1.207840088988853e+00	3.970195599631891e-01	0.000000000000000e+00	
6	9.878399968150000e-01	-1.753609743384430e-03	3.558502604155231e+00	-7.530345459092588e+00	-1.428854405146802e+00	1.078662202956189e+00	2.965133238548999e-01	0.000000000000000e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	3.270088098824123e+00	-6.890097340607838e+00	-1.320344132124094e+00	9.775104042057186e-01	2.310708841794460e-01	0.000000000000000e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	3.042541293555042e+00	-6.378761421692988e+00	-1.230544732695359e+00	8.992187758015882e-01	1.814540155886803e-01	0.000000000000000e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	2.858332790404579e+00	-5.963601468912901e+00	-1.156478084823418e+00	8.367065772341933e-01	1.476547994074397e-01	0.000000000000000e+00	
10	9.701499938960000e-01	-4.256268552403566e-03	2.708117937448586e+00	-5.621671347948427e+00	-1.093614051044940e+00	7.860051133849216e-01	1.219474025625639e-01	0.000000000000000e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	2.583351148085395e+00	-5.334423841668344e+00	-1.040444803251489e+00	7.440785187036277e-01	1.028909957208827e-01	0.000000000000000e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	2.477949321365394e+00	-5.089738378673140e+00	-9.939866738962694e-01	7.089889571875001e-01	8.798258976611030e-02	0.000000000000000e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	2.389098187432746e+00	-4.880203934375146e+00	-9.533539443924283e-01	6.793374068503074e-01	7.595374904314785e-02	0.000000000000000e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	2.312942880748916e+00	-4.698551445819373e+00	-9.170802557214404e-01	6.541309786603680e-01	6.633425990470997e-02	0.000000000000000e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	2.247672545852176e+00	-4.540390019783372e+00	-8.843659708647070e-01	6.325204255521780e-01	5.839481857356333e-02	0.000000000000000e+00	
