"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Surface_Sensitivity","Solution_Sensor"
0,9.997500181200000e-01,-3.632896519016437e-05,4.235644767646138e+04,-2.772490116171634e+02,-8.754453859387307e+01,2.518553149674541e-01,-6.057803763889364e+05,0.000000000000000e+00,
1,9.990000128750000e-01,-1.452537504052920e-04,1.635856903802165e+04,-1.309263949802401e+02,-5.143793098587177e+00,1.000422613631525e-01,1.844949077369045e+05,0.000000000000000e+00,
2,9.977599978450000e-01,-3.251111630156300e-04,1.255662010290868e+04,-1.015919805215067e+02,-3.617553868373171e+00,6.654487338807784e-02,2.793975153594829e+04,0.000000000000000e+00,
3,9.960200190539999e-01,-5.769983605901485e-04,1.148101113145688e+04,-8.976074666207315e+01,-7.532514334435176e+00,5.529255739256414e-02,8.433075934145891e+03,0.000000000000000e+00,
4,9.937800168990000e-01,-9.004365425509819e-04,1.044066231354290e+04,-8.015468372246426e+01,-9.098240605933116e+00,4.775310090028967e-02,4.540310684953248e+03,0.000000000000000e+00,
5,9.910500049590000e-01,-1.293363843462116e-03,9.535640979862410e+03,-7.246739356043972e+01,-9.182154640202757e+00,4.227538410254329e-02,2.737534652647899e+03,0.000000000000000e+00,
6,9.878399968150000e-01,-1.753609743384430e-03,8.785303007698671e+03,-6.628997032438073e+01,-8.692254606144509e+00,3.807482848431264e-02,1.776256628544643e+03,0.000000000000000e+00,
7,9.841300249100000e-01,-2.283176811071472e-03,8.167210005996051e+03,-6.128384557847379e+01,-8.082133518036215e+00,3.477663153621659e-02,1.208008005648604e+03,0.000000000000000e+00,
8,9.799500107769999e-01,-2.876826092032643e-03,7.665247773981780e+03,-5.719238151723285e+01,-7.483462561072985e+00,3.214346214820409e-02,8.555168105612890e+02,0.000000000000000e+00,
9,9.752799868580000e-01,-3.536324145770189e-03,7.245577043521956e+03,-5.377565330210591e+01,-6.945330277492085e+00,2.998763747808215e-02,6.290071164086276e+02,0.000000000000000e+00,
10,9.701499938960000e-01,-4.256268552403566e-03,6.893696105409519e+03,-5.089596086551108e+01,-6.465301767362937e+00,2.820109971749975e-02,4.760482249653674e+02,0.000000000000000e+00,
11,9.645400047300000e-01,-5.038225493362627e-03,6.592087921594491e+03,-4.842207233955767e+01,-6.042170379149113e+00,2.668850795554359e-02,3.698399629388934e+02,0.000000000000000e+00,
