"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.632896519016437e-05	1.083876431639785e+02	-2.173833629879924e+02	-2.121559409783473e+01	5.319785448898921e+01	-9.636087282887222e+01	0.000000000000000e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	4.223081255077167e+01	-9.594068093512395e+01	-5.074587825956868e+00	1.522149975757318e+01	6.705557350960504e+01	0.000000000000000e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	3.609476943776991e+01	-7.721764695564873e+01	-1.028312216772468e+01	1.193718127147642e+01	5.658279082348217e+00	0.000000000000000e+00	
3	9.960200190539999e-01	-5.769983605901485e-04	3.250848595630445e+01	-6.733766374991299e+01	-8.230811897222647e+00	1.053676851387466e+01	4.028744380862731e+00	0.000000000000000e+00	
4	9.937800168990000e-01	-9.004365425509819e-04	2.768923229067956e+01	-5.714753827676861e+01	-6.999428746035527e+00	8.573737519668221e+00	3.944013631862795e+00	0.000000000000000e+00	
5	9.910500049590000e-01	-1.293363843462116e-03	2.473853405334467e+01	-5.068053471140282e+01	-6.152538031221069e+00	7.493263781314269e+00	2.317308563388965e+00	0.000000000000000e+00	
6	9.878399968150000e-01	-1.753609743384430e-03	2.247161353263212e+01	-4.576712243178691e+01	-5.352417059035615e+00	6.705841798962786e+00	1.742127320686488e+00	0.000000000000000e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	2.063322837906971e+01	-4.185673665336096e+01	-4.714220349803860e+00	6.080119742010769e+00	1.368071573961524e+00	0.000000000000000e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	1.914827064150796e+01	-3.869077658502009e+01	-4.185691499118117e+00	5.586121710286164e+00	1.084900306696241e+00	0.000000000000000e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	1.791499761303912e+01	-3.608052478469436e+01	-3.749720478283970e+00	5.183292798822330e+00	8.921332755710696e-01	0.000000000000000e+00	
10	9.701499938960000e-01	-4.256268552403566e-03	1.687959824576220e+01	-3.389453250608177e+01	-3.380513278908701e+00	4.848732614646993e+00	7.456287462993142e-01	0.000000000000000e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	1.599211559954360e+01	-3.202552079794994e+01	-3.069271837561070e+00	4.564983619505615e+00	6.371875447399074e-01	0.000000000000000e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	1.521782533550330e+01	-3.040416834613387e+01	-2.799309347328459e+00	4.320806340688607e+00	5.524449923467398e-01	0.000000000000000e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	1.453973439806006e+01	-2.898704835324917e+01	-2.565279253868183e+00	4.108184972543363e+00	4.840751028964636e-01	0.000000000000000e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	1.393571265024042e+01	-2.773245851964097e+01	-2.358427192595723e+00	3.921350681059998e+00	4.295295432918109e-01	0.000000000000000e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	1.339595791730077e+01	-2.661572518469760e+01	-2.175137794936724e+00	3.755392293169631e+00	3.843658393953410e-01	0.000000000000000e+00	
16	9.296900033950000e-01	-9.774221272349531e-03	1.290995277652661e+01	-2.561049245567676e+01	-2.014399359047062e+00	3.606470551292366e+00	3.469320175054830e-01	0.000000000000000e+00	
17	9.214000105860000e-01	-1.087086069705918e-02	1.246163416958523e+01	-2.469494878835213e+01	-1.864767049453771e+00	3.472084797196436e+00	3.169104312091948e-01	0.000000000000000e+00	
18	9.126999974250000e-01	-1.200973104171110e-02	1.206049985511085e+01	-2.387174175901071e+01	-1.734729290770343e+00	3.350023721143361e+00	2.886994511566046e-01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.319055953446835e-02	1.168549242638516e+01	-2.311114144588725e+01	-1.613164841859588e+00	3.239026348476368e+00	2.673526452965725e-01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.440916392228702e-02	1.134375619511674e+01	-2.241794784044241e+01	-1.505169496664207e+00	3.136467391165862e+00	2.472291166574969e-01	0.000000000000000e+00	
21	8.841500282290000e-01	-1.566269158090452e-02	1.102513326651709e+01	-2.177590790628345e+01	-1.405997525116311e+00	3.042592846050276e+00	2.302469956247521e-01	0.000000000000000e+00	
22	8.738499879840000e-01	-1.694956337677533e-02	1.072901790002781e+01	-2.118197640291676e+01	-1.315155072560555e+00	2.955144156920497e+00	2.155844578425624e-01	0.000000000000000e+00	
23	8.631799817090000e-01	-1.826569132102762e-02	1.045376237198137e+01	-2.063207326391316e+01	-1.232610821793122e+00	2.874495450154293e+00	2.017451077872844e-01	0.000000000000000e+00	
24	8.521599769590000e-01	-1.960709133914372e-02	1.019762697463469e+01	-2.012126374221722e+01	-1.157974031783843e+00	2.799375399467851e+00	1.895554188438901e-01	0.000000000000000e+00	
25	8.407700061800000e-01	-2.097463226217677e-02	9.955210416485816e+00	-1.964293751619159e+01	-1.086645871534571e+00	2.729595899936949e+00	1.797765950418649e-01	0.000000000000000e+00	
26	8.290500044819999e-01	-2.236196298315981e-02	9.734388320549170e+00	-1.920215738885776e+01	-1.026593613396186e+00	2.664154797122108e+00	1.689603996518766e-01	0.000000000000000e+00	
27	8.170099854470000e-01	-2.376642068849115e-02	9.519379680497870e+00	-1.878193686037238e+01	-9.660154428332669e-01	2.603331330559270e+00	1.614903145306877e-01	0.000000000000000e+00	
28	8.046399950980000e-01	-2.518763605296113e-02	9.323744327156815e+00	-1.839535829923054e+01	-9.141774361808912e-01	2.546025087637781e+00	1.524681134650176e-01	0.000000000000000e+00	
29	7.919700145720000e-01	-2.662062628442961e-02	9.137804995624316e+00	-1.802840550022717e+01	-8.662875330473678e-01	2.492416949880642e+00	1.450424658564607e-01	0.000000000000000e+00	
30	7.790099978450000e-01	-2.806276676215449e-02	8.959582207123701e+00	-1.768314620103869e+01	-8.189112830337812e-01	2.442341851827247e+00	1.387608256209523e-01	0.000000000000000e+00	
31	7.657799720760000e-01	-2.951033727360171e-02	8.801619617129880e+00	-1.736570282918218e+01	-7.826012282425547e-01	2.394917848360235e+00	1.311455838443106e-01	0.000000000000000e+00	
32	7.522799968720000e-01	-3.096181144522562e-02	8.639635300459453e+00	-1.705511031834326e+01	-7.403315031498370e-01	2.350942723771497e+00	1.287714371263255e-01	0.000000000000000e+00	
33	7.385200262070000e-01	-3.241453277608040e-02	8.501348112691094e+00	-1.677957114754307e+01	-7.098248777421468e-01	2.309292639738466e+00	1.210975043282566e-01	0.000000000000000e+00	
34	7.245299816130000e-01	-3.386376679305321e-02	8.362362797483298e+00	-1.651085133023605e+01	-6.747033214663387e-01	2.271743210375829e+00	1.168650558599193e-01	0.000000000000000e+00	
35	7.103199958800001e-01	-3.530689307158652e-02	8.244115129206278e+00	-1.627132144154068e+01	-6.501662538442221e-01	2.235805075334161e+00	1.099655737118856e-01	0.000000000000000e+00	
36	6.958900094030001e-01	-3.674225211597043e-02	8.123124886091393e+00	-1.603531390957227e+01	-6.201557027153038e-01	2.203417861563429e+00	1.076415867333932e-01	0.000000000000000e+00	
37	6.812700033190000e-01	-3.816515293304169e-02	8.021063568946458e+00	-1.582642947197740e+01	-5.994425108366128e-01	2.172321705439465e+00	1.021413738027669e-01	0.000000000000000e+00	
38	6.664699912070000e-01	-3.957289370556494e-02	7.916466362579918e+00	-1.562079912468002e+01	-5.733925683268521e-01	2.144575248322534e+00	1.000056422432224e-01	0.000000000000000e+00	
39	6.514999866490000e-01	-4.096270419333766e-02	7.830668026632088e+00	-1.544095245894327e+01	-5.558291833107400e-01	2.118164606530708e+00	9.462500880070107e-02	0.000000000000000e+00	
40	6.363800168040000e-01	-4.233084266562091e-02	7.743092023523719e+00	-1.526476839761121e+01	-5.329095732307265e-01	2.095131984290985e+00	9.240321644067523e-02	0.000000000000000e+00	
41	6.211299896240000e-01	-4.367359094194759e-02	7.674349622660169e+00	-1.511400177406634e+01	-5.175775796403098e-01	2.073581260227875e+00	8.705197743108302e-02	0.000000000000000e+00	
42	6.057599782940000e-01	-4.498807223669178e-02	7.604556470946602e+00	-1.496658053436961e+01	-4.971310042054568e-01	2.055285579325334e+00	8.497350282938008e-02	0.000000000000000e+00	
43	5.902799963950000e-01	-4.627132533375768e-02	7.551648608611593e+00	-1.484175929550725e+01	-4.827882440193670e-01	2.038331472113973e+00	8.044951897168152e-02	0.000000000000000e+00	
44	5.747100114820000e-01	-4.751950934859488e-02	7.498902357604757e+00	-1.472114492976740e+01	-4.640534971828592e-01	2.024447932047874e+00	7.828475961575666e-02	0.000000000000000e+00	
45	5.590599775310000e-01	-4.872955796694115e-02	7.460752675552214e+00	-1.461983217821561e+01	-4.491659400704715e-01	2.011897274673092e+00	7.419162223796326e-02	0.000000000000000e+00	
46	5.433599948880000e-01	-4.989683951066199e-02	7.425189564304773e+00	-1.452492727210025e+01	-4.311867017620317e-01	2.002213605858306e+00	7.153459573651776e-02	0.000000000000000e+00	
47	5.276100039480000e-01	-5.101897737545535e-02	7.401600502473895e+00	-1.444708740661469e+01	-4.147694443687765e-01	1.994218608581260e+00	6.682964504904534e-02	0.000000000000000e+00	
