"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
0	9.997500181200000e-01	-3.632896519016437e-05	1.186905995428297e+00	7.475491696587780e-01	1.005056683963781e-01	3.415594444854568e+00	1.270369881153041e+00	6.035041990023234e-01	5.191497709665919e-01	2.526078661485749e-04	
1	9.990000128750000e-01	-1.452537504052920e-04	1.162741035523180e+00	7.721258539827391e-01	1.098440519620652e-01	3.353701604552852e+00	1.236858234844801e+00	5.287014170642880e-01	5.496337763992543e-01	1.010481519956036e-03	
2	9.977599978450000e-01	-3.251111630156300e-04	1.147867941380988e+00	7.948750390052912e-01	1.139996222947177e-01	3.317279571226651e+00	1.214560573691035e+00	4.789298519889185e-01	5.747783397087936e-01	2.263472315430854e-03	
3	9.960200190539999e-01	-5.769983605901485e-04	1.135665114562070e+00	8.125048752294991e-01	1.165806123471567e-01	3.287368987163235e+00	1.196293791877623e+00	4.381557854411235e-01	5.951725806672633e-01	4.021588670991499e-03	
4	9.937800168990000e-01	-9.004365425509819e-04	1.125263554676269e+00	8.260117571658624e-01	1.186866789463875e-01	3.261692211962741e+00	1.180904697016043e+00	4.038051272679534e-01	6.118220379279700e-01	6.284821059018870e-03	
5	9.910500049590000e-01	-1.293363843462116e-03	1.116260472960346e+00	8.373027710896114e-01	1.200597993200642e-01	3.239461707527986e+00	1.167590577015716e+00	3.740861094100814e-01	6.261951911402568e-01	9.042964185791081e-03	
6	9.878399968150000e-01	-1.753609743384430e-03	1.108018462523613e+00	8.466968212241696e-01	1.209679958360757e-01	3.218967912427470e+00	1.155544502252507e+00	3.471975496707738e-01	6.388292564373529e-01	1.228579767826667e-02	
7	9.841300249100000e-01	-2.283176811071472e-03	1.100492517521453e+00	8.550372316796383e-01	1.216209524550204e-01	3.200252489116691e+00	1.144547125398943e+00	3.226498334797845e-01	6.503694299032834e-01	1.603337162632472e-02	
8	9.799500107769999e-01	-2.876826092032643e-03	1.093471905845727e+00	8.624244746528867e-01	1.220555934274640e-01	3.182747149039356e+00	1.134334738599301e+00	2.998543272305832e-01	6.609809961515469e-01	2.025532513207868e-02	
9	9.752799868580000e-01	-3.536324145770189e-03	1.086875978758238e+00	8.691209445405600e-01	1.222941992250145e-01	3.166279636295744e+00	1.124761204349348e+00	2.784848311369366e-01	6.708931543626037e-01	2.497167671992833e-02	
