NMARK= 1
MARKER_TAG= inlet
NROW=30
NCOL=9
# COORD-X               COORD-Y                 TEMPERATURE             VELOCITY                NORMAL-X                NORMAL-Y                TKE                     DISSIPATION             SPECIES_0               
-0.1 0.000 673 18.081154 1 0 0.1474684 1215.2999 0
-0.1 0.00072056672 673 18.081154 1 0 0.1474684 1215.2999 0
-0.1 0.0014123108 673 18.067955 1 0 0.26757646 1431.1123 0
-0.1 0.0020763851 673 17.925154 1 0 0.59370816 1764.9231 0
-0.1 0.0027138963 673 17.644958 1 0 1.0732054 2001.2325 0
-0.1 0.003325907 673 17.295338 1 0 1.5715362 2138.8899 0
-0.1 0.0039134375 673 16.916349 1 0 2.0428133 2247.2583 0
-0.1 0.0044774669 673 16.525587 1 0 2.4766657 2347.231 0
-0.1 0.0050189346 673 16.131512 1 0 2.8629174 2444.9976 0
-0.1 0.0055387439 673 15.738138 1 0 3.1991918 2542.27 0
-0.1 0.006037761 673 15.347522 1 0 3.4846122 2638.8345 0
-0.1 0.0065168175 673 14.960743 1 0 3.7206464 2735.136 0
-0.1 0.0069767111 673 14.578268 1 0 3.9107749 2833.4126 0
-0.1 0.0074182097 673 14.200018 1 0 4.0595059 2937.3826 0
-0.1 0.0078420481 673 13.825378 1 0 4.1716056 3051.7566 0
-0.1 0.0082489327 673 13.453189 1 0 4.2517338 3182.1646 0
-0.1 0.0086395424 673 13.081724 1 0 4.3043108 3335.4648 0
-0.1 0.0090145273 673 12.708621 1 0 4.333478 3520.3462 0
-0.1 0.0093745124 673 12.330769 1 0 4.3430996 3748.2849 0
-0.1 0.0097200992 673 11.944091 1 0 4.3368058 4035.0825 0
-0.1 0.010051861 673 11.543211 1 0 4.3180804 4403.4316 0
-0.1 0.010370354 673 11.120888 1 0 4.2904081 4887.4062 0
-0.1 0.010676106 673 10.667083 1 0 4.2575374 5540.8018 0
-0.1 0.010969629 673 10.167323 1 0 4.2239733 6453.7314 0
-0.1 0.01125141 673 9.5996704 1 0 4.1960158 7788.7686 0
-0.1 0.011521921 673 8.9287157 1 0 4.1843758 9869.4121 0
-0.1 0.011781611 673 8.0924635 1 0 4.2124362 13434.528 0
-0.1 0.012030913 673 6.9705362 1 0 4.3521786 20564.893 0
-0.1 0.012270243 673 5.1595874 1 0 4.7120104 39851.543 0
-0.1 0.0125 673 0 1 0 1e-10 80659.359 0
