"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 5.010000078023450e+02, 5.352202629500000e-08, 9.999545140604148e-01, 1.748504797582670e-01, 3.084083863526977e-02, 2.515721568101676e+00, 6.251535142460396e-10, 3.340170908108995e-03
1, 4.052709646366250e+02, 5.352202629500000e-08, 9.999450666647843e-01, 1.748464743954010e-01, 3.083078433096793e-02, 2.515687635643365e+00, 6.717141145783303e-10, 3.573037492381479e-03
2, 3.278693397908290e+02, 5.352202629500000e-08, 9.999476111473180e-01, 1.748541855171441e-01, 3.081738595062038e-02, 2.515697438315820e+00, 7.699505758837013e-10, 4.060483622585415e-03
3, 2.652863312215480e+02, 5.352202629500000e-08, 9.999467851296231e-01, 1.748544212819581e-01, 3.080302577014666e-02, 2.515694159002853e+00, 8.757554639208873e-10, 4.578724439486145e-03
4, 2.146849004455700e+02, 5.352202629500000e-08, 9.999471118169264e-01, 1.748552233234788e-01, 3.078632177479534e-02, 2.515694923655669e+00, 9.872298521117794e-10, 5.118687202227401e-03
5, 1.737711627536290e+02, 5.352202629500000e-08, 9.999473291481954e-01, 1.748554038107858e-01, 3.076693498816330e-02, 2.515695116209102e+00, 1.102230511760259e-09, 5.670164274031601e-03
6, 1.406903998926780e+02, 5.352202629500000e-08, 9.999477408000188e-01, 1.748555406070381e-01, 3.074403532587574e-02, 2.515695870569388e+00, 1.218415856996828e-09, 6.222231691383460e-03
7, 1.139429812211730e+02, 5.352202629500000e-08, 9.999482432509310e-01, 1.748555633103844e-01, 3.071681363438652e-02, 2.515696788954838e+00, 1.333388225482017e-09, 6.763918354813764e-03
8, 9.231638184086459e+01, 5.352202629500000e-08, 9.999488742111177e-01, 1.748555177956626e-01, 3.068408944438901e-02, 2.515697974753575e+00, 1.444897647871093e-09, 7.285075021860038e-03
9, 7.483021592330550e+01, 5.352202629500000e-08, 9.999496517773209e-01, 1.748553147332013e-01, 3.064447997416175e-02, 2.515699433265788e+00, 1.551047927536753e-09, 7.777175310663837e-03
10, 6.069179345940150e+01, 5.352202629500000e-08, 9.999506081114444e-01, 1.748549942380361e-01, 3.059632471265977e-02, 2.515701233048503e+00, 1.650490447924520e-09, 8.233978489634723e-03
