"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 5.010000078023450e+02, 5.352202629500000e-08, 9.995771827874029e-01, 9.939614854586972e-01, 1.381445202280324e-08, 2.498760868031655e+01, 2.772584424342683e-06, 1.303683458006781e+01, 9.797366896001607e+00, 1.000342227318122e+00, 2.684371910176772e-01, -1.582100608974457e-03, 1.619432166905580e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.125845244933964e-07
1, 3.278693397908290e+02, 5.352202629500000e-08, 9.994204353658300e-01, 9.883163517921068e-01, 2.344033735528383e-09, 2.498074832083668e+01, 2.587927543394215e-06, 1.268447144978961e+01, 9.796831165634245e+00, 1.000444410963679e+00, 2.669408497017909e-01, -2.653561343699096e-03, 1.619561191369812e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.039061972680848e-07
2, 2.146849004455700e+02, 5.352202629500000e-08, 9.993355776341111e-01, 9.832943119083533e-01, -3.583596773911537e-09, 2.497641613209555e+01, 2.562512119013418e-06, 1.254723112046339e+01, 9.797063320571590e+00, 1.000553072337056e+00, 2.655925428415508e-01, -2.189251469008724e-03, 1.619698388164121e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.040940487435584e-07
3, 1.406903998926780e+02, 5.352202629500000e-08, 9.992029803532185e-01, 9.786114052743498e-01, 1.157254907405084e-09, 2.497146118053623e+01, 2.688968233968641e-06, 1.230977308642885e+01, 9.796894561172786e+00, 1.000668611456543e+00, 2.643474818732537e-01, -2.526770266616296e-03, 1.619844261039878e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.182636256696783e-07
4, 9.231638184086459e+01, 5.352202629500000e-08, 9.990974584851561e-01, 9.741457810443105e-01, -5.009581576828554e-09, 2.496737581769255e+01, 3.255767930560925e-06, 1.152039069190453e+01, 9.796985575506058e+00, 1.000783596579436e+00, 2.631538781690628e-01, -2.344741600072808e-03, 1.619989426470677e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.823342632297843e-07
5, 6.069179345940150e+01, 5.352202629500000e-08, 9.989732363667371e-01, 9.695646964972395e-01, -1.866076583378811e-08, 2.496286727780350e+01, 5.121724530218835e-06, 1.023913659716540e+01, 9.796940483081958e+00, 1.000903436952816e+00, 2.619332396660961e-01, -2.434926448273700e-03, 1.620140713022562e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.996339380930859e-07
6, 4.001717037504760e+01, 5.352202629500000e-08, 9.988560624191843e-01, 9.649727426172244e-01, -2.143056132917598e-08, 2.495856493500099e+01, 1.007830466743408e-05, 8.361710547913475e+00, 9.796974184183266e+00, 1.001024294547587e+00, 2.607075398771365e-01, -2.367524245656227e-03, 1.620293274936305e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.203712836614908e-06
7, 2.650110387248250e+01, 5.352202629500000e-08, 9.987271268784466e-01, 9.600977118556212e-01, -1.930027339446773e-08, 2.495392207229741e+01, 2.383210909504671e-05, 6.103961485366286e+00, 9.796966822941222e+00, 1.001152774406492e+00, 2.594072890545153e-01, -2.382246729744963e-03, 1.620455448980464e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.898652011606548e-06
8, 1.766495469789320e+01, 5.352202629500000e-08, 9.985882987844128e-01, 9.546969306147297e-01, 1.729436885824709e-08, 2.494890573152918e+01, 5.619818355368531e-05, 4.631391304245152e+00, 9.796992898842969e+00, 1.001294624093908e+00, 2.579656470786443e-01, -2.330094926250581e-03, 1.620634487557371e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.211534874076028e-05
9, 1.188830864330480e+01, 5.352202629500000e-08, 9.984196768489217e-01, 9.480681573653527e-01, 7.974145815256611e-09, 2.494281837862538e+01, 1.122592094098576e-04, 4.335995122844089e+00, 9.797031335039879e+00, 1.001467660583246e+00, 2.561956361946194e-01, -2.253222532431209e-03, 1.620852872778888e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.584690304312195e-05
