"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.000000564217300e+00, 1.747878887078864e-01, 3.080811245291359e-02, 2.515751986463905e+00, 4.724999988275863e-08, 1.597341536720475e+01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.000000663282803e+00, 1.747904347097241e-01, 3.079678231980496e-02, 2.515752489108105e+00, 4.724999998606399e-08, 1.597341540839358e+01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.000000862514905e+00, 1.747910026275649e-01, 3.078411517779092e-02, 2.515752874462365e+00, 4.725000005578361e-08, 1.597341543652507e+01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.000001021701136e+00, 1.747906073311400e-01, 3.077079336999382e-02, 2.515752955689559e+00, 4.725000004940967e-08, 1.597341543365468e+01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.000001225330299e+00, 1.747903114504884e-01, 3.075588888593935e-02, 2.515753153621064e+00, 4.725000002563303e-08, 1.597341542366404e+01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.000001510795643e+00, 1.747902916912354e-01, 3.073836108531302e-02, 2.515753606652351e+00, 4.725000002702256e-08, 1.597341542375400e+01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.000001874250904e+00, 1.747904114694973e-01, 3.071754831202932e-02, 2.515754254542095e+00, 4.725000004439170e-08, 1.597341542998398e+01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.000002323701865e+00, 1.747905943367505e-01, 3.069250789190903e-02, 2.515755083812655e+00, 4.725000006338883e-08, 1.597341543643706e+01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.000002883693382e+00, 1.747907748191810e-01, 3.066212008650219e-02, 2.515756134122269e+00, 4.725000010767253e-08, 1.597341545242355e+01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.000003582861335e+00, 1.747908407308299e-01, 3.062504660159650e-02, 2.515757444936877e+00, 4.725000026747856e-08, 1.597341551383934e+01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.000004453411878e+00, 1.747908187040550e-01, 3.057971085611196e-02, 2.515759085139388e+00, 4.725000069963594e-08, 1.597341568312549e+01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.000005534948839e+00, 1.747913799622405e-01, 3.052428401998246e-02, 2.515761254428171e+00, 4.725000147828073e-08, 1.597341598945540e+01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.000006876739337e+00, 1.747944154632861e-01, 3.045670585371668e-02, 2.515764392458380e+00, 4.725000222200017e-08, 1.597341627920110e+01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.000008540616722e+00, 1.748028714414654e-01, 3.037464216910474e-02, 2.515769159605544e+00, 4.725000177744589e-08, 1.597341608871093e+01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.000010605975997e+00, 1.748189428037718e-01, 3.027524059069262e-02, 2.515776131523685e+00, 4.724999864723287e-08, 1.597341481482654e+01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.000013176147617e+00, 1.748408659832269e-01, 3.015462966809458e-02, 2.515785241138493e+00, 4.724999263282417e-08, 1.597341237172659e+01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.000016383920514e+00, 1.748604645455522e-01, 3.000736950796166e-02, 2.515795339903403e+00, 4.724998695632867e-08, 1.597341003912609e+01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.000020390630747e+00, 1.748644101282704e-01, 2.982632417232115e-02, 2.515804405789841e+00, 4.724998869075792e-08, 1.597341063290316e+01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.000025373072195e+00, 1.748403498943913e-01, 2.960337202988718e-02, 2.515810626539078e+00, 4.725000517934228e-08, 1.597341707377213e+01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.000031506968395e+00, 1.747853015424298e-01, 2.933086604990936e-02, 2.515813937342038e+00, 4.725003635479504e-08, 1.597342932676812e+01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.000038981760671e+00, 1.747106737933641e-01, 2.900308888291389e-02, 2.515817045562012e+00, 4.725006747715242e-08, 1.597344151662415e+01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.000048082888346e+00, 1.746386890497494e-01, 2.861667775827467e-02, 2.515825019667286e+00, 4.725007136209642e-08, 1.597344281565496e+01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.000059311477092e+00, 1.745899033389845e-01, 2.816946568309657e-02, 2.515843305469706e+00, 4.725002672890539e-08, 1.597342471744390e+01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.000073415835409e+00, 1.745686778382075e-01, 2.765833612644201e-02, 2.515875154668739e+00, 4.724994374577588e-08, 1.597339113371405e+01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.000091245594843e+00, 1.745570333961116e-01, 2.707813982001911e-02, 2.515920153927447e+00, 4.724987064833854e-08, 1.597336077198887e+01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.000113547016839e+00, 1.745222831036577e-01, 2.642349779438766e-02, 2.515975088917999e+00, 4.724986734988848e-08, 1.597335460832956e+01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.000140904339523e+00, 1.744330195889186e-01, 2.569244923358653e-02, 2.516036672615413e+00, 4.724999691142718e-08, 1.597337676144104e+01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.000173850780737e+00, 1.742715669313104e-01, 2.488936732488958e-02, 2.516104146831652e+00, 4.725057316417367e-08, 1.597340766239780e+01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.000212997573676e+00, 1.740352431303082e-01, 2.402557587826946e-02, 2.516179965317292e+00, 4.725373401853955e-08, 1.597341840112595e+01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.000259253834900e+00, 1.737283664051608e-01, 2.311741735204544e-02, 2.516269040724361e+00, 4.727133269715224e-08, 1.597339748805877e+01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.000313897239278e+00, 1.733528799886392e-01, 2.218327776400248e-02, 2.516377159755964e+00, 4.736035892932610e-08, 1.597336553043310e+01
31, 1.669893858549960e+00, 5.352202629500000e-08, 1.000378236918245e+00, 1.729047116109879e-01, 2.124379044369206e-02, 2.516509155240203e+00, 4.776752436418157e-08, 1.597336545577564e+01
32, 1.538086133079550e+00, 5.352202629500000e-08, 1.000453422382193e+00, 1.723777294347917e-01, 2.032511694913437e-02, 2.516668705584448e+00, 4.947223163875728e-08, 1.597343954314664e+01
33, 1.431513124708660e+00, 5.352202629500000e-08, 1.000540649752141e+00, 1.717724189613745e-01, 1.946180447162712e-02, 2.516859394444711e+00, 5.607759833863478e-08, 1.597357175448378e+01
34, 1.345343622331700e+00, 5.352202629500000e-08, 1.000641497391109e+00, 1.711001188038119e-01, 1.869350930015116e-02, 2.517084864105068e+00, 7.988032259063758e-08, 1.597358825753871e+01
35, 1.275671354903060e+00, 5.352202629500000e-08, 1.000757747216120e+00, 1.703614383292731e-01, 1.806022167235108e-02, 2.517345528763471e+00, 1.594100306458059e-07, 1.597321193599193e+01
36, 1.219337910763940e+00, 5.352202629500000e-08, 1.000888384079295e+00, 1.694794511886006e-01, 1.760301180904379e-02, 2.517627044310642e+00, 4.036076689431206e-07, 1.597269274538860e+01
37, 1.173789559236190e+00, 5.352202629500000e-08, 1.001020947883648e+00, 1.682109253707328e-01, 1.736325601707568e-02, 2.517878266500874e+00, 1.086081949991641e-06, 1.597459206186530e+01
38, 1.136961483861060e+00, 5.352202629500000e-08, 1.001123391050904e+00, 1.661141491210029e-01, 1.736583375840884e-02, 2.518002210467600e+00, 2.811895480524952e-06, 1.598791994421533e+01
39, 1.107184179296940e+00, 5.352202629500000e-08, 1.001143256370177e+00, 1.626673595492641e-01, 1.760031026949369e-02, 2.517871408043381e+00, 6.751407863190173e-06, 1.603832391520644e+01
40, 1.083107768621840e+00, 5.352202629500000e-08, 1.001023963344995e+00, 1.575527165004394e-01, 1.799591857308044e-02, 2.517372485001049e+00, 1.473142923832018e-05, 1.619602550275713e+01
41, 1.063640810162010e+00, 5.352202629500000e-08, 1.000744317346106e+00, 1.509503860067857e-01, 1.838895858683992e-02, 2.516473100108957e+00, 2.839936897998140e-05, 1.664875674425569e+01
42, 1.047900819812490e+00, 5.352202629500000e-08, 1.000355348970474e+00, 1.435372497680841e-01, 1.853599658696359e-02, 2.515279910543948e+00, 4.684729100821649e-05, 1.784182429545198e+01
43, 1.035174265907630e+00, 5.352202629500000e-08, 9.999504179201053e-01, 1.360218844195143e-01, 1.826135699675776e-02, 2.514006114937315e+00, 6.589297927648019e-05, 2.072494813670399e+01
44, 1.024884223112370e+00, 5.352202629500000e-08, 9.995598187604279e-01, 1.286621366150328e-01, 1.764410458665623e-02, 2.512724743813836e+00, 8.133561610515210e-05, 2.771272323724922e+01
45, 1.016564219007590e+00, 5.352202629500000e-08, 9.991625333363412e-01, 1.209847748687326e-01, 1.670962186222020e-02, 2.511345692382013e+00, 9.095957734418327e-05, 4.845978394451365e+01
46, 1.009837087771990e+00, 5.352202629500000e-08, 9.987056563559543e-01, 1.107883788623065e-01, 1.508997777271023e-02, 2.509548580931217e+00, 9.208694192779378e-05, 1.672589988637464e+02
