"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
0	0.000000000000000e+00	0.000000000000000e+00	4.290282786446569e+01	-1.486254413028142e-01	8.112746094603586e-01	3.722969620642009e+02	7.966985331773420e+00	5.456812478381376e+01	4.414162326967391e-02	1.213150069210623e+00	
1	-5.000000000000000e-01	4.000000000000000e-01	3.147856440236334e+01	3.298575794546680e+00	1.915496097615316e+00	3.584742323305712e+02	7.666402917967226e+00	5.221384701756200e+01	2.429552146411961e-01	1.852668166301169e+00	
2	-3.000420000000000e-03	-6.621050000000000e-03	3.501374125416003e+01	3.064116030040583e-01	3.100285938710376e-01	3.720795998755898e+02	7.962445372647005e+00	5.453256606733508e+01	2.583110648758990e-02	1.211814771037240e+00	
3	1.929854000000000e-02	-3.797521000000000e-02	3.400236664389400e+01	1.967100635739184e+00	-7.810944787650952e-01	3.672354840123329e+02	7.857429701562442e+00	5.371004269874637e+01	1.281228382536433e-01	1.175683163648603e+00	
4	5.498912000000000e-02	-6.153906000000000e-02	3.363531035392591e+01	3.565300520169361e+00	-3.506336318071514e-01	3.637008790484400e+02	7.779115985160431e+00	5.309665937074942e+01	2.191419501910598e-01	1.132919067625567e+00	
5	5.986563000000000e-02	-6.537722000000000e-02	3.354183489984518e+01	3.662910480027967e+00	-1.970870736936755e-01	3.635418346688879e+02	7.775502813544231e+00	5.306835961264329e+01	2.247493700037777e-01	1.126728616743079e+00	
6	0.000000000000000e+00	4.000000000000000e-01	3.129458548385904e+01	3.980737176297298e+00	2.462927196939315e+00	3.564561544890082e+02	7.620669630997902e+00	5.185564621889879e+01	2.999263878583934e-01	1.479943037561155e+00	
7	1.000000000000000e+00	-3.002080000000000e-01	2.594475645629321e+01	4.031767884285889e+00	-7.920023799112162e+00	2.131829689513545e+02	4.529542223706485e+00	2.764474034624230e+01	8.111739340614961e-01	3.933079593977479e-01	
8	1.500000000000000e+00	-3.002080000000000e-01	3.099740769923620e+01	5.534106471431443e+00	-7.640804869753732e+00	2.334689585626186e+02	4.965510947232682e+00	3.105941607388042e+01	7.524410912318235e-01	6.325766838302062e-01	
9	3.814900000000000e-03	-6.156870000000000e-03	4.420443353498855e+01	1.645486283768494e-01	3.277378337688808e-01	3.722850897233944e+02	7.966868366214239e+00	5.456720866429795e+01	1.933604518426299e-02	1.206490429697211e+00	
10	7.515780000000000e-03	-1.139016000000000e-02	4.483172967631694e+01	5.578735126841753e-01	-3.498636571280456e-02	3.683513079028525e+02	7.882643417341782e+00	5.390752627641891e+01	2.942127549130670e-02	1.200459211812240e+00	
11	1.121780000000000e-02	-1.600319000000000e-02	4.524806551687187e+01	5.325755158888863e-01	-6.509345482221875e-01	3.742893730763295e+02	8.009625313226401e+00	5.490209761681145e+01	4.371333092921065e-02	1.194785006202419e+00	
12	1.504287000000000e-02	-2.022853000000000e-02	4.461615149118652e+01	9.801009911824484e-01	-7.966921981888878e-01	3.669286004034675e+02	7.851889454326271e+00	5.366664933876070e+01	6.677168691660543e-02	1.189232974476249e+00	
13	1.906356000000000e-02	-2.415398000000000e-02	4.499950579123668e+01	1.301098962544337e+00	-1.035071665288894e+00	3.723256597331945e+02	7.967111838162315e+00	5.456911563079942e+01	8.688303408069803e-02	1.183692227214150e+00	
14	2.330331000000000e-02	-2.780207000000000e-02	4.407700030503057e+01	1.948005910788786e+00	-9.395295541896020e-01	3.648452887575524e+02	7.806553697465548e+00	5.331156214972037e+01	1.153640848881876e-01	1.178129833846377e+00	
15	2.776113000000000e-02	-3.116357000000000e-02	4.398184248220989e+01	2.338455377030784e+00	-1.101888087699731e+00	3.679749987073581e+02	7.873039231425290e+00	5.383230257627014e+01	1.374562982862003e-01	1.172551338107484e+00	
16	3.242232000000000e-02	-3.422623000000000e-02	4.337754639176180e+01	2.693624489138267e+00	-1.304431044761010e+00	3.664816589736131e+02	7.840498028525901e+00	5.357742728432271e+01	1.605767851796742e-01	1.166975589961335e+00	
17	3.727102000000000e-02	-3.698100000000000e-02	4.273242548395297e+01	3.073637202551658e+00	-1.314535462291792e+00	3.647983570979956e+02	7.803886611644928e+00	5.329067250162466e+01	1.811325214999306e-01	1.161420904684697e+00	
18	4.229250000000000e-02	-3.942617000000000e-02	4.261456660828411e+01	3.424170350602171e+00	-1.422653100528531e+00	3.646006186030645e+02	7.799001060243516e+00	5.325240697273168e+01	2.012506428567805e-01	1.155900823021775e+00	
19	4.747996000000000e-02	-4.156626000000000e-02	4.225431370098966e+01	3.819105904416436e+00	-1.391429462970422e+00	3.632022279393690e+02	7.768343924926480e+00	5.301228842707250e+01	2.219877345958912e-01	1.150419135664521e+00	
20	5.286272000000000e-02	-4.342014000000000e-02	4.188018994439089e+01	4.140373253020079e+00	-1.205258909234411e+00	3.617220016045439e+02	7.736099897553334e+00	5.275974072882973e+01	2.370493537360891e-01	1.144942095598706e+00	
21	5.848516000000000e-02	-4.500149000000000e-02	4.178889705037140e+01	4.451618656081465e+00	-1.096417005954346e+00	3.617530166637401e+02	7.736132655376402e+00	5.275999730077465e+01	2.522993268590387e-01	1.139426933520908e+00	
22	6.435094000000000e-02	-4.630573000000000e-02	4.161494023838470e+01	4.732753958491863e+00	-1.032248023236014e+00	3.615157665270497e+02	7.730404231315751e+00	5.271513006709029e+01	2.672279922670269e-01	1.133875156374423e+00	
