"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 3.814900000000000e-03, -6.156870000000000e-03, 7.966868366214239e+00, 5.456720866429795e+01, 1.933604518426299e-02
0, 0.000000000000000e+00, 0.000000000000000e+00, 7.966985331773420e+00, 5.456812478381376e+01, 4.414162326967391e-02
10, 7.515780000000000e-03, -1.139016000000000e-02, 7.882643417341782e+00, 5.390752627641891e+01, 2.942127549130670e-02
11, 1.121780000000000e-02, -1.600319000000000e-02, 8.009625313226401e+00, 5.490209761681145e+01, 4.371333092921065e-02
12, 1.504287000000000e-02, -2.022853000000000e-02, 7.851889454326271e+00, 5.366664933876070e+01, 6.677168691660543e-02
13, 1.906356000000000e-02, -2.415398000000000e-02, 7.967111838162315e+00, 5.456911563079942e+01, 8.688303408069803e-02
14, 2.330331000000000e-02, -2.780207000000000e-02, 7.806553697465548e+00, 5.331156214972037e+01, 1.153640848881876e-01
15, 2.776113000000000e-02, -3.116357000000000e-02, 7.873039231425290e+00, 5.383230257627014e+01, 1.374562982862003e-01
16, 3.242232000000000e-02, -3.422623000000000e-02, 7.840498028525901e+00, 5.357742728432271e+01, 1.605767851796742e-01
17, 3.727102000000000e-02, -3.698100000000000e-02, 7.803886611644928e+00, 5.329067250162466e+01, 1.811325214999306e-01
18, 4.229250000000000e-02, -3.942617000000000e-02, 7.799001060243516e+00, 5.325240697273168e+01, 2.012506428567805e-01
19, 4.747996000000000e-02, -4.156626000000000e-02, 7.768343924926480e+00, 5.301228842707250e+01, 2.219877345958912e-01
20, 5.286272000000000e-02, -4.342014000000000e-02, 7.736099897553334e+00, 5.275974072882973e+01, 2.370493537360891e-01
21, 5.848516000000000e-02, -4.500149000000000e-02, 7.736132655376402e+00, 5.275999730077465e+01, 2.522993268590387e-01
22, 6.435094000000000e-02, -4.630573000000000e-02, 7.730404231315751e+00, 5.271513006709029e+01, 2.672279922670269e-01
23, 7.053657000000001e-02, -4.734168000000000e-02, 7.697598862141659e+00, 5.245818572266818e+01, 2.785350488463619e-01
24, 7.726405000000000e-02, -4.811551000000000e-02, 7.743084612996394e+00, 5.281444772270527e+01, 2.855446301106487e-01
25, 8.472904000000001e-02, -4.859270000000000e-02, 7.706255918088941e+00, 5.252599113443463e+01, 2.930803765339615e-01
26, 9.311933999999999e-02, -4.870849000000000e-02, 7.713127167546130e+00, 5.257980941880659e+01, 2.988220216567159e-01
27, 1.024694800000000e-01, -4.838416000000000e-02, 7.731289758379806e+00, 5.272206585768402e+01, 3.031201211250742e-01
28, 1.125390100000000e-01, -4.757577000000000e-02, 7.743094894571389e+00, 5.281452825197877e+01, 3.088425165841886e-01
29, 1.229723000000000e-01, -4.631580000000000e-02, 7.761192662119349e+00, 5.295627696980106e+01, 3.110509470612359e-01
30, 1.334922200000000e-01, -4.468338000000000e-02, 7.787914338645979e+00, 5.316557147950640e+01, 3.116666834839142e-01
31, 1.439923900000000e-01, -4.275924000000000e-02, 7.814070123230278e+00, 5.337043370456455e+01, 3.109176404959637e-01
