"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
246, -1.018590717000000e+01, 4.285710150000000e+00, 4.884049358739023e+00, 2.219456776422299e+03, 1.212247009236278e-01
3, -1.028571429000000e+01, 4.285714290000000e+00, 4.883890255772934e+00, 2.219365860441677e+03, 1.213025730104953e-01
247, -1.008610010000000e+01, 4.285625050000000e+00, 4.884191619584166e+00, 2.219538068333809e+03, 1.208780136385953e-01
248, -9.986293500000000e+00, 4.285317490000000e+00, 4.884691283640404e+00, 2.219823590651660e+03, 1.203637642733878e-01
249, -9.886488690000000e+00, 4.284648360000000e+00, 4.885183008534709e+00, 2.220104576305548e+03, 1.197669141170036e-01
250, -9.786688410000000e+00, 4.283491370000000e+00, 4.885672706141715e+00, 2.220384403509552e+03, 1.191551757357531e-01
251, -9.686897119999999e+00, 4.281723710000000e+00, 4.886246826446395e+00, 2.220712472255083e+03, 1.185323097784624e-01
252, -9.587121300000000e+00, 4.279234070000000e+00, 4.886729929597879e+00, 2.220988531198789e+03, 1.179215441070750e-01
253, -9.487369630000000e+00, 4.275917190000000e+00, 4.887234694828714e+00, 2.221276968473551e+03, 1.173355205419812e-01
254, -9.387653060000000e+00, 4.271675330000000e+00, 4.887671053483881e+00, 2.221526316276504e+03, 1.167981543129680e-01
255, -9.287984789999999e+00, 4.266421340000000e+00, 4.888077047708583e+00, 2.221758312976333e+03, 1.163138067512003e-01
256, -9.188380349999999e+00, 4.260071920000000e+00, 4.888428248090703e+00, 2.221958998908974e+03, 1.158965825721536e-01
257, -9.088857160000000e+00, 4.252556540000000e+00, 4.888700068914059e+00, 2.222114325093749e+03, 1.155508411759652e-01
258, -8.989434780000000e+00, 4.243808810000000e+00, 4.888937854252411e+00, 2.222250202429950e+03, 1.152851651577785e-01
259, -8.890134240000000e+00, 4.233772620000000e+00, 4.889087234956675e+00, 2.222335562832387e+03, 1.151034589795920e-01
260, -8.790977920000000e+00, 4.222400080000000e+00, 4.889149241256701e+00, 2.222370995003830e+03, 1.150127738878279e-01
261, -8.691989489999999e+00, 4.209648850000000e+00, 4.889177729474279e+00, 2.222387273985303e+03, 1.150287734547207e-01
262, -8.593192810000000e+00, 4.195488560000000e+00, 4.889111797415920e+00, 2.222349598523383e+03, 1.151289440767390e-01
263, -8.494612690000000e+00, 4.179892100000000e+00, 4.888951239856994e+00, 2.222257851346854e+03, 1.153162594780265e-01
264, -8.396273320000001e+00, 4.162843510000000e+00, 4.888722844934057e+00, 2.222127339962319e+03, 1.156173357211577e-01
265, -8.298198770000001e+00, 4.144332290000000e+00, 4.888412750145796e+00, 2.221950142940455e+03, 1.160245390171722e-01
266, -8.200412460000001e+00, 4.124354270000000e+00, 4.888012768861965e+00, 2.221721582206838e+03, 1.165335327226732e-01
267, -8.102936240000000e+00, 4.102914340000000e+00, 4.887527266458626e+00, 2.221444152262073e+03, 1.171443676554400e-01
268, -8.005791360000000e+00, 4.080019870000000e+00, 4.886944916704438e+00, 2.221111380973965e+03, 1.178628816556622e-01
269, -7.908996640000000e+00, 4.055687370000000e+00, 4.886295778641125e+00, 2.220740444937786e+03, 1.187047511461187e-01
270, -7.812569600000000e+00, 4.029936290000000e+00, 4.885561456469899e+00, 2.220320832268515e+03, 1.196347646643745e-01
271, -7.716525670000000e+00, 4.002791120000000e+00, 4.884709185347991e+00, 2.219833820198853e+03, 1.206654192546921e-01
272, -7.620877760000000e+00, 3.974281800000000e+00, 4.883770547852376e+00, 2.219297455915644e+03, 1.217951760557039e-01
273, -7.525637250000000e+00, 3.944439650000000e+00, 4.882734592675178e+00, 2.218705481528673e+03, 1.230407093640529e-01
274, -7.430812500000000e+00, 3.913301520000000e+00, 4.881597822097618e+00, 2.218055898341496e+03, 1.243897090223400e-01
275, -7.336410050000000e+00, 3.880905500000000e+00, 4.880365104198247e+00, 2.217351488113284e+03, 1.258419340598714e-01
276, -7.242434120000000e+00, 3.847292170000000e+00, 4.879025220873453e+00, 2.216585840499117e+03, 1.273987029693317e-01
277, -7.148886390000000e+00, 3.812504760000000e+00, 4.877595391105791e+00, 2.215768794917595e+03, 1.290611905464374e-01
