"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Sharp_Edge_Dist"
0	9.997500181200000e-01	-3.632896519016437e-05	1.179674848837186e+00	7.234126828351511e-01	8.674736590706297e-02	3.382715459271664e+00	1.263086635832938e+00	5.872469549842375e-01	5.768371016267728e-01	2.526078661485749e-04	
1	9.990000128750000e-01	-1.452537504052920e-04	1.163399615444415e+00	7.603409526040559e-01	1.028501566199664e-01	3.348333751085813e+00	1.238130695979432e+00	5.315417320969459e-01	6.196967850071237e-01	1.010481519956036e-03	
2	9.977599978450000e-01	-3.251111630156300e-04	1.148438184306827e+00	7.854538704985089e-01	1.095299385724797e-01	3.313367867451895e+00	1.215818467297508e+00	4.817376502176509e-01	6.522799131003394e-01	2.263472315430854e-03	
3	9.960200190539999e-01	-5.769983605901485e-04	1.136165447225234e+00	8.038438559334646e-01	1.135271442461992e-01	3.284065711145137e+00	1.197612660066953e+00	4.410996876494491e-01	6.778660915191709e-01	4.021588670991499e-03	
4	9.937800168990000e-01	-9.004365425509819e-04	1.125721479667679e+00	8.181694934618993e-01	1.161641381131897e-01	3.258826588915773e+00	1.182204812198902e+00	4.067071700868356e-01	6.990115944612882e-01	6.284821059018870e-03	
5	9.910500049590000e-01	-1.293363843462116e-03	1.116569168737926e+00	8.299003990754615e-01	1.179451320768834e-01	3.236538391559548e+00	1.168757371961668e+00	3.766905624144368e-01	7.172058799323738e-01	9.042964185791081e-03	
6	9.878399968150000e-01	-1.753609743384430e-03	1.108338728338042e+00	8.398512427368386e-01	1.191854333141119e-01	3.216374352439189e+00	1.156705811670803e+00	3.497897581937569e-01	7.333463989768159e-01	1.228579767826667e-02	
7	9.841300249100000e-01	-2.283176811071472e-03	1.100766228267964e+00	8.485593134066323e-01	1.200668630435198e-01	3.197753827335593e+00	1.145654675260636e+00	3.251220429924906e-01	7.480540722122611e-01	1.603337162632472e-02	
8	9.799500107769999e-01	-2.876826092032643e-03	1.093736873577560e+00	8.562762449583400e-01	1.206582000063924e-01	3.180395797849592e+00	1.135422066212233e+00	3.022813977951628e-01	7.615982476991110e-01	2.025532513207868e-02	
9	9.752799868580000e-01	-3.536324145770189e-03	1.087116575534751e+00	8.632485827651616e-01	1.210339169838898e-01	3.164006982352582e+00	1.125811469396406e+00	2.808291727598354e-01	7.742790358061328e-01	2.497167671992833e-02	
10	9.701499938960000e-01	-4.256268552403566e-03	1.080851746786736e+00	8.695897361191740e-01	1.212162651033327e-01	3.148452638502306e+00	1.116738052901983e+00	2.605760109419268e-01	7.862161985641535e-01	3.015192674438928e-02	
11	9.645400047300000e-01	-5.038225493362627e-03	1.074863683789459e+00	8.754326683198362e-01	1.212430319219910e-01	3.133556708340761e+00	1.108086629782518e+00	2.412647986216910e-01	7.975807507607511e-01	3.581612738237330e-02	
12	9.584699869160000e-01	-5.878077433056352e-03	1.069121348102624e+00	8.808414038357215e-01	1.211249609117964e-01	3.119241406408261e+00	1.099808236084712e+00	2.227862412605171e-01	8.084412828351938e-01	4.194393616562725e-02	
13	9.519400000570000e-01	-6.774428848839826e-03	1.063585230068824e+00	8.858799681464334e-01	1.208790646024182e-01	3.105414825393687e+00	1.091845101394075e+00	2.050113870403462e-01	8.188789395528731e-01	4.853510565301323e-02	
14	9.449599981310000e-01	-7.724467125531491e-03	1.058233102963880e+00	8.905942183228353e-01	1.205142265440628e-01	3.092024746244487e+00	1.084162672050723e+00	1.878631072560774e-01	8.289449345419792e-01	5.557939544573101e-02	
15	9.375399947170000e-01	-8.725349486403867e-03	1.053038715484041e+00	8.950207235476577e-01	1.200360023590938e-01	3.079004989523730e+00	1.076722459957425e+00	1.712554909763946e-01	8.386879790906040e-01	6.306650445055818e-02	
16	9.296900033950000e-01	-9.774221272349531e-03	1.047990831641898e+00	8.991924401387591e-01	1.194320984946043e-01	3.066332723281594e+00	1.069506702113350e+00	1.551488886458695e-01	8.481380603823206e-01	7.098613261811047e-02	
17	9.214000105860000e-01	-1.087086069705918e-02	1.043073257032394e+00	9.031327828606242e-01	1.187260519276436e-01	3.053970494173848e+00	1.062492047271709e+00	1.394911769457785e-01	8.573271063881048e-01	7.934818175721346e-02	
18	9.126999974250000e-01	-1.200973104171110e-02	1.038272509845468e+00	9.068607265416055e-01	1.179555248651240e-01	3.041879890781282e+00	1.055655543711885e+00	1.242311243568853e-01	8.662861715594149e-01	8.812221110077330e-02	
19	9.035800099370001e-01	-1.319055953446835e-02	1.033573303895275e+00	9.104081690912954e-01	1.171102416193856e-01	3.030035927591443e+00	1.048976521691024e+00	1.093225930603216e-01	8.750524698356275e-01	9.731806278682988e-02	
20	8.940600156780000e-01	-1.440916392228702e-02	1.028971060178155e+00	9.137833303652168e-01	1.161884883402701e-01	3.018422411679545e+00	1.042446981437569e+00	9.474772642314502e-02	8.836329064214704e-01	1.069154071361324e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.024457365813265e+00	9.169952177858520e-01	1.151985726977384e-01	3.007017001786678e+00	1.036054924238943e+00	8.047974160478240e-02	8.920404179733833e-01	1.169039600137653e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.020018888899215e+00	9.200618092924414e-01	1.141460762811579e-01	2.995787820235680e+00	1.029780394276456e+00	6.647409436708943e-02	9.003040417572695e-01	1.272835937200873e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.015647472973506e+00	9.229927237796719e-01	1.130323385288403e-01	2.984714049530583e+00	1.023611602357739e+00	5.270446954852519e-02	9.084384129861861e-01	1.380338831033331e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.011341487594892e+00	9.257967488964400e-01	1.118592901238918e-01	2.973794569650617e+00	1.017545822020301e+00	3.916478129531441e-02	9.164500870704092e-01	1.491345380639405e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.007078290965991e+00	9.284878902535274e-01	1.106365683036043e-01	2.962970387250602e+00	1.011551165514880e+00	2.578385159571404e-02	9.243786113876827e-01	1.606054984440159e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.002859607125585e+00	9.310719827974426e-01	1.093577204794088e-01	2.952246840861767e+00	1.005629108984242e+00	1.256497541125536e-02	9.322246179778163e-01	1.724063756247560e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	9.986808409850610e-01	9.335528272951740e-01	1.080271188864464e-01	2.941613352864028e+00	9.997738715989294e-01	-5.047508952469045e-04	9.399948427037224e-01	1.845269307674343e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	9.945263694466042e-01	9.359433282563145e-01	1.066491625499132e-01	2.931029369582085e+00	9.939621893613234e-01	-1.347725588990310e-02	9.477221443296752e-01	1.969770253741433e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	9.903955110020438e-01	9.382445040533608e-01	1.052178974853208e-01	2.920493871927909e+00	9.881939955572135e-01	-2.635268848836262e-02	9.554053350476333e-01	2.097263278202075e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	9.862794720803122e-01	9.404637206760407e-01	1.037370743739081e-01	2.909983892880701e+00	9.824560891526256e-01	-3.916051528431783e-02	9.630636417682934e-01	2.227646738843796e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	9.821725659037183e-01	9.426052801860031e-01	1.022032003033990e-01	2.899485803749979e+00	9.767409071420682e-01	-5.191761798645494e-02	9.707076266782496e-01	2.360717718972793e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	9.780623461994625e-01	9.446767544799861e-01	1.006170829454114e-01	2.888967964582141e+00	9.710308594713823e-01	-6.466326010852154e-02	9.783622977525305e-01	2.496474188084188e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	9.739371185727412e-01	9.466818205238015e-01	9.897578306292670e-02	2.878398847789332e+00	9.653100175057785e-01	-7.743299663888728e-02	9.860477055282836e-01	2.634814578483267e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	9.697928488130375e-01	9.486229762241841e-01	9.727457461069323e-02	2.867768370142272e+00	9.595728874761562e-01	-9.023909045500844e-02	9.937727046402040e-01	2.775436645494694e-01	
35	7.103199958800001e-01	-3.530689307158652e-02	9.656268396992553e-01	9.505021521973634e-01	9.551062615725296e-02	2.857070165807164e+00	9.538157929430175e-01	-1.030897478950501e-01	1.001544292135731e+00	2.918237164545261e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	9.614240561961604e-01	9.523240099953204e-01	9.368097690952895e-02	2.846265063351134e+00	9.480183545677429e-01	-1.160304585541454e-01	1.009390433480645e+00	3.063215295591560e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	9.571793370298262e-01	9.540893068995533e-01	9.177923288887464e-02	2.835339097888114e+00	9.421737365967257e-01	-1.290764808108802e-01	1.017321419083197e+00	3.210068374391311e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	9.528893783654206e-01	9.557996890361881e-01	8.980040746248948e-02	2.824284698230746e+00	9.362775414199972e-01	-1.422376307589348e-01	1.025346539176043e+00	3.358694399341663e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	9.485426879847154e-01	9.574565947837991e-01	8.773930607166627e-02	2.813069076071015e+00	9.303136158174320e-01	-1.555499646932321e-01	1.033488381294467e+00	3.508991342828849e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	9.441282087928278e-01	9.590608386517460e-01	8.559295443169361e-02	2.801666671365763e+00	9.242687985432114e-01	-1.690428603946173e-01	1.041766969244718e+00	3.660756648839702e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	9.396432684221073e-01	9.606084977404769e-01	8.334970083268566e-02	2.790066370213668e+00	9.181395648431274e-01	-1.827241856180191e-01	1.050186465426808e+00	3.813789025471583e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	9.350830589910507e-01	9.620984894657846e-01	8.100123717436115e-02	2.778255302247524e+00	9.119198959954901e-01	-1.966073750100668e-01	1.058757803990728e+00	3.967985904187680e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	9.304374299483579e-01	9.635312170210771e-01	7.854173647957549e-02	2.766206903561487e+00	9.055963438187989e-01	-2.107224468330380e-01	1.067503272994136e+00	4.123245286206287e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	9.256940466300843e-01	9.649075111370092e-01	7.596449207585552e-02	2.753890643120692e+00	8.991530739253704e-01	-2.251047457022983e-01	1.076449780395354e+00	4.279365351338582e-01	
