"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.273545949638444e+00, 6.105936375858124e-01, 5.383567048093023e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.263086635832938e+00, 5.872469549842375e-01, 5.768371016267728e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.238130695979432e+00, 5.315417320969459e-01, 6.196967850071237e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.215818467297508e+00, 4.817376502176509e-01, 6.522799131003394e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.197612660066953e+00, 4.410996876494491e-01, 6.778660915191709e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.182204812198902e+00, 4.067071700868356e-01, 6.990115944612882e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.168757371961668e+00, 3.766905624144368e-01, 7.172058799323738e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.156705811670803e+00, 3.497897581937569e-01, 7.333463989768159e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.145654675260636e+00, 3.251220429924906e-01, 7.480540722122611e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.135422066212233e+00, 3.022813977951628e-01, 7.615982476991110e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.125811469396406e+00, 2.808291727598354e-01, 7.742790358061328e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.116738052901983e+00, 2.605760109419268e-01, 7.862161985641535e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.108086629782518e+00, 2.412647986216910e-01, 7.975807507607511e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.099808236084712e+00, 2.227862412605171e-01, 8.084412828351938e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.091845101394075e+00, 2.050113870403462e-01, 8.188789395528731e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.084162672050723e+00, 1.878631072560774e-01, 8.289449345419792e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.076722459957425e+00, 1.712554909763946e-01, 8.386879790906040e-01
