"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Eddy_Viscosity"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.637198446048559e+00, 9.979056747419123e-01, -1.881294636746917e-05, 9.999999999999999e-01, 3.726699577136241e-03, 2.557814070737491e+01, 4.997609439509659e-01, 4.997609439064212e-01, 5.274396892097117e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, -1.511710163736319e-19, 1.233703487675888e-18, -2.825327937044821e-14, -0.000000000000000e+00, -3.469446951953614e-18, -4.607859233063394e-18, -4.499439015814843e-18, 1.456986111606512e-04
1, 0.000000000000000e+00, 1.500000000000000e-02, 2.823371127709494e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.999999999999998e-01, 1.000000000000000e-10, 1.719130144669442e+06, 4.991694207071891e-01, 4.991694206216521e-01, 5.646742255418988e+00, 1.000000000000000e+00, 1.458439571647119e-05, 1.940667959577184e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.759571892668663e+00, 3.726944967918921e-20, -0.000000000000000e+00, -0.000000000000000e+00, 1.420203996667998e-14, -0.000000000000000e+00, -0.000000000000000e+00, -4.861969117239684e-19, -8.216219588366713e-19, 5.816895265903687e-17
2, 4.500000000000000e-02, 1.500000000000000e-02, 2.650537440558478e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 1.719130145566324e+06, 5.354367700631683e-01, 3.180864355774249e-01, 5.301074881116956e+00, 1.000000000000000e+00, 1.458439571647119e-05, -9.713069613228134e-05, -9.713069610700988e-05, 1.700977688150888e-12, 4.681307263546292e-02, -2.055130231887997e-21, -0.000000000000000e+00, -0.000000000000000e+00, -7.897863261121792e-16, -0.000000000000000e+00, -0.000000000000000e+00, 9.889109659193956e-20, -1.363723045079424e-19, 5.816895262868973e-17
3, 4.500000000000000e-02, 6.000000000000000e-02, 2.817945843342353e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 9.323053395739864e+05, 5.993640673408887e-01, 6.272161611556560e-10, 5.635891686684706e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, -1.695275452538184e-01, 0.000000000000000e+00, 2.233195926064466e+00, 8.470329472543003e-20, -0.000000000000000e+00, -0.000000000000000e+00, 2.665732234475176e-14, -0.000000000000000e+00, -0.000000000000000e+00, -2.812149384884277e-19, -7.257520328033309e-28, 1.072609967520884e-16
4, 6.000000000000000e-02, 6.000000000000000e-02, 2.816651860143992e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 9.323053395664688e+05, 5.991789387109437e-01, 2.316448653748349e-10, 5.633303720287984e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, -1.694751381936964e-01, 0.000000000000000e+00, 2.232850718811326e+00, 4.743384504624082e-20, -0.000000000000000e+00, -0.000000000000000e+00, 1.422282446903169e-14, -0.000000000000000e+00, -0.000000000000000e+00, 1.531435568635775e-18, -1.972152263052530e-29, 1.072609967529533e-16
5, 6.000000000000000e-02, 1.500000000000000e-02, -2.404983615579209e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.999999999999999e-01, 1.000000000000000e-10, 1.719130144669442e+06, 5.760859702661080e-01, 8.727255659172480e-03, -4.809967231158417e+00, 1.000000000000000e+00, 1.458439571647119e-05, -4.484257826626598e-02, 2.242128913893093e-02, -5.066183017588939e-12, 8.943431578238170e-01, -2.371692252312041e-20, -0.000000000000000e+00, -0.000000000000000e+00, -8.797569166427271e-15, -0.000000000000000e+00, -0.000000000000000e+00, -2.812149384884277e-19, -3.811648262644352e-21, 5.816895265903687e-17
6, 1.500000000000000e-01, 1.500000000000000e-02, 1.972475837104398e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.999999999999998e-01, 1.000000000000000e-10, 1.719130145566324e+06, 5.517592601936807e-01, 2.327494798425485e-01, 3.944951674208795e-03, 1.000000000000000e+00, 1.458439571647119e-05, 3.602143503374259e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.580745262378396e-01, -2.338439591687409e-21, -0.000000000000000e+00, -0.000000000000000e+00, -7.038640503775895e-16, -0.000000000000000e+00, -0.000000000000000e+00, -2.347015800278359e-18, -4.315401255689145e-20, 5.816895262868973e-17
7, 1.500000000000000e-01, 0.000000000000000e+00, 3.203957602160107e-03, 2.502717225171702e+00, 1.180894780564020e-05, 9.999999999999997e-01, 1.438612787834270e-02, 1.440197972663625e+02, 5.469656404346341e-01, 2.658343654401732e-01, 6.407915204320215e-03, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, -1.925534713854748e-18, -2.400491372518687e-18, -3.410605131648481e-13, -3.388131789017201e-21, -5.551115123125783e-17, -1.734723475976807e-18, -1.301042606982605e-18, 9.988993285232701e-05
8, 6.000000000000000e-02, 0.000000000000000e+00, 8.841891625702598e-01, 2.126724853796226e+00, 7.368787327894702e-04, 9.999999999999998e-01, 1.219610747755001e-02, 1.061805257706251e+02, 5.068557665461596e-01, 4.651388895790491e-01, 1.768378325140520e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.336808689942018e-19, 1.263916821140542e-18, -1.124012721006457e-18, 1.120776774935430e-13, -4.658681209898652e-21, -5.984795992119984e-17, -1.216762828730802e-18, -1.363723045079424e-19, 1.148619993076364e-04
9, 4.500000000000000e-02, 0.000000000000000e+00, 2.400176712862427e+00, 1.222059729328800e+00, -4.472600140958524e-04, 9.999999999999997e-01, 4.540100160354463e-03, 2.839575472070331e+01, 4.996787764450785e-01, 4.989844790255373e-01, 4.800353425724853e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.084202172485504e-19, -8.191325058943172e-19, -2.873559273560214e-19, 6.395351136899922e-14, 3.441071348220595e-22, 2.005774019098183e-18, 1.346888265252744e-18, 1.998733057724132e-18, 1.598865818151430e-04
