"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
0, 2.025000000000000e+01, 0.000000000000000e+00, 1.224652827372976e+00, 3.317007276465199e+02, 7.146611528428165e-01, 2.981698783684855e+05, 0.000000000000000e+00, 0.000000000000000e+00
1, 2.018168986013340e+01, 1.651586909446646e+00, 1.225694668459697e+00, 3.325808155482410e+02, 7.390872659149624e-01, 2.986540939917929e+05, 0.000000000000000e+00, 0.000000000000000e+00
2, 1.997722606805445e+01, 3.291891805614678e+00, 1.226048238582726e+00, 3.326114691697412e+02, 7.111557350716334e-01, 2.987366045519879e+05, 0.000000000000000e+00, 0.000000000000000e+00
3, 1.963800531878661e+01, 4.909709742815982e+00, 1.225640450231978e+00, 3.320631689112932e+02, 4.521647920425355e-01, 2.984885765569329e+05, 0.000000000000000e+00, 0.000000000000000e+00
4, 1.916634483401269e+01, 6.493989384093669e+00, 1.225116627295580e+00, 3.317134947856586e+02, 1.745428892906580e-01, 2.982638958951757e+05, 0.000000000000000e+00, 0.000000000000000e+00
5, 1.856546653310115e+01, 8.033908493059389e+00, 1.224851013341626e+00, 3.316419859190458e+02, 4.280417611239454e-02, 2.981759787252861e+05, 0.000000000000000e+00, 0.000000000000000e+00
6, 1.783947502412978e+01, 9.518947860741470e+00, 1.224716865732268e+00, 3.316000190509392e+02, -2.965959604079324e-02, 2.981312086351120e+05, 0.000000000000000e+00, 0.000000000000000e+00
7, 1.699332956525057e+01, 1.093896316244854e+01, 1.224579414118357e+00, 3.315460481204532e+02, -1.145351686846472e-01, 2.980818362078345e+05, 0.000000000000000e+00, 0.000000000000000e+00
8, 1.603281018792787e+01, 1.228425425379336e+01, 1.224424726992266e+00, 3.315050773414280e+02, -2.093441158321482e-01, 2.980307533785429e+05, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.496447821346263e+01, 1.354563143251482e+01, 1.224257442696547e+00, 3.314820875544540e+02, -3.087904783447600e-01, 2.979824007160855e+05, 0.000000000000000e+00, 0.000000000000000e+00
10, 1.379563143251482e+01, 1.471447821346263e+01, 1.224124144438788e+00, 3.314964567575827e+02, -4.046225049035103e-01, 2.979494212497593e+05, 0.000000000000000e+00, 0.000000000000000e+00
11, 1.253425425379335e+01, 1.578281018792787e+01, 1.224052579493262e+00, 3.315500011405392e+02, -4.682157125031453e-01, 2.979386744249919e+05, 0.000000000000000e+00, 0.000000000000000e+00
12, 1.118896316244854e+01, 1.674332956525057e+01, 1.224121849285499e+00, 3.316573295328044e+02, -4.208958931861795e-01, 2.979784132713323e+05, 0.000000000000000e+00, 0.000000000000000e+00
13, 9.768947860741472e+00, 1.758947502412978e+01, 1.224500149943764e+00, 3.318072346346323e+02, -1.530747667484607e-01, 2.981216719071377e+05, 0.000000000000000e+00, 0.000000000000000e+00
