"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
0, 9.999596238181493e-01, 7.792570004008265e-03, 6.606778548428077e-01, -7.833516006338874e-03, 7.559107901847710e-01, 1.531296124022285e+05, 0.000000000000000e+00, -1.185678622429158e-02, 1.144144294414356e+00
1, 1.331554933381440e-05, -2.569890107704851e-03, 1.120710041938674e+00, 4.382217708081266e-03, -4.228708600067814e-01, 2.607079304878747e+05, 0.000000000000000e+00, 3.910216733542965e-03, -3.773241822004791e-01
2, 9.989643536759174e-01, 7.889715997136514e-03, 8.473657924489780e-01, -1.017228760537035e-02, 9.682256483940606e-01, 1.966263539369630e+05, 0.000000000000000e+00, -1.200459872677481e-02, 1.142629940958976e+00
3, 9.979008770703759e-01, 7.993519463783374e-03, 8.250121505150529e-01, -1.003425708587354e-02, 9.413498301391164e-01, 1.914767719595569e+05, 0.000000000000000e+00, -1.216254090923054e-02, 1.141011807947665e+00
4, 9.967646793347321e-01, 8.104421070026263e-03, 8.251644866686115e-01, -1.017535030378378e-02, 9.400971200163145e-01, 1.915093398280645e+05, 0.000000000000000e+00, -1.233128326720438e-02, 1.139283026088390e+00
5, 9.955509698612139e-01, 8.222888415896554e-03, 8.234459428558173e-01, -1.030258897578017e-02, 9.366186176182214e-01, 1.910791620754376e+05, 0.000000000000000e+00, -1.251153727760412e-02, 1.137436306231077e+00
6, 9.942546685413854e-01, 8.349417358908661e-03, 8.223805521416521e-01, -1.044758440466396e-02, 9.337847542908942e-01, 1.908059796440681e+05, 0.000000000000000e+00, -1.270405741251577e-02, 1.135463918735865e+00
7, 9.928703920364906e-01, 8.484533354180430e-03, 8.209229858809851e-01, -1.059783774950722e-02, 9.304006749322385e-01, 1.904515767326022e+05, 0.000000000000000e+00, -1.290964317826387e-02, 1.133357672582747e+00
8, 9.913924399637453e-01, 8.628792802756750e-03, 8.196340069802908e-01, -1.076110581484692e-02, 9.270966276825331e-01, 1.901409095633632e+05, 0.000000000000000e+00, -1.312914116695359e-02, 1.131108894353321e+00
9, 9.898147811013118e-01, 8.782784398108777e-03, 8.182556991016854e-01, -1.093473246589864e-02, 9.235734139549973e-01, 1.898099197420820e+05, 0.000000000000000e+00, -1.336344710523678e-02, 1.128708407240968e+00
10, 9.881310397335238e-01, 8.947130458946103e-03, 8.169080758375766e-01, -1.112100069562182e-02, 9.199595161259514e-01, 1.894866508032709e+05, 0.000000000000000e+00, -1.361350788225261e-02, 1.126146510274423e+00
11, 9.863344822788370e-01, 9.122488234430126e-03, 8.155168135620712e-01, -1.131965388277188e-02, 9.161635043351857e-01, 1.891521903521216e+05, 0.000000000000000e+00, -1.388032353557519e-02, 1.123412957971534e+00
12, 9.844180043663154e-01, 9.309551165608457e-03, 8.141081294041133e-01, -1.153181734382709e-02, 9.122070187905744e-01, 1.888137985558171e+05, 0.000000000000000e+00, -1.416494917054927e-02, 1.120496940675487e+00
13, 9.823741185520318e-01, 9.509050084388298e-03, 8.126576197254060e-01, -1.175795160411829e-02, 9.080544606057013e-01, 1.884651681779913e+05, 0.000000000000000e+00, -1.446849678458844e-02, 1.117387065864692e+00
14, 9.801949428948379e-01, 9.721754328629184e-03, 8.111680382437317e-01, -1.199892682592275e-02, 9.037004274252893e-01, 1.881081576524318e+05, 0.000000000000000e+00, -1.479213696384463e-02, 1.114071340770245e+00
15, 9.778721906414402e-01, 9.948472748957828e-03, 8.096296475835690e-01, -1.225546446488514e-02, 8.991252146970083e-01, 1.877400714327249e+05, 0.000000000000000e+00, -1.513710041512747e-02, 1.110537156681252e+00
16, 9.753971613036582e-01, 1.019005457969680e-02, 8.080443396845682e-01, -1.252848788917062e-02, 8.943216598827215e-01, 1.873610249819325e+05, 0.000000000000000e+00, -1.550467929106591e-02, 1.106771275368432e+00
17, 9.727607334458938e-01, 1.044739014286270e-02, 8.064051561945382e-01, -1.281881997108699e-02, 8.892725587071989e-01, 1.869693418705741e+05, 0.000000000000000e+00, -1.589622826127681e-02, 1.102759818109890e+00
18, 9.699533595381488e-01, 1.072141135055054e-02, 8.047119871165481e-01, -1.312741975911343e-02, 8.839680231719451e-01, 1.865645225307081e+05, 0.000000000000000e+00, -1.631316527676795e-02, 1.098488257859720e+00
19, 9.669650632689998e-01, 1.101309196720873e-02, 8.029562508060860e-01, -1.345513692194718e-02, 8.783885031727948e-01, 1.861453450730518e+05, 0.000000000000000e+00, -1.675697196900258e-02, 1.093941415159568e+00
20, 9.637854397532806e-01, 1.132344758936736e-02, 8.011393539701847e-01, -1.380300802793727e-02, 8.725250939009407e-01, 1.857119623867762e+05, 0.000000000000000e+00, -1.722919361905502e-02, 1.089103458454627e+00
21, 9.604036591103574e-01, 1.165353529637104e-02, 7.992684961850520e-01, -1.417220327631267e-02, 8.663748137309872e-01, 1.852661261949828e+05, 0.000000000000000e+00, -1.773143862618309e-02, 1.083957909538164e+00
22, 9.568084739298948e-01, 1.200445292166276e-02, 7.972547767666490e-01, -1.456218162573338e-02, 8.598307480218220e-01, 1.847864313999009e+05, 0.000000000000000e+00, -1.826537739905004e-02, 1.078487654911056e+00
