"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
0, 9.997500181200000e-01, 4.864453988453058e-01, 1.228314560536079e-04, 0.000000000000000e+00, -1.159431568092759e-02, 3.346172579593898e+01, 0.000000000000000e+00, -9.444057655626068e+01
1, 9.990000128750000e-01, 4.863453988403056e-01, 1.343891550398574e-04, 0.000000000000000e+00, -1.268743520848016e-02, 3.729304389727666e+01, 0.000000000000000e+00, -9.444057655626068e+01
2, 9.977599978450000e-01, 4.861553988343056e-01, 1.341368341277282e-04, 0.000000000000000e+00, -1.266345916836407e-02, 3.732458552687027e+01, 0.000000000000000e+00, -9.444057655626068e+01
3, 9.960200190539999e-01, 4.859053988513055e-01, 1.401374744920200e-04, 0.000000000000000e+00, -1.323263267031172e-02, 3.998033853715044e+01, 0.000000000000000e+00, -9.444057655626068e+01
4, 9.937800168990000e-01, 4.855853988593054e-01, 1.406702748441448e-04, 0.000000000000000e+00, -1.328287085598356e-02, 4.016318752445672e+01, 0.000000000000000e+00, -9.444057655626068e+01
5, 9.910500049590000e-01, 4.851953988003056e-01, 1.394560768610921e-04, 0.000000000000000e+00, -1.316739639829301e-02, 3.990132504529173e+01, 0.000000000000000e+00, -9.444057655626068e+01
6, 9.878399968150000e-01, 4.847353987903057e-01, 1.390449414842458e-04, 0.000000000000000e+00, -1.312856100777901e-02, 3.981202858178137e+01, 0.000000000000000e+00, -9.444057655626068e+01
7, 9.841300249100000e-01, 4.842053989453058e-01, 1.470408017176641e-04, 0.000000000000000e+00, -1.389177215588516e-02, 4.264661527219247e+01, 0.000000000000000e+00, -9.444057655626068e+01
8, 9.799500107769999e-01, 4.836053988003054e-01, 1.464669763078374e-04, 0.000000000000000e+00, -1.383741775132471e-02, 4.270741063251169e+01, 0.000000000000000e+00, -9.444057655626068e+01
9, 9.752799868580000e-01, 4.829453988973057e-01, 1.481406745538522e-04, 0.000000000000000e+00, -1.399552822324593e-02, 4.331534201435143e+01, 0.000000000000000e+00, -9.444057655626068e+01
10, 9.701499938960000e-01, 4.822253990033055e-01, 1.482487249009433e-04, 0.000000000000000e+00, -1.400573088648369e-02, 4.343309433954423e+01, 0.000000000000000e+00, -9.444057655626068e+01
11, 9.645400047300000e-01, 4.814453986513055e-01, 1.455806654549810e-04, 0.000000000000000e+00, -1.375290976931078e-02, 4.214869650471982e+01, 0.000000000000000e+00, -9.444057655626068e+01
12, 9.584699869160000e-01, 4.806053987743056e-01, 1.460814255815224e-04, 0.000000000000000e+00, -1.380034985395678e-02, 4.201434563180693e+01, 0.000000000000000e+00, -9.444057655626068e+01
13, 9.519400000570000e-01, 4.797153989823054e-01, 1.443705997686555e-04, 0.000000000000000e+00, -1.363848687007011e-02, 4.123277984694018e+01, 0.000000000000000e+00, -9.444057655626068e+01
14, 9.449599981310000e-01, 4.787653987333055e-01, 1.444317812794977e-04, 0.000000000000000e+00, -1.364435292746334e-02, 4.121151889846023e+01, 0.000000000000000e+00, -9.444057655626068e+01
15, 9.375399947170000e-01, 4.777653985703053e-01, 1.435217762725665e-04, 0.000000000000000e+00, -1.355371452811993e-02, 4.051945133977132e+01, 0.000000000000000e+00, -9.444057655626068e+01
16, 9.296900033950000e-01, 4.767153984913052e-01, 1.438490897803143e-04, 0.000000000000000e+00, -1.358465262535970e-02, 4.048463131682256e+01, 0.000000000000000e+00, -9.444057655626068e+01
17, 9.214000105860000e-01, 4.756153984973056e-01, 1.443274290603872e-04, 0.000000000000000e+00, -1.363093355772944e-02, 4.051060946232905e+01, 0.000000000000000e+00, -9.444057655626068e+01
18, 9.126999974250000e-01, 4.744753991293055e-01, 1.441073694448526e-04, 0.000000000000000e+00, -1.361007905446143e-02, 4.053936396277526e+01, 0.000000000000000e+00, -9.444057655626068e+01
19, 9.035800099370001e-01, 4.732953985263054e-01, 1.461831370456242e-04, 0.000000000000000e+00, -1.380747541650843e-02, 4.118770278966581e+01, 0.000000000000000e+00, -9.444057655626068e+01
