"Time_Iter",    "Cur_Time"    ,      "mic1"
       5000,            0.0015,       949.1589812
       5001,             0.003,       949.0958032
       5002,            0.0045,       949.0417146
       5003,             0.006,       948.9949664
       5004,            0.0075,       948.9538284
       5005,             0.009,        948.912665
       5006,            0.0105,       948.8674114
       5007,             0.012,        948.818137
       5008,            0.0135,       948.7744029
       5009,             0.015,        948.731612
       5010,            0.0165,       948.6898931
       5011,             0.018,       948.6480108
       5012,            0.0195,       948.6104238
       5013,             0.021,       948.5775044
       5014,            0.0225,       948.5444051
       5015,             0.024,       948.5116328
       5016,            0.0255,       948.4817409
       5017,             0.027,       948.4497866
       5018,            0.0285,        948.414993
       5019,              0.03,       948.3802015
       5020,            0.0315,       948.3465571
       5021,             0.033,       948.3154248
       5022,            0.0345,       948.2832523
       5023,             0.036,       948.2497001
       5024,            0.0375,       948.2193847
       5025,             0.039,       948.1901693
       5026,            0.0405,       948.1614261
       5027,             0.042,       948.1332168
       5028,            0.0435,       948.0993509
       5029,             0.045,       948.0640357
       5030,            0.0465,       948.0287085
       5031,             0.048,       947.9926316
       5032,            0.0495,        947.957348
       5033,             0.051,       947.9209899
       5034,            0.0525,       947.8865192
       5035,             0.054,       947.8532565
       5036,            0.0555,       947.8197278
       5037,             0.057,       947.7865588
       5038,            0.0585,       947.7503611
       5039,              0.06,       947.7119438
       5040,            0.0615,       947.6725128
       5041,             0.063,       947.6345767
       5042,            0.0645,       947.5970791
       5043,             0.066,       947.5566997
       5044,            0.0675,       947.5154106
       5045,             0.069,       947.4729805
       5046,            0.0705,       947.4293237
       5047,             0.072,        947.385491
       5048,            0.0735,       947.3440444
       5049,             0.075,       947.3050883
       5050,            0.0765,       947.2669214
       5051,             0.078,       947.2291447
       5052,            0.0795,       947.1899791
       5053,             0.081,       947.1497222
       5054,            0.0825,       947.1068513
       5055,             0.084,       947.0593266
       5056,            0.0855,       947.0124602
       5057,             0.087,       946.9710807
       5058,            0.0885,       946.9300155
       5059,              0.09,       946.8860057
       5060,            0.0915,       946.8409951
       5061,             0.093,       946.7968144
       5062,            0.0945,       946.7528018
       5063,             0.096,       946.7054877
       5064,            0.0975,       946.6555962
       5065,             0.099,       946.6069655
       5066,            0.1005,       946.5598635
       5067,             0.102,       946.5120735
       5068,            0.1035,       946.4635326
       5069,             0.105,       946.4148685
       5070,            0.1065,       946.3663118
       5071,             0.108,       946.3202853
       5072,            0.1095,       946.2786288
       5073,             0.111,       946.2371021
       5074,            0.1125,       946.1932418
       5075,             0.114,        946.149233
       5076,            0.1155,       946.1069766
       5077,             0.117,       946.0681272
       5078,            0.1185,       946.0331429
       5079,              0.12,       946.0013439
       5080,            0.1215,       945.9727027
       5081,             0.123,       945.9456677
       5082,            0.1245,       945.9164049
       5083,             0.126,       945.8865259
       5084,            0.1275,       945.8616766
       5085,             0.129,       945.8440289
       5086,            0.1305,       945.8315293
       5087,             0.132,       945.8226836
       5088,            0.1335,       945.8160494
       5089,             0.135,       945.8102356
       5090,            0.1365,       945.8065738
       5091,             0.138,       945.8073363
