"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","Species_0"
0, 0.000000000000000e+00, 0.000000000000000e+00, -5.789626592380636e+01, 6.542446796393619e+01, 0.000000000000000e+00, 2.926567541186638e-01, 7.624367297408372e+03, 1.000000000000000e+00
1, -1.578000000000000e-01, 0.000000000000000e+00, 1.380514219794810e+03, 5.398113344014210e+01, 0.000000000000000e+00, 2.508053908445170e+00, 1.200721301899390e+05, 1.000000000000000e+00
2, -1.578000000000000e-01, 2.630000000000000e-03, 1.398667416381440e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.308490538548057e+08, 9.999999999999994e-01
3, 0.000000000000000e+00, 2.630000000000000e-03, -1.754254287337583e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 5.094959532688074e+08, 9.852969704322497e-01
4, 0.000000000000000e+00, 4.500000000000000e-03, -6.083953921502159e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.753567305154920e+09, 3.030738783776157e-14
5, -1.578000000000000e-01, 4.500000000000000e-03, -1.505978272557469e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.686239907020706e+08, 1.992654169768545e-38
6, -1.578000000000000e-01, 1.052000000000000e-01, -1.683897571063731e+00, 9.200153210616767e+00, 0.000000000000000e+00, 2.010155187917738e-03, 1.301844207774951e+02, 1.188443225752669e-85
7, 0.000000000000000e+00, 1.052000000000000e-01, -1.603899106968910e+00, 9.190266377561189e+00, 0.000000000000000e+00, 1.689790119095047e-03, 1.109454797263081e+02, 5.180963039851249e-77
8, 4.208000000000000e-01, 1.052000000000000e-01, 3.355437691212121e-03, 9.045037613962574e+00, 0.000000000000000e+00, 1.159097812304348e-03, 7.837831236561189e+01, 5.772925553537338e-22
9, 4.208000000000000e-01, 4.500000000000000e-03, -5.437310666019515e-02, 1.517791454686322e+01, 8.970668153570263e-03, 4.348971269486394e+00, 8.947854340144594e+02, 1.024819482591298e-01
10, 4.208000000000000e-01, 2.630000000000000e-03, -5.765371266378376e-02, 1.548128020051404e+01, 5.705118290380299e-03, 4.288017284117758e+00, 8.838467428088289e+02, 1.046675205419058e-01
11, 4.208000000000000e-01, 0.000000000000000e+00, 1.323447467023098e-01, 1.566171668120235e+01, 0.000000000000000e+00, 4.236990622338658e+00, 8.760539720303256e+02, 1.059238943961068e-01
12, -8.666636370818354e-04, 0.000000000000000e+00, -7.291171222698669e+01, 6.551970568005952e+01, 0.000000000000000e+00, 2.764299858538119e-01, 7.406417898412635e+03, 1.000000000000000e+00
13, -1.829623153089007e-03, 0.000000000000000e+00, -7.524676376866627e+01, 6.558819105666247e+01, 0.000000000000000e+00, 2.639366048741826e-01, 7.348490928044497e+03, 1.000000000000000e+00
14, -2.899578130044106e-03, 0.000000000000000e+00, -7.207033238265348e+01, 6.560756437226642e+01, 0.000000000000000e+00, 2.511794915344141e-01, 7.289425383525116e+03, 1.000000000000000e+00
15, -4.088417028937629e-03, 0.000000000000000e+00, -6.531917486731383e+01, 6.558821503789851e+01, 0.000000000000000e+00, 2.382626084238269e-01, 7.230280762966836e+03, 1.000000000000000e+00
16, -5.409349179955837e-03, 0.000000000000000e+00, -5.592667053229641e+01, 6.554034323611639e+01, 0.000000000000000e+00, 2.247320240456858e-01, 7.170274526300610e+03, 1.000000000000001e+00
17, -6.877051531684105e-03, 0.000000000000000e+00, -4.442149071908416e+01, 6.547073014148587e+01, 0.000000000000000e+00, 2.110456173843349e-01, 7.112275411706215e+03, 1.000000000000001e+00
18, -8.507831847743190e-03, 0.000000000000000e+00, -3.105730264366817e+01, 6.538322338019513e+01, 0.000000000000000e+00, 1.976098513396190e-01, 7.059506806224437e+03, 1.000000000000000e+00
19, -1.031981001744281e-02, 0.000000000000000e+00, -1.590017788569678e+01, 6.527954476540194e+01, 0.000000000000000e+00, 1.847857994320294e-01, 7.015594454406554e+03, 1.000000000000000e+00
20, -1.233311914627068e-02, 0.000000000000000e+00, 1.104802655173317e+00, 6.515995131831420e+01, 0.000000000000000e+00, 1.729037577249540e-01, 6.984689111162855e+03, 1.000000000000000e+00
21, -1.457012930460373e-02, 0.000000000000000e+00, 2.009000743061357e+01, 6.502372235682718e+01, 0.000000000000000e+00, 1.622682590868035e-01, 6.971542669884348e+03, 1.000000000000000e+00
22, -1.705569612049910e-02, 0.000000000000000e+00, 4.124208494478002e+01, 6.486947476747433e+01, 0.000000000000000e+00, 1.531548116597677e-01, 6.981527598217698e+03, 1.000000000000000e+00
23, -1.981743694293235e-02, 0.000000000000000e+00, 6.478909680816126e+01, 6.469535245703818e+01, 0.000000000000000e+00, 1.458011906843768e-01, 7.020599499557899e+03, 1.000000000000000e+00
24, -2.288603783598235e-02, 0.000000000000000e+00, 9.100253969695191e+01, 6.449909921837707e+01, 0.000000000000000e+00, 1.403976304526441e-01, 7.095226557938778e+03, 1.000000000000000e+00
25, -2.629559448118169e-02, 0.000000000000000e+00, 1.201757804090688e+02, 6.427816783058435e+01, 0.000000000000000e+00, 1.370809139636840e-01, 7.212344420950247e+03, 1.000000000000000e+00
26, -3.008399069801288e-02, 0.000000000000000e+00, 1.526505031083853e+02, 6.402967614372051e+01, 0.000000000000000e+00, 1.359328820908496e-01, 7.379354498330600e+03, 1.000000000000000e+00
27, -3.429331975386914e-02, 0.000000000000000e+00, 1.888172900587379e+02, 6.375035983671408e+01, 0.000000000000000e+00, 1.369467952654883e-01, 7.604025334153774e+03, 1.000000000000000e+00
28, -3.897035200387083e-02, 0.000000000000000e+00, 2.291137911685725e+02, 6.343652866630686e+01, 0.000000000000000e+00, 1.401279843552370e-01, 7.895942695964402e+03, 1.000000000000000e+00
29, -4.416705449175331e-02, 0.000000000000000e+00, 2.740400751160730e+02, 6.308396309218679e+01, 0.000000000000000e+00, 1.455490563152809e-01, 8.268239721810396e+03, 1.000000000000000e+00
30, -4.994116844080682e-02, 0.000000000000000e+00, 3.241715319557858e+02, 6.268777035501107e+01, 0.000000000000000e+00, 1.534187669099321e-01, 8.740269693186541e+03, 1.000000000000000e+00
31, -5.635685073050935e-02, 0.000000000000000e+00, 3.801685511825576e+02, 6.224223770378644e+01, 0.000000000000000e+00, 1.641714346859394e-01, 9.341636391384653e+03, 1.000000000000000e+00
32, -6.348538650058635e-02, 0.000000000000000e+00, 4.428069416934975e+02, 6.174059778894342e+01, 0.000000000000000e+00, 1.786000252195311e-01, 1.011864461181887e+04, 1.000000000000000e+00
33, -7.140598182199882e-02, 0.000000000000000e+00, 5.130190082863699e+02, 6.117467737152028e+01, 0.000000000000000e+00, 1.980891412084336e-01, 1.114578118863796e+04, 1.000000000000000e+00
34, -8.020664327493941e-02, 0.000000000000000e+00, 5.919403247170958e+02, 6.053444178382973e+01, 0.000000000000000e+00, 2.250785230334107e-01, 1.254815572440825e+04, 1.000000000000000e+00
35, -8.998515594520945e-02, 0.000000000000000e+00, 6.809947075642972e+02, 5.980729972955896e+01, 0.000000000000000e+00, 2.640492296315087e-01, 1.454901072044222e+04, 1.000000000000000e+00
36, -1.008501700449302e-01, 0.000000000000000e+00, 7.820174274919636e+02, 5.897705033274344e+01, 0.000000000000000e+00, 3.238471736679192e-01, 1.758077848287169e+04, 1.000000000000000e+00
37, -1.129224079316030e-01, 0.000000000000000e+00, 8.976068360825013e+02, 5.802160168647499e+01, 0.000000000000000e+00, 4.239483472022624e-01, 2.258011896360230e+04, 1.000000000000000e+00
38, -1.263360055080643e-01, 0.000000000000000e+00, 1.031025828886096e+03, 5.691155215704902e+01, 0.000000000000000e+00, 6.144961077625992e-01, 3.191661809102049e+04, 1.000000000000000e+00
39, -1.412400028520933e-01, 0.000000000000000e+00, 1.195776472027275e+03, 5.556945468663861e+01, 0.000000000000000e+00, 1.057938354060759e+00, 5.310549120756365e+04, 1.000000000000000e+00
40, -1.578000000000000e-01, 5.291234052856156e-04, 1.388837070623468e+03, 5.399380530841974e+01, -6.381441344408358e-02, 2.518283351737844e+00, 1.206157791283225e+05, 1.000000000000000e+00
41, -1.578000000000000e-01, 9.524221278653128e-04, 1.389392081466402e+03, 5.399426549178251e+01, -9.623590685934337e-02, 2.516622928959693e+00, 1.205280622938167e+05, 1.000000000000000e+00
42, -1.578000000000000e-01, 1.291061105034769e-03, 1.390879595075365e+03, 5.398817880893171e+01, -1.264151185156382e-01, 2.516349490929861e+00, 1.205139918086860e+05, 1.000000000000000e+00
43, -1.578000000000000e-01, 1.561972282874312e-03, 1.392386367754332e+03, 5.396239693144071e+01, -1.507574744028007e-01, 2.516258218250410e+00, 1.205091052881072e+05, 1.000000000000000e+00
44, -1.578000000000000e-01, 1.778701226008198e-03, 1.393819794162301e+03, 5.389846141731544e+01, -1.691993375246847e-01, 2.516387932519617e+00, 1.205093613730271e+05, 1.000000000000000e+00
45, -1.578000000000000e-01, 1.952084378276389e-03, 1.395152879621918e+03, 5.377501012451431e+01, -1.818402597271938e-01, 2.517415166044581e+00, 1.205262080063385e+05, 9.999999999999999e-01
46, -1.578000000000000e-01, 2.090790900916303e-03, 1.396363322223230e+03, 5.357143379177565e+01, -1.888397471141138e-01, 2.521488249128016e+00, 1.206011689165761e+05, 9.999999999999999e-01
47, -1.578000000000000e-01, 2.201756113198964e-03, 1.397428494999548e+03, 5.327121663267875e+01, -1.905136541714053e-01, 2.534072849504388e+00, 1.208542860455086e+05, 9.999999999999999e-01
48, -1.578000000000000e-01, 2.290528287860563e-03, 1.398319257215201e+03, 5.286692238572824e+01, -1.874278712211388e-01, 2.567974611702092e+00, 1.216326202645079e+05, 9.999999999999999e-01
49, -1.578000000000000e-01, 2.361546024137972e-03, 1.399015741474974e+03, 5.235335989282661e+01, -1.804230927016326e-01, 2.651216832510736e+00, 1.239000843699733e+05, 9.999999999999999e-01
50, -1.578000000000000e-01, 2.418360214286206e-03, 1.399533058433217e+03, 5.171086828700127e+01, -1.704543007162003e-01, 2.833450255200455e+00, 1.298455873567001e+05, 9.999999999999998e-01
51, -1.578000000000000e-01, 2.463811564066825e-03, 1.399905067788943e+03, 5.090646627431060e+01, -1.583781710930024e-01, 3.176996176863961e+00, 1.433626083598718e+05, 9.999999999999998e-01
52, -1.578000000000000e-01, 2.500172642230671e-03, 1.400164743152961e+03, 4.990310620061233e+01, -1.448728065812040e-01, 3.729649317293763e+00, 1.705423411984173e+05, 9.999999999999997e-01
53, -1.578000000000000e-01, 2.529261507793118e-03, 1.400339283837075e+03, 4.865689505004920e+01, -1.304475580254922e-01, 4.496559524165190e+00, 2.207824982267536e+05, 9.999999999999997e-01
54, -1.578000000000000e-01, 2.552532602509203e-03, 1.400449748810430e+03, 4.710084092574553e+01, -1.154730020897220e-01, 5.433983825903264e+00, 3.101479167287552e+05, 9.999999999999997e-01
55, -1.578000000000000e-01, 2.571149474424230e-03, 1.400513173908332e+03, 4.512777560740525e+01, -1.002103909155339e-01, 6.453869705866716e+00, 4.653676852050498e+05, 9.999999999999996e-01
56, -1.578000000000000e-01, 2.586042971224478e-03, 1.400545997765312e+03, 4.256919353937553e+01, -8.482591585333168e-02, 7.371605079851511e+00, 7.335594071098604e+05, 9.999999999999996e-01
